Local time in Chifeng,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,3.5,707.8,768.0,0.7,22,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,,,-0.2,10.7,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
07.04.2020 20:00,6.2,707.1,767.3,1.1,19,Wind blowing from the north-northwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,10.7,,,2500 or more  or no clouds.,,,19.0,-15.7,No precipitation,12,,,,
07.04.2020 17:00,10.1,706.0,766.2,-1.5,13,Wind blowing from the north-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,15.9,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
07.04.2020 14:00,9.8,707.5,767.5,-1.8,14,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,17.2,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
07.04.2020 11:00,7.4,709.3,769.6,-0.7,17,Wind blowing from the north-east,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,17.2,,,2500 or more  or no clouds.,,,25.0,-16.1,No precipitation,12,,,,
07.04.2020 08:00,4.0,710.0,770.1,0.2,22,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,17.2,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
07.04.2020 05:00,0.4,709.8,769.6,-0.1,28,Wind blowing from the north-west,3,,12,,Cloud development not observed or not observable. ,,,0.3,17.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
07.04.2020 02:00,2.5,709.9,769.4,0.2,24,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
06.04.2020 23:00,4.5,709.7,769.3,1.8,21,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,,,1.5,17.2,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
06.04.2020 20:00,9.9,707.9,767.4,2.8,18,Wind blowing from the north-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.2,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
06.04.2020 17:00,16.0,705.1,764.3,-0.3,14,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,17.3,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
06.04.2020 14:00,16.5,705.4,764.5,-0.5,11,Wind blowing from the north-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,18.7,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
06.04.2020 11:00,14.0,705.9,764.9,-0.1,17,Wind blowing from the north-northeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,18.7,,,2500 or more  or no clouds.,,,15.0,-10.7,No precipitation,12,,,,
06.04.2020 08:00,8.1,706.0,765.1,0.3,26,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,18.7,,,2500 or more  or no clouds.,,,20.0,-10.2,No precipitation,12,,,,
06.04.2020 05:00,1.8,705.7,764.8,-0.2,38,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,,,-2.9,18.7,,,2500 or more  or no clouds.,,,14.0,-11.0,No precipitation,12,,,,
