Local time in Darhan Muminggan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,11.3,645.9,762.0,0.5,19,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.0,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
07.04.2020 17:00,15.5,645.4,760.8,-0.9,14,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.0,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
07.04.2020 14:00,16.4,646.3,761.3,-0.9,10,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.8,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
07.04.2020 11:00,14.5,647.2,761.8,0.1,13,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.8,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
07.04.2020 08:00,5.2,647.1,763.3,0.4,22,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.8,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
07.04.2020 05:00,3.9,646.7,762.1,-0.7,23,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,,,-0.9,17.8,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
07.04.2020 02:00,5.1,647.4,762.6,,19,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,17.8,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
06.04.2020 20:00,11.9,647.2,763.8,0.9,9,Wind blowing from the east-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,17.8,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
06.04.2020 17:00,16.6,646.3,762.3,-1.0,8,Wind blowing from the north,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,17.8,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
06.04.2020 14:00,16.7,647.3,762.7,-1.3,7,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,17.7,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
06.04.2020 11:00,15.9,648.6,764.0,-0.1,10,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,16.3,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
06.04.2020 08:00,3.2,648.7,765.7,0.5,45,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,16.3,,,2500 or more  or no clouds.,,,15.0,-7.6,No precipitation,12,,,,
06.04.2020 05:00,1.0,648.2,764.7,-0.3,51,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,,,-1.8,16.3,,,2500 or more  or no clouds.,,,20.0,-8.0,No precipitation,12,,,,
06.04.2020 02:00,3.8,648.5,764.4,,37,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.3,,,2500 or more  or no clouds.,,,29.0,-9.6,No precipitation,12,,,,
05.04.2020 20:00,11.1,648.3,765.9,0.8,8,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.3,,,2500 or more  or no clouds.,,,30.0,-22.0,No precipitation,12,,,,
05.04.2020 17:00,15.5,647.5,764.4,-1.0,7,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.3,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
05.04.2020 14:00,15.9,648.5,765.0,-1.4,7,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.2,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
05.04.2020 11:00,13.8,649.9,766.2,-0.5,7,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,15.6,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
05.04.2020 08:00,0.6,650.4,768.4,0.2,29,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,15.6,,,2500 or more  or no clouds.,,,29.0,-15.4,No precipitation,12,,,,
05.04.2020 05:00,-1.5,650.2,767.8,-0.7,33,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,,,-4.3,15.6,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
05.04.2020 02:00,1.1,650.9,768.1,,26,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.6,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
04.04.2020 20:00,11.0,651.2,769.7,0.1,10,Wind blowing from the east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.6,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
04.04.2020 17:00,14.7,651.1,769.2,-1.4,5,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.6,,,2500 or more  or no clouds.,,,30.0,-24.6,No precipitation,12,,,,
04.04.2020 14:00,14.2,652.5,770.3,-1.7,7,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.1,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
04.04.2020 11:00,11.7,654.2,772.0,-0.2,10,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.1,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
04.04.2020 08:00,-1.1,654.4,773.7,0.8,30,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,15.1,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
04.04.2020 05:00,-3.2,653.6,772.3,0.3,32,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,,,-5.4,15.1,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
04.04.2020 02:00,0.0,653.3,771.2,,26,Wind blowing from the south,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.1,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
03.04.2020 20:00,9.9,652.2,771.2,1.0,10,Wind blowing from the north-east,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.1,,,2500 or more  or no clouds.,,,30.0,-20.3,No precipitation,12,,,,
03.04.2020 17:00,14.5,651.2,769.7,-0.5,6,Wind blowing from the north-northwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,15.1,,,2500 or more  or no clouds.,,,30.0,-22.7,No precipitation,12,,,,
03.04.2020 14:00,14.4,651.7,769.8,-1.4,7,Wind blowing from the north-west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,14.4,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
03.04.2020 11:00,12.1,653.1,770.9,-0.2,10,Wind blowing from the north-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,12.1,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
