Local time in East Ujimqin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-3.9,694.0,770.2,0.5,36,Wind blowing from the north-east,1,,12,,Cloud development not observed or not observable. ,,,-9.4,7.9,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
07.04.2020 20:00,1.7,693.5,769.8,0.9,23,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,7.9,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
07.04.2020 17:00,6.7,692.6,769.1,-0.8,16,Wind blowing from the north-east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,7.9,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
07.04.2020 14:00,7.0,693.4,769.7,-1.5,16,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,7.5,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
07.04.2020 11:00,5.3,694.9,771.1,-0.7,19,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.6,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
07.04.2020 08:00,-2.0,695.6,772.3,-0.1,32,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.6,,,2500 or more  or no clouds.,,,23.0,-16.5,No precipitation,12,,,,
07.04.2020 05:00,-9.0,695.7,772.6,-0.6,51,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-9.0,6.6,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
07.04.2020 02:00,-8.0,696.3,773.0,-0.2,42,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,6.6,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
06.04.2020 23:00,-4.8,696.5,773.2,0.5,32,Wind blowing from the north-northeast,1,,14,,Cloud development not observed or not observable. ,,,-5.1,6.6,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
06.04.2020 20:00,0.8,696.0,772.1,1.1,21,Wind blowing from the north-northeast,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,10.2,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
06.04.2020 17:00,5.7,694.9,770.6,-0.6,15,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,14.9,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
06.04.2020 14:00,6.5,695.5,771.1,-0.6,18,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,16.4,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
06.04.2020 11:00,3.9,696.1,771.3,1.1,27,Wind blowing from the north-northeast,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,,,,2500 or more  or no clouds.,,,24.0,-13.4,No precipitation,12,,,,
06.04.2020 08:00,1.6,695.0,769.7,1.9,46,Wind blowing from the north-northeast,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,16.4,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
06.04.2020 05:00,-1.0,693.1,767.4,0.6,49,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,,,-5.5,16.4,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
06.04.2020 02:00,-0.8,692.5,766.6,0.1,49,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.4,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
05.04.2020 23:00,5.0,692.4,766.4,1.2,29,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,,,,16.4,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
05.04.2020 20:00,10.3,691.2,765.7,1.1,19,Wind blowing from the east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
05.04.2020 17:00,14.9,690.1,764.7,-1.2,12,Wind blowing from the east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,16.4,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
05.04.2020 14:00,15.0,691.3,765.6,-1.8,13,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,15.0,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
05.04.2020 11:00,9.6,693.1,767.5,-0.6,16,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,9.6,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
05.04.2020 08:00,-0.4,693.7,769.3,0.4,33,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,9.5,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
05.04.2020 05:00,-5.6,693.3,769.0,0.1,46,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,,,-11.3,9.5,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
05.04.2020 02:00,-2.8,693.2,768.9,-0.6,35,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.5,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
04.04.2020 23:00,2.7,693.8,769.3,-1.2,24,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,,,,9.5,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
04.04.2020 20:00,5.1,695.0,771.4,-0.5,17,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,9.5,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
04.04.2020 17:00,9.1,695.5,772.3,-2.3,13,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,9.5,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
04.04.2020 14:00,6.4,697.8,774.9,-2.2,13,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,9.3,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
04.04.2020 11:00,2.4,700.0,777.4,-0.4,16,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
04.04.2020 08:00,-4.7,700.4,778.1,0.5,37,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,,,,2500 or more  or no clouds.,,,18.0,-17.2,No precipitation,12,,,,
04.04.2020 05:00,-11.2,699.9,777.5,0.0,61,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-11.2,9.8,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
04.04.2020 02:00,-9.0,699.9,776.8,0.5,48,Wind blowing from the north-northeast,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,9.8,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
03.04.2020 23:00,-5.0,699.4,775.7,1.5,33,Wind blowing from the north,0,,18,,Cloud development not observed or not observable. ,,,-5.0,9.8,,,2500 or more  or no clouds.,,,27.0,-18.8,No precipitation,12,,,,
03.04.2020 20:00,-0.2,697.9,773.7,3.0,21,Wind blowing from the north,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,9.8,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
03.04.2020 17:00,6.5,694.9,770.5,1.2,10,Wind blowing from the north,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.7,,,2500 or more  or no clouds.,,,26.0,-23.0,No precipitation,12,,,,
03.04.2020 14:00,9.1,693.7,768.5,0.7,20,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.9,,,2500 or more  or no clouds.,,,21.0,-12.7,No precipitation,12,,,,
03.04.2020 11:00,9.4,693.0,767.9,1.4,19,Wind blowing from the north,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.9,,,2500 or more  or no clouds.,,,23.0,-13.1,No precipitation,12,,,,
03.04.2020 08:00,6.4,691.6,766.0,1.2,24,Wind blowing from the north-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.9,,,2500 or more  or no clouds.,,,24.0,-12.7,No precipitation,12,,,,
03.04.2020 05:00,-1.1,690.4,765.0,-0.9,41,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
03.04.2020 02:00,0.6,691.3,765.7,-1.0,39,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
02.04.2020 23:00,-0.5,692.3,767.3,-0.3,42,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-5.5,10.9,,,2500 or more  or no clouds.,,,17.0,-12.1,No precipitation,12,,,,
02.04.2020 20:00,5.5,692.6,767.7,0.1,26,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
02.04.2020 17:00,10.6,692.5,767.6,-0.6,18,Wind blowing from the north,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.9,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
