Local time in Ejin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,15.6,680.0,759.4,0.5,8,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,,,5.1,23.7,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
07.04.2020 20:00,20.5,679.5,759.5,0.2,6,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,23.7,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
07.04.2020 17:00,23.4,679.3,758.8,-1.6,3,Wind blowing from the north-west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,23.7,,,2500 or more  or no clouds.,,,30.0,-24.2,No precipitation,12,,,,
07.04.2020 14:00,21.3,680.9,760.5,-1.4,4,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.2,,,2500 or more  or no clouds.,,,30.0,-22.4,No precipitation,12,,,,
07.04.2020 11:00,15.4,682.3,762.0,0.7,8,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.2,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
07.04.2020 08:00,5.7,681.6,762.1,0.8,13,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.2,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
07.04.2020 05:00,6.9,680.8,760.7,-0.3,13,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,,,6.2,22.2,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
07.04.2020 02:00,9.3,681.1,760.8,0.0,15,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,22.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
06.04.2020 23:00,14.9,681.1,760.9,0.7,9,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,6.2,22.2,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
06.04.2020 20:00,18.8,680.4,760.6,0.5,6,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,22.2,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
06.04.2020 17:00,21.4,679.9,759.2,-1.2,5,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,22.2,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
06.04.2020 14:00,20.3,681.1,760.3,-1.1,6,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,20.6,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
06.04.2020 11:00,14.7,682.2,762.5,0.6,10,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,20.6,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
06.04.2020 08:00,6.3,681.6,762.3,0.8,21,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,20.6,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
06.04.2020 05:00,9.7,680.8,760.5,-0.9,10,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,,,2.4,20.6,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
06.04.2020 02:00,12.4,681.7,761.2,-0.7,9,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,20.6,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
05.04.2020 23:00,11.7,682.4,762.5,0.2,12,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,2.4,20.6,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
05.04.2020 20:00,16.8,682.2,763.0,0.4,6,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,20.6,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
05.04.2020 17:00,20.0,681.8,762.5,-1.6,3,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,20.6,,,2500 or more  or no clouds.,,,30.0,-26.5,No precipitation,12,,,,
05.04.2020 14:00,19.2,683.4,764.0,-1.6,4,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,19.6,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
05.04.2020 11:00,16.1,685.0,765.9,0.2,7,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,19.6,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
05.04.2020 08:00,5.8,684.8,766.1,0.4,20,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,19.6,,,2500 or more  or no clouds.,,,23.0,-15.4,No precipitation,12,,,,
05.04.2020 05:00,3.6,684.4,765.7,-0.7,26,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,3.5,19.6,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
05.04.2020 02:00,5.8,685.1,766.1,-0.8,18,Wind blowing from the south-west,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.6,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
04.04.2020 23:00,8.5,685.9,767.3,0.2,14,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,3.2,19.6,,,2500 or more  or no clouds.,,,23.0,-17.5,No precipitation,12,,,,
04.04.2020 20:00,15.8,685.7,767.1,0.3,5,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.6,,,2500 or more  or no clouds.,,,30.0,-23.8,No precipitation,12,,,,
