Local time in Erenhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,3.8,681.4,766.2,0.2,19,Wind blowing from the east-southeast,5,,14,,Cloud development not observed or not observable. ,,,-2.2,12.8,,,2500 or more  or no clouds.,,,29.0,-17.7,No precipitation,12,,,,
07.04.2020 20:00,7.9,681.2,766.5,0.9,13,Wind blowing from the east,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.8,,,2500 or more  or no clouds.,,,29.0,-18.8,No precipitation,12,,,,
07.04.2020 17:00,11.8,680.3,765.1,-1.4,10,Wind blowing from the east,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,13.8,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
07.04.2020 14:00,12.2,681.7,766.1,-1.6,10,Wind blowing from the east,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,15.0,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
07.04.2020 11:00,7.0,683.3,768.3,-0.6,14,Wind blowing from the east-southeast,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,15.0,,,2500 or more  or no clouds.,,,26.0,-18.7,No precipitation,12,,,,
07.04.2020 08:00,0.1,683.9,769.3,0.4,25,Wind blowing from the east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,15.0,,,2500 or more  or no clouds.,,,25.0,-17.6,No precipitation,12,,,,
07.04.2020 05:00,-1.3,683.5,768.4,-0.3,28,Wind blowing from the east,7,,13,,Cloud development not observed or not observable. ,,,-1.3,15.0,,,2500 or more  or no clouds.,,,25.0,-17.5,No precipitation,12,,,,
07.04.2020 02:00,1.0,683.8,768.1,0.3,23,Wind blowing from the east,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.0,,,2500 or more  or no clouds.,,,27.0,-17.8,No precipitation,12,,,,
06.04.2020 23:00,4.5,683.5,767.7,0.7,23,Wind blowing from the east,6,,15,,Cloud development not observed or not observable. ,,,0.3,15.0,,,2500 or more  or no clouds.,,,26.0,-14.8,No precipitation,12,,,,
06.04.2020 20:00,9.2,682.8,767.3,1.3,21,Wind blowing from the east,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.0,,,2500 or more  or no clouds.,,,19.0,-12.0,No precipitation,12,,,,
06.04.2020 17:00,13.8,681.5,765.1,-0.6,16,Wind blowing from the east,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,19.7,,,2500 or more  or no clouds.,,,9.0,-11.6,No precipitation,12,,,,
06.04.2020 14:00,14.9,682.1,765.7,-1.0,14,Wind blowing from the east,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,20.2,,,2500 or more  or no clouds.,,,9.0,-12.4,No precipitation,12,,,,
06.04.2020 11:00,12.4,683.1,766.3,1.1,16,Wind blowing from the east,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,20.2,,,2500 or more  or no clouds.,,,22.0,-12.7,No precipitation,12,,,,
06.04.2020 08:00,4.7,682.0,766.1,0.8,27,Wind blowing from the north-east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,20.2,,,2500 or more  or no clouds.,,,20.0,-12.7,No precipitation,12,,,,
06.04.2020 05:00,4.9,681.2,763.9,0.4,20,Wind blowing from the north-northeast,5,,9,,Cloud development not observed or not observable. ,,,-4.5,20.2,,,2500 or more  or no clouds.,,,22.0,-16.2,No precipitation,12,,,,
06.04.2020 02:00,4.4,680.8,763.5,0.0,20,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.2,,,2500 or more  or no clouds.,,,24.0,-16.6,No precipitation,12,,,,
05.04.2020 23:00,10.4,680.8,763.4,0.6,12,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,,,,20.2,,,2500 or more  or no clouds.,,,25.0,-17.8,No precipitation,12,,,,
05.04.2020 20:00,11.2,680.2,764.3,0.6,11,Wind blowing from the west-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.2,,,2500 or more  or no clouds.,,,19.0,-18.2,No precipitation,12,,,,
05.04.2020 17:00,19.6,679.6,763.1,-1.0,6,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.2,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
05.04.2020 14:00,19.3,680.6,764.1,-1.8,6,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,19.4,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
05.04.2020 11:00,14.7,682.4,766.2,-0.8,9,Wind blowing from the south-southwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,15.3,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
05.04.2020 08:00,2.8,683.2,768.1,0.3,18,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,15.3,,,2500 or more  or no clouds.,,,20.0,-19.2,No precipitation,12,,,,
05.04.2020 05:00,-2.1,682.9,767.6,-0.9,26,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,,,-2.6,15.3,,,2500 or more  or no clouds.,,,29.0,-19.0,No precipitation,12,,,,
05.04.2020 02:00,-0.7,683.8,768.5,,22,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,15.3,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
04.04.2020 20:00,9.4,685.1,770.4,0.2,8,Wind blowing from the south-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.3,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
04.04.2020 17:00,14.9,684.9,769.5,-1.9,7,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.1,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
04.04.2020 14:00,14.2,686.8,771.4,-1.8,10,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.8,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
04.04.2020 11:00,10.3,688.6,773.3,-0.5,14,Wind blowing from the east-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.8,,,2500 or more  or no clouds.,,,27.0,-16.0,No precipitation,12,,,,
04.04.2020 08:00,1.7,689.1,774.6,0.5,29,Wind blowing from the east-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.8,,,2500 or more  or no clouds.,,,19.0,-14.4,No precipitation,12,,,,
04.04.2020 05:00,-0.1,688.6,773.5,0.4,34,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,,,-3.5,16.8,,,2500 or more  or no clouds.,,,23.0,-14.1,No precipitation,12,,,,
04.04.2020 02:00,2.2,688.2,772.6,0.9,30,Wind blowing from the east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,16.8,,,2500 or more  or no clouds.,,,23.0,-13.6,No precipitation,12,,,,
03.04.2020 23:00,6.4,687.3,771.6,1.8,23,Wind blowing from the east,6,,11,,Cloud development not observed or not observable. ,,,,16.8,,,2500 or more  or no clouds.,,,25.0,-13.2,No precipitation,12,,,,
03.04.2020 20:00,10.9,685.5,770.2,1.5,15,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.8,,,2500 or more  or no clouds.,,,28.0,-14.7,No precipitation,12,,,,
03.04.2020 17:00,16.1,684.0,768.7,-0.2,9,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,16.8,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
03.04.2020 14:00,16.4,684.2,768.7,-0.6,10,Wind blowing from the north-west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,16.4,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
