Local time in Hohhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.2,663.6,760.7,0.2,25,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,,,5.3,19.3,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
07.04.2020 20:00,13.9,663.4,761.1,0.7,20,Wind blowing from the north,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.3,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
07.04.2020 17:00,18.5,662.7,759.8,-1.2,13,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.3,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
07.04.2020 14:00,17.4,663.9,761.2,-1.3,14,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.1,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
07.04.2020 11:00,15.5,665.2,762.1,-0.1,10,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.1,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
07.04.2020 08:00,8.6,665.3,763.0,0.4,18,Wind blowing from the west-northwest,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.1,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
07.04.2020 05:00,6.3,664.9,762.3,-0.7,22,Wind blowing from the north-west,5,,6,,Cloud development not observed or not observable. ,,,1.9,19.1,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
07.04.2020 02:00,7.1,665.6,763.0,-0.2,20,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.1,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
06.04.2020 23:00,12.7,665.8,763.1,1.3,12,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,1.9,19.1,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
06.04.2020 20:00,15.2,664.5,762.4,0.7,15,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.1,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
06.04.2020 17:00,18.7,663.8,761.8,-1.3,11,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.1,,,2500 or more  or no clouds.,,,29.0,-12.4,No precipitation,12,,,,
06.04.2020 14:00,18.3,665.1,763.2,-1.8,12,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,18.7,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
06.04.2020 11:00,14.1,666.9,765.4,0.0,27,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,16.7,,,2500 or more  or no clouds.,,,13.0,-4.6,No precipitation,12,,,,
06.04.2020 08:00,7.0,666.9,766.2,0.4,35,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,16.7,,,2500 or more  or no clouds.,,,20.0,-7.4,No precipitation,12,,,,
06.04.2020 05:00,2.3,666.5,765.4,-0.3,45,Wind blowing from the north-west,4,,5,,Cloud development not observed or not observable. ,,,2.0,16.7,,,2500 or more  or no clouds.,,,25.0,-8.4,No precipitation,12,,,,
06.04.2020 02:00,3.2,666.8,765.6,-0.3,41,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,16.7,,,2500 or more  or no clouds.,,,29.0,-8.8,No precipitation,12,,,,
05.04.2020 23:00,6.5,667.1,766.1,0.6,32,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,3.3,16.7,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
05.04.2020 20:00,9.4,666.5,766.0,0.7,26,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.7,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.04.2020 17:00,16.0,665.8,764.2,-1.2,16,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.9,,,2500 or more  or no clouds.,,,25.0,-9.8,No precipitation,12,,,,
