Local time in Jarud,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,4.9,743.3,767.8,1.1,24,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,,,0.6,12.3,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
07.04.2020 20:00,6.9,742.2,766.7,2.3,20,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.3,,,2500 or more  or no clouds.,,,25.0,-14.5,No precipitation,12,,,,
07.04.2020 17:00,11.7,739.9,764.3,-0.8,10,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.6,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
07.04.2020 14:00,11.7,740.7,765.1,-1.7,9,Wind blowing from the north-west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,13.7,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
07.04.2020 11:00,9.4,742.4,766.9,-1.4,15,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,17.2,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
07.04.2020 08:00,4.8,743.8,768.3,0.4,24,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
07.04.2020 05:00,1.3,743.4,767.8,-0.2,28,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,,,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
07.04.2020 02:00,1.7,743.6,768.1,-0.2,26,Wind blowing from the west-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
06.04.2020 23:00,3.7,743.8,768.1,1.1,21,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,,,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
06.04.2020 20:00,7.4,742.7,767.1,2.2,16,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
06.04.2020 17:00,12.5,740.5,765.0,-0.6,10,Wind blowing from the north-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
06.04.2020 14:00,12.0,741.1,765.4,0.8,17,Wind blowing from the north,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,18.0,-12.3,No precipitation,12,,,,
06.04.2020 11:00,16.2,740.3,764.5,-0.2,13,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,16.6,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
06.04.2020 08:00,7.8,740.5,764.8,0.4,16,Wind blowing from the north-northwest,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,14.9,,,2500 or more  or no clouds.,,,8.0,-16.5,No precipitation,12,,,,
06.04.2020 05:00,0.2,740.1,764.5,-0.7,23,Wind blowing from the north-west,0,,5,,Cloud development not observed or not observable. ,,,-3.9,14.9,,,2500 or more  or no clouds.,,,25.0,-18.5,No precipitation,12,,,,
06.04.2020 02:00,1.4,740.8,765.1,-0.9,22,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.9,,,2500 or more  or no clouds.,,,14.0,-18.0,No precipitation,12,,,,
05.04.2020 23:00,2.4,741.7,766.3,-0.2,21,Wind blowing from the north-northwest,0,,6,,Cloud development not observed or not observable. ,,,-3.9,14.9,,,2500 or more  or no clouds.,,,23.0,-17.7,No precipitation,12,,,,
05.04.2020 20:00,8.6,741.9,766.5,1.0,13,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.9,,,2500 or more  or no clouds.,,,15.0,-18.3,No precipitation,12,,,,
05.04.2020 17:00,13.9,740.9,765.4,-1.6,8,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.9,,,2500 or more  or no clouds.,,,26.0,-19.9,No precipitation,12,,,,
05.04.2020 14:00,14.1,742.5,767.0,-1.9,7,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,14.1,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
05.04.2020 11:00,9.5,744.4,769.1,-0.9,7,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.1,,,2500 or more  or no clouds.,,,18.0,-24.7,No precipitation,12,,,,
