Local time in Tongliao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,3.0,750.1,766.8,0.6,32,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,,,0.2,11.0,,,2500 or more  or no clouds.,,,21.0,-12.1,No precipitation,12,,,,
07.04.2020 20:00,6.2,749.5,766.1,1.2,24,Wind blowing from the north-east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,11.0,,,2500 or more  or no clouds.,,,18.0,-12.9,No precipitation,12,,,,
07.04.2020 17:00,9.6,748.3,764.9,-0.4,15,Wind blowing from the north-northeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,12.6,,,2500 or more  or no clouds.,,,24.0,-15.8,No precipitation,12,,,,
07.04.2020 14:00,10.3,748.7,765.4,-1.4,14,Wind blowing from the west-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.6,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
07.04.2020 11:00,8.6,750.1,766.7,-0.6,20,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,17.5,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
07.04.2020 08:00,4.7,750.7,767.4,0.5,25,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
07.04.2020 05:00,0.4,750.2,766.9,-0.6,49,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,,,0.0,17.5,,,2500 or more  or no clouds.,,,24.0,-9.1,No precipitation,12,,,,
07.04.2020 02:00,1.7,750.8,767.3,-0.2,52,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.5,,,2500 or more  or no clouds.,,,25.0,-7.3,No precipitation,12,,,,
06.04.2020 23:00,4.0,751.0,767.5,1.2,44,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,,,0.0,17.5,,,2500 or more  or no clouds.,,,18.0,-7.4,No precipitation,12,,,,
06.04.2020 20:00,6.7,749.8,766.5,2.3,39,Wind blowing from the east-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.5,,,2500 or more  or no clouds.,,,20.0,-6.3,No precipitation,12,,,,
06.04.2020 17:00,12.6,747.5,764.1,0.5,24,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.5,,,2500 or more  or no clouds.,,,17.0,-7.4,No precipitation,12,,,,
06.04.2020 14:00,15.5,747.0,763.4,-0.9,11,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.5,,,2500 or more  or no clouds.,,,19.0,-14.8,No precipitation,12,,,,
06.04.2020 11:00,13.6,747.9,764.3,-0.6,23,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.1,,,2500 or more  or no clouds.,,,14.0,-7.1,No precipitation,12,,,,
06.04.2020 08:00,6.0,748.5,765.1,0.0,39,Wind blowing from the west-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.1,,,2500 or more  or no clouds.,,,6.0,-6.9,No precipitation,12,,,,
06.04.2020 05:00,0.6,748.5,765.1,-1.0,45,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,,,-2.4,14.1,,,2500 or more  or no clouds.,,,16.0,-10.0,No precipitation,12,,,,
06.04.2020 02:00,1.9,749.5,766.0,-0.6,32,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.1,,,2500 or more  or no clouds.,,,16.0,-13.1,No precipitation,12,,,,
