Local time in Wulate Zhongqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,8.9,652.6,760.1,0.1,17,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,5.2,18.5,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
07.04.2020 20:00,14.9,652.5,760.3,0.5,11,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,18.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
07.04.2020 17:00,17.9,652.0,759.3,-1.2,12,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,18.5,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
07.04.2020 14:00,16.9,653.2,760.6,-0.9,16,Wind blowing from the west-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,18.4,,,2500 or more  or no clouds.,,,23.0,-9.1,No precipitation,12,,,,
07.04.2020 11:00,16.1,654.1,761.8,0.4,20,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,18.4,,,2500 or more  or no clouds.,,,22.0,-6.9,No precipitation,12,,,,
07.04.2020 08:00,8.4,653.7,761.9,0.5,24,Wind blowing from the south,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,18.4,,,2500 or more  or no clouds.,,,2.9,-11.0,No precipitation,12,,,,
07.04.2020 05:00,7.5,653.2,760.8,-0.6,19,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,,,1.2,18.4,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
07.04.2020 02:00,9.3,653.8,761.2,-0.1,18,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.4,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
06.04.2020 23:00,9.2,653.9,761.8,0.5,23,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,1.2,18.4,,,2500 or more  or no clouds.,,,9.0,-10.9,No precipitation,12,,,,
06.04.2020 20:00,13.9,653.4,761.9,0.7,16,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.4,,,2500 or more  or no clouds.,,,14.0,-11.5,No precipitation,12,,,,
