Local time in Xiwuzhumuqin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-2.7,679.7,769.4,0.6,37,Wind blowing from the south-southwest,1,,11,,Cloud development not observed or not observable. ,,,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
07.04.2020 20:00,0.7,679.1,769.0,0.8,27,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
07.04.2020 17:00,5.7,678.3,768.7,-1.0,17,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
07.04.2020 14:00,5.9,679.3,769.2,-1.4,18,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
07.04.2020 11:00,4.1,680.7,770.4,-0.5,20,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
07.04.2020 08:00,-0.7,681.2,771.4,0.1,29,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
07.04.2020 05:00,-9.4,681.1,771.9,-0.7,61,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,,,-9.4,6.9,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
07.04.2020 02:00,-5.9,681.8,772.0,-0.4,43,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,6.9,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
06.04.2020 23:00,-1.9,682.2,771.7,0.8,31,Wind blowing from the north-northwest,2,,13,,Cloud development not observed or not observable. ,,,-4.2,6.9,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
06.04.2020 20:00,0.7,681.4,771.1,1.2,25,Wind blowing from the north,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.2,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
06.04.2020 17:00,5.5,680.2,769.9,-0.4,18,Wind blowing from the north,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,16.4,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
06.04.2020 14:00,6.5,680.6,770.1,-0.7,22,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,16.7,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
06.04.2020 11:00,6.4,681.3,769.7,1.2,26,Wind blowing from the north-northeast,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,2500 or more  or no clouds.,,,29.0,-11.7,No precipitation,12,,,,
06.04.2020 08:00,2.0,680.1,768.4,2.0,39,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
06.04.2020 05:00,-3.2,678.1,765.7,0.3,51,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,,,-5.0,16.7,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.04.2020 02:00,-2.9,677.8,765.3,0.0,52,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,16.7,,,2500 or more  or no clouds.,,,22.0,-11.4,No precipitation,12,,,,
05.04.2020 23:00,3.9,677.8,764.8,0.4,32,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,,,,16.7,,,2500 or more  or no clouds.,,,23.0,-11.3,No precipitation,12,,,,
05.04.2020 20:00,8.2,677.4,764.6,0.6,22,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.7,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
05.04.2020 17:00,16.4,676.8,764.1,-1.3,9,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.7,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
05.04.2020 14:00,15.7,678.1,766.2,-1.3,11,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,15.8,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
05.04.2020 11:00,12.4,679.4,767.8,-0.4,13,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,12.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
05.04.2020 08:00,6.5,679.8,768.7,-0.1,22,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,7.4,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
05.04.2020 05:00,-2.8,679.9,769.2,-0.3,45,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,-10.6,7.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
