Local time in Dongtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,9.4,764.2,764.5,0.5,98,Wind blowing from the south,1,,6,,Mist. ,,,4.1,21.4,,,2500 or more  or no clouds.,,,6.0,9.1,No precipitation,12,,,,
07.04.2020 20:00,12.7,763.7,764.1,0.6,66,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,21.4,,,2500 or more  or no clouds.,,,9.0,6.5,No precipitation,12,,,,
07.04.2020 17:00,20.2,763.1,763.5,-0.6,38,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,21.4,,,2500 or more  or no clouds.,,,20.0,5.4,No precipitation,12,,,,
07.04.2020 14:00,21.0,763.7,764.1,-1.4,32,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,21.2,,,2500 or more  or no clouds.,,,17.0,3.7,No precipitation,12,,,,
07.04.2020 11:00,18.9,765.1,765.5,0.1,31,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,19.0,,,2500 or more  or no clouds.,,,13.0,1.4,No precipitation,12,,,,
07.04.2020 08:00,10.8,765.0,765.4,0.8,96,Wind blowing from the west-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.1,,,2500 or more  or no clouds.,,,4.3,10.2,No precipitation,12,,,,
07.04.2020 05:00,4.4,764.2,764.6,-0.1,100,Calm  no wind,0,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,4.4,17.1,,,2500 or more  or no clouds.,,,0.1,4.4,No precipitation,12,,,,
07.04.2020 02:00,8.0,764.3,764.7,-1.1,89,Wind blowing from the south-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,17.1,,,2500 or more  or no clouds.,,,7.0,6.3,No precipitation,12,,,,
06.04.2020 23:00,8.7,765.4,765.9,0.1,81,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,5.3,17.1,,,2500 or more  or no clouds.,,,13.0,5.6,No precipitation,12,,,,
06.04.2020 20:00,12.4,765.3,765.7,0.8,62,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,17.1,,,2500 or more  or no clouds.,,,20.0,5.3,No precipitation,12,,,,
06.04.2020 17:00,15.8,764.5,765.0,-1.0,42,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,17.1,,,2500 or more  or no clouds.,,,30.0,2.9,No precipitation,12,,,,
06.04.2020 14:00,16.4,765.5,766.0,-2.0,42,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,16.5,,,2500 or more  or no clouds.,,,25.0,3.5,No precipitation,12,,,,
06.04.2020 11:00,12.7,767.5,768.0,-0.3,55,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.6,,,2500 or more  or no clouds.,,,25.0,3.9,No precipitation,12,,,,
06.04.2020 08:00,9.8,767.8,768.3,0.6,70,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.6,,,2500 or more  or no clouds.,,,21.0,4.6,No precipitation,12,,,,
06.04.2020 05:00,5.4,767.2,767.6,-0.8,100,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,,,2.6,15.6,,,2500 or more  or no clouds.,,,8.0,5.4,No precipitation,12,,,,
06.04.2020 02:00,7.2,768.0,768.4,-1.3,79,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,15.6,,,2500 or more  or no clouds.,,,12.0,3.8,No precipitation,12,,,,
05.04.2020 23:00,7.8,769.3,769.7,0.1,71,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,,,2.6,15.6,,,2500 or more  or no clouds.,,,30.0,2.9,No precipitation,12,,,,
05.04.2020 20:00,9.1,769.2,769.6,0.7,65,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,15.6,,,2500 or more  or no clouds.,,,27.0,2.9,No precipitation,12,,,,
05.04.2020 17:00,13.8,768.5,769.0,-0.7,42,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,15.6,,,2500 or more  or no clouds.,,,30.0,1.1,No precipitation,12,,,,
05.04.2020 14:00,15.0,769.2,769.6,-2.3,39,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,18.5,,,2500 or more  or no clouds.,,,30.0,1.2,No precipitation,12,,,,
05.04.2020 11:00,13.2,771.5,772.0,0.1,40,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,20.8,,,2500 or more  or no clouds.,,,30.0,-0.1,No precipitation,12,,,,
05.04.2020 08:00,8.6,771.4,771.9,0.6,65,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,,,,2500 or more  or no clouds.,,,18.0,2.4,No precipitation,12,,,,
05.04.2020 05:00,2.8,770.8,771.3,0.3,100,Wind blowing from the north-west,1,,10,,Mist. ,,,2.8,20.8,,,2500 or more  or no clouds.,,,4.0,2.8,No precipitation,12,,,,
05.04.2020 02:00,4.1,770.5,770.9,-0.7,100,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,20.8,,,2500 or more  or no clouds.,,,13.0,4.1,No precipitation,12,,,,
04.04.2020 23:00,5.5,771.2,771.7,0.6,87,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,,,5.5,20.8,,,2500 or more  or no clouds.,,,20.0,3.5,No precipitation,12,,,,
04.04.2020 20:00,8.5,770.6,771.1,1.3,67,Wind blowing from the north-east,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.8,,,2500 or more  or no clouds.,,,22.0,2.7,No precipitation,12,,,,
04.04.2020 17:00,12.7,769.3,769.7,0.9,59,Wind blowing from the north-east,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.8,,,2500 or more  or no clouds.,,,14.0,4.7,No precipitation,12,,,,
04.04.2020 14:00,18.5,768.4,768.7,-0.5,53,Wind blowing from the north-east,5,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.8,,,2500 or more  or no clouds.,,,4.5,8.8,No precipitation,12,,,,
04.04.2020 11:00,18.9,768.9,769.3,0.5,40,Wind blowing from the north-west,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.9,,,2500 or more  or no clouds.,,,7.0,5.0,No precipitation,12,,,,
04.04.2020 08:00,12.7,768.4,768.9,1.7,73,Wind blowing from the west-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.1,,,2500 or more  or no clouds.,,,5.0,8.0,No precipitation,12,,,,
04.04.2020 05:00,7.6,766.7,767.2,-0.2,100,Wind blowing from the north-west,0,,5,,Mist. ,,,7.6,18.1,,,2500 or more  or no clouds.,,,3.3,7.6,No precipitation,12,,,,
04.04.2020 02:00,8.4,766.9,767.2,-0.6,99,Wind blowing from the south-southwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,18.1,,,2500 or more  or no clouds.,,,6.0,8.3,No precipitation,12,,,,
03.04.2020 23:00,10.9,767.5,767.8,0.3,73,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,,,7.6,18.1,,,2500 or more  or no clouds.,,,17.0,6.3,No precipitation,12,,,,
03.04.2020 20:00,13.0,767.2,767.6,1.2,56,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,18.1,,,2500 or more  or no clouds.,,,25.0,4.4,No precipitation,12,,,,
03.04.2020 17:00,17.5,766.0,766.4,-0.7,39,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,18.1,,,2500 or more  or no clouds.,,,18.0,3.4,No precipitation,12,,,,
03.04.2020 14:00,18.1,766.7,767.1,-1.5,41,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,18.1,,,2500 or more  or no clouds.,,,16.0,4.7,No precipitation,12,,,,
03.04.2020 11:00,15.4,768.2,768.7,0.0,44,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,17.2,,,2500 or more  or no clouds.,,,26.0,3.2,No precipitation,12,,,,
03.04.2020 08:00,11.8,768.2,768.7,0.4,68,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,17.2,,,2500 or more  or no clouds.,,,21.0,6.1,No precipitation,12,,,,
03.04.2020 05:00,8.2,767.8,768.2,0.0,100,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,4.9,17.2,,,2500 or more  or no clouds.,,,10.0,8.2,No precipitation,12,,,,
03.04.2020 02:00,8.3,767.8,768.3,-0.9,97,Wind blowing from the west-southwest,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,17.2,,,2500 or more  or no clouds.,,,22.0,7.9,No precipitation,12,,,,
02.04.2020 23:00,10.1,768.7,769.1,0.2,69,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,4.9,17.2,,,2500 or more  or no clouds.,,,24.0,4.7,No precipitation,12,,,,
02.04.2020 20:00,10.5,768.5,769.0,2.1,70,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,17.2,,,2500 or more  or no clouds.,,,24.0,5.3,No precipitation,12,,,,
02.04.2020 17:00,15.1,766.4,766.9,-1.0,47,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,17.2,,,2500 or more  or no clouds.,,,30.0,3.9,No precipitation,12,,,,
02.04.2020 14:00,16.6,767.4,767.8,-1.3,39,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.6,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
02.04.2020 11:00,14.8,768.7,769.1,0.0,44,Wind blowing from the north-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.7,,,2500 or more  or no clouds.,,,30.0,2.7,No precipitation,12,,,,
