Local time in Huai'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,12.4,763.0,764.2,0.4,58,Wind blowing from the south-southwest,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,,,4.6,22.4,,,2500 or more  or no clouds.,,,8.0,4.4,No precipitation,12,,,,
07.04.2020 20:00,15.0,762.6,763.9,0.7,48,Wind blowing from the south-southwest,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,22.4,,,2500 or more  or no clouds.,,,11.0,4.1,No precipitation,12,,,,
07.04.2020 17:00,20.0,761.9,763.2,-0.7,39,Wind blowing from the south-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,22.4,,,,,,15.0,5.6,No precipitation,12,,,,
07.04.2020 14:00,22.0,762.6,763.9,-1.6,33,Wind blowing from the south-west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,22.0,,,,,,16.0,5.0,No precipitation,12,,,,
07.04.2020 11:00,19.5,764.2,765.5,0.3,45,Wind blowing from the north-west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.5,,,,,,8.0,7.3,No precipitation,12,,,,
07.04.2020 08:00,11.6,763.9,765.2,0.4,78,Wind blowing from the south-west,1,,3,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,18.9,,,,,,7.0,7.9,No precipitation,12,,,,
07.04.2020 05:00,5.2,763.5,764.8,0.1,93,Wind blowing from the north,0,,4,no clouds,Cloud development not observed or not observable. ,,,5.2,18.9,,,,,,7.0,4.2,No precipitation,12,,,,
07.04.2020 02:00,7.0,763.4,764.7,-0.8,87,Wind blowing from the south,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.9,,,,,,10.0,5.0,No precipitation,12,,,,
06.04.2020 23:00,9.6,764.2,765.5,0.0,67,Wind blowing from the south,2,,6,no clouds,Cloud development not observed or not observable. ,,,6.2,18.9,,,,,,12.0,3.8,No precipitation,12,,,,
06.04.2020 20:00,11.2,764.2,765.4,0.9,59,Wind blowing from the south-east,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.9,,,,,,16.0,3.3,No precipitation,12,,,,
06.04.2020 17:00,16.7,763.3,764.5,-1.2,42,Wind blowing from the south,3,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.9,,,2500 or more  or no clouds.,,,28.0,3.7,No precipitation,12,,,,
06.04.2020 14:00,18.1,764.5,765.8,-1.8,27,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.1,,,2500 or more  or no clouds.,,,27.0,-1.2,No precipitation,12,,,,
06.04.2020 11:00,14.2,766.3,767.6,-0.6,51,Wind blowing from the east-southeast,3,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.3,,,2500 or more  or no clouds.,,,16.0,4.2,No precipitation,12,,,,
06.04.2020 08:00,9.6,766.9,768.1,0.8,75,Wind blowing from the south,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.3,,,2500 or more  or no clouds.,,,14.0,5.4,No precipitation,12,,,,
06.04.2020 05:00,6.5,766.1,767.4,-0.9,83,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,,,1.2,16.3,,,2500 or more  or no clouds.,,,14.0,3.8,No precipitation,12,,,,
06.04.2020 02:00,7.5,767.0,768.3,-1.2,78,Wind blowing from the south-east,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,16.3,,,2500 or more  or no clouds.,,,15.0,3.9,No precipitation,12,,,,
05.04.2020 23:00,8.6,768.2,769.5,0.3,67,Wind blowing from the south-east,2,,,70 – 80%.,Cloud development not observed or not observable. ,,,1.2,16.3,,,2500 or more  or no clouds.,,,15.0,2.8,No precipitation,12,,,,
05.04.2020 20:00,11.3,767.9,769.2,0.4,49,Wind blowing from the east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,16.3,,,,,,18.0,1.0,No precipitation,12,,,,
05.04.2020 17:00,15.7,767.5,768.7,-1.2,38,Wind blowing from the north-east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,16.3,,,,,,29.0,1.4,No precipitation,12,,,,
05.04.2020 14:00,15.2,768.7,770.0,-2.4,39,Wind blowing from the north-east,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,18.4,,,,,,30.0,1.3,No precipitation,12,,,,
05.04.2020 11:00,13.1,771.1,772.4,-0.2,50,Wind blowing from the east,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,19.3,,,,,,20.0,2.9,No precipitation,12,,,,
05.04.2020 08:00,7.7,771.3,772.6,0.8,76,Wind blowing from the north-east,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,19.3,,,,,,9.0,3.7,No precipitation,12,,,,
05.04.2020 05:00,2.0,770.5,771.8,0.1,96,Wind blowing from the north-east,1,,8,no clouds,Mist. ,,,1.7,19.3,,,,,,6.0,1.4,No precipitation,12,,,,
05.04.2020 02:00,4.1,770.4,771.7,-0.5,87,Wind blowing from the north-east,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,19.3,,,,,,16.0,2.1,No precipitation,12,,,,
04.04.2020 23:00,6.6,770.9,772.2,1.2,74,Wind blowing from the east,2,,10,no clouds,Cloud development not observed or not observable. ,,,6.6,19.3,,,,,,18.0,2.3,No precipitation,12,,,,
