Local time in Dunhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,15.2,757.3,763.8,1.2,84,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,,,10.5,22.7,,,2500 or more  or no clouds.,,,11.0,12.5,No precipitation,12,,,,
07.04.2020 20:00,17.3,756.1,762.7,0.5,70,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,22.7,,,2500 or more  or no clouds.,,,11.0,11.8,No precipitation,12,,,,
07.04.2020 17:00,22.3,755.6,762.1,-1.2,41,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,22.7,,,2500 or more  or no clouds.,,,15.0,8.4,No precipitation,12,,,,
07.04.2020 14:00,21.1,756.8,763.3,-2.3,48,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,21.2,,,2500 or more  or no clouds.,,,13.0,9.7,No precipitation,12,,,,
07.04.2020 11:00,14.3,759.1,765.7,0.9,87,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.7,,,2500 or more  or no clouds.,,,6.0,12.2,No precipitation,12,,,,
07.04.2020 08:00,10.7,758.2,764.8,1.1,99,Wind blowing from the east,1,,2,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.7,,,2500 or more  or no clouds.,,,0.3,10.5,No precipitation,12,,,,
07.04.2020 05:00,10.9,757.1,763.6,-0.5,99,Wind blowing from the south-east,1,,3,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,10.9,17.7,,,2500 or more  or no clouds.,,,0.2,10.7,No precipitation,12,,,,
07.04.2020 02:00,11.6,757.6,764.2,-0.6,97,Wind blowing from the east-southeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,17.7,,,2500 or more  or no clouds.,,,3.5,11.1,No precipitation,12,,,,
06.04.2020 23:00,12.8,758.2,764.7,0.6,95,Wind blowing from the west,1,,3,,Mist. ,,,12.4,17.7,,,2500 or more  or no clouds.,,,3.8,12.0,No precipitation,12,,,,
06.04.2020 20:00,14.6,757.6,764.1,0.9,85,Wind blowing from the south-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,17.7,,,2500 or more  or no clouds.,,,7.0,12.1,No precipitation,12,,,,
