Local time in Ganzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,15.3,751.3,763.6,1.1,88,Wind blowing from the south,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.1,22.2,,,2500 or more  or no clouds.,,,8.0,13.3,No precipitation,12,,,,
07.04.2020 20:00,17.2,750.2,762.6,1.0,77,Wind blowing from the east-southeast,0,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,22.2,,,2500 or more  or no clouds.,,,10.0,13.1,No precipitation,12,,,,
07.04.2020 17:00,21.2,749.2,761.5,-1.4,49,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,22.2,,,2500 or more  or no clouds.,,,13.0,10.1,No precipitation,12,,,,
07.04.2020 14:00,20.6,750.6,762.9,-1.9,50,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,20.6,,,2500 or more  or no clouds.,,,13.0,9.8,No precipitation,12,,,,
07.04.2020 11:00,16.6,752.5,765.0,0.4,71,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,16.9,,,2500 or more  or no clouds.,,,10.0,11.3,No precipitation,12,,,,
07.04.2020 08:00,13.0,752.1,764.6,1.0,93,Wind blowing from the north-west,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,13.5,,,2500 or more  or no clouds.,,,6.0,11.9,No precipitation,12,,,,
07.04.2020 05:00,12.5,751.1,763.6,-0.5,96,Wind blowing from the north-east,1,,2,,Cloud development not observed or not observable. ,,,12.2,13.5,,,2500 or more  or no clouds.,,,7.0,11.9,No precipitation,12,,,,
07.04.2020 02:00,12.7,751.6,764.1,-0.6,97,Wind blowing from the south-southeast,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,13.5,,,2500 or more  or no clouds.,,,7.0,12.2,0.1,12,,,,
06.04.2020 23:00,12.8,752.2,764.8,0.3,96,Wind blowing from the east-northeast,1,,3,,Mist. ,,,12.2,13.5,,,2500 or more  or no clouds.,,,6.0,12.2,2.0,12,,,,
06.04.2020 20:00,13.2,751.9,764.4,1.0,92,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,13.5,,,2500 or more  or no clouds.,,,9.0,11.9,2.0,12,,,,
06.04.2020 17:00,13.4,750.9,763.4,-1.2,91,Wind blowing from the south-southwest,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,13.5,,,2500 or more  or no clouds.,,,9.0,12.0,4.0,12,,,,
