Local time in Jingdezhen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.6,758.1,763.7,0.7,76,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,9.2,24.4,,,2500 or more  or no clouds.,,,12.0,10.4,No precipitation,12,,,,
07.04.2020 20:00,18.4,757.4,763.0,0.9,52,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,24.4,,,2500 or more  or no clouds.,,,14.0,8.4,No precipitation,12,,,,
07.04.2020 17:00,23.4,756.5,762.1,-0.9,36,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,24.4,,,2500 or more  or no clouds.,,,14.0,7.5,No precipitation,12,,,,
07.04.2020 14:00,23.8,757.4,763.0,-2.0,26,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,23.9,,,2500 or more  or no clouds.,,,15.0,3.2,No precipitation,12,,,,
07.04.2020 11:00,19.8,759.4,765.1,-0.2,45,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,22.7,,,2500 or more  or no clouds.,,,13.0,7.5,No precipitation,12,,,,
07.04.2020 08:00,12.6,759.6,765.3,1.2,72,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,21.8,,,2500 or more  or no clouds.,,,14.0,7.7,No precipitation,12,,,,
07.04.2020 05:00,9.7,758.4,764.1,0.2,89,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,9.7,21.8,,,2500 or more  or no clouds.,,,14.0,8.0,No precipitation,12,,,,
07.04.2020 02:00,11.0,758.2,763.9,-1.0,84,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,21.8,,,2500 or more  or no clouds.,,,15.0,8.4,No precipitation,12,,,,
06.04.2020 23:00,12.6,759.2,764.9,0.7,72,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,12.2,21.8,,,2500 or more  or no clouds.,,,16.0,7.7,No precipitation,12,,,,
06.04.2020 20:00,15.7,758.5,764.2,1.5,58,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,21.8,,,2500 or more  or no clouds.,,,14.0,7.5,No precipitation,12,,,,
06.04.2020 17:00,19.9,757.0,762.7,-1.4,33,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,21.8,,,2500 or more  or no clouds.,,,16.0,3.2,No precipitation,12,,,,
06.04.2020 14:00,21.0,758.4,764.0,-2.0,33,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,21.2,,,2500 or more  or no clouds.,,,15.0,4.1,No precipitation,12,,,,
06.04.2020 11:00,17.0,760.4,766.1,-0.2,51,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,19.4,,,2500 or more  or no clouds.,,,12.0,6.8,No precipitation,12,,,,
06.04.2020 08:00,13.2,760.6,766.3,0.6,76,Wind blowing from the north,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,9.0,9.1,No precipitation,12,,,,
06.04.2020 05:00,12.4,760.0,765.7,-1.0,83,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.0,19.4,,,2500 or more  or no clouds.,,,9.0,9.6,No precipitation,12,,,,
06.04.2020 02:00,12.9,761.0,766.7,-1.2,82,Wind blowing from the north-east,0,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,19.4,,,2500 or more  or no clouds.,,,9.0,9.9,No precipitation,12,,,,
05.04.2020 23:00,13.3,762.2,767.9,0.6,72,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,11.0,19.4,,,2500 or more  or no clouds.,,,11.0,8.4,No precipitation,12,,,,
05.04.2020 20:00,15.2,761.6,767.3,1.0,65,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,19.4,,,2500 or more  or no clouds.,,,9.0,8.7,No precipitation,12,,,,
