Local time in Yichun (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.9,750.9,762.7,0.7,47,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.8,,,2500 or more  or no clouds.,,,13.0,7.4,No precipitation,12,,,,
07.04.2020 17:00,23.0,750.2,762.0,-1.1,32,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.8,,,2500 or more  or no clouds.,,,11.0,5.4,No precipitation,12,,,,
07.04.2020 14:00,22.9,751.3,763.0,-2.0,30,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.2,,,2500 or more  or no clouds.,,,30.0,4.4,No precipitation,12,,,,
07.04.2020 11:00,19.8,753.3,765.1,0.5,46,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,21.1,,,2500 or more  or no clouds.,,,11.0,7.9,No precipitation,12,,,,
07.04.2020 08:00,11.2,752.8,764.7,0.9,83,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,21.1,,,2500 or more  or no clouds.,,,11.0,8.4,No precipitation,12,,,,
07.04.2020 05:00,9.6,751.9,763.8,-0.3,91,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,,,9.6,21.1,,,2500 or more  or no clouds.,,,7.0,8.2,No precipitation,12,,,,
07.04.2020 02:00,11.4,752.2,764.0,,88,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,21.1,,,2500 or more  or no clouds.,,,8.0,9.5,No precipitation,12,,,,
06.04.2020 20:00,18.2,751.9,763.7,1.2,54,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,21.1,,,2500 or more  or no clouds.,,,13.0,8.7,No precipitation,12,,,,
06.04.2020 17:00,20.5,750.7,762.5,-1.5,42,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,21.1,,,2500 or more  or no clouds.,,,16.0,7.2,No precipitation,12,,,,
06.04.2020 14:00,20.0,752.2,764.0,-2.0,42,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,20.1,,,2500 or more  or no clouds.,,,14.0,6.7,No precipitation,12,,,,
06.04.2020 11:00,17.4,754.2,766.0,-0.1,53,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.4,,,2500 or more  or no clouds.,,,8.0,7.7,No precipitation,12,,,,
06.04.2020 08:00,12.2,754.3,766.3,0.8,83,Wind blowing from the south-east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.4,,,2500 or more  or no clouds.,,,4.2,9.4,No precipitation,12,,,,
06.04.2020 05:00,10.7,753.5,765.5,-0.8,91,Wind blowing from the south-southeast,1,,6,,Mist. ,,,10.7,17.4,,,2500 or more  or no clouds.,,,3.1,9.3,No precipitation,12,,,,
06.04.2020 02:00,13.3,754.3,766.3,,81,Wind blowing from the south-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,17.4,,,2500 or more  or no clouds.,,,4.3,10.1,No precipitation,12,,,,
05.04.2020 20:00,15.2,754.8,766.8,0.9,63,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,17.4,,,2500 or more  or no clouds.,,,8.0,8.2,No precipitation,12,,,,
05.04.2020 17:00,16.5,753.9,765.8,-1.3,56,Wind blowing from the east-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,18.3,,,2500 or more  or no clouds.,,,9.0,7.7,No precipitation,12,,,,
05.04.2020 14:00,16.9,755.2,767.1,-1.5,60,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,18.9,,,2500 or more  or no clouds.,,,8.0,9.1,No precipitation,12,,,,
05.04.2020 11:00,14.9,756.7,768.7,0.4,64,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,18.9,,,2500 or more  or no clouds.,,,8.0,8.2,No precipitation,12,,,,
05.04.2020 08:00,12.6,756.3,768.3,1.3,87,Wind blowing from the east-southeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,18.9,,,2500 or more  or no clouds.,,,5.0,10.5,No precipitation,12,,,,
05.04.2020 05:00,11.9,755.0,766.9,-0.4,90,Wind blowing from the east-northeast,1,,,,Mist. ,,,9.9,18.9,,,2500 or more  or no clouds.,,,5.0,10.3,No precipitation,12,,,,
05.04.2020 02:00,12.4,755.4,767.3,,85,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.9,,,2500 or more  or no clouds.,,,7.0,10.0,No precipitation,12,,,,
04.04.2020 20:00,15.3,755.8,767.8,1.0,69,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.9,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
04.04.2020 17:00,18.2,754.8,766.7,-0.9,52,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.9,,,2500 or more  or no clouds.,,,16.0,8.2,No precipitation,12,,,,
04.04.2020 14:00,17.4,755.7,767.7,-1.6,56,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,17.4,,,2500 or more  or no clouds.,,,7.0,8.5,No precipitation,12,,,,
04.04.2020 11:00,14.1,757.3,769.3,0.2,73,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,14.1,,,2500 or more  or no clouds.,,,8.0,9.3,No precipitation,12,,,,
04.04.2020 08:00,10.3,757.1,769.3,1.5,95,Wind blowing from the south-southwest,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,2500 or more  or no clouds.,,,3.2,9.5,No precipitation,12,,,,
04.04.2020 05:00,10.0,755.6,767.8,0.1,96,Wind blowing from the west,1,,6,,Mist. ,,,9.9,12.5,,,2500 or more  or no clouds.,,,1.6,9.4,0.7,12,,,,
04.04.2020 02:00,9.9,755.5,767.6,,94,Wind blowing from the south-southwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,12.5,,,2500 or more  or no clouds.,,,3.0,9.0,2.0,12,,,,
03.04.2020 20:00,10.2,755.7,767.8,1.3,92,Wind blowing from the south-east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,12.5,,,2500 or more  or no clouds.,,,2.5,9.0,12.0,12,,,,
03.04.2020 17:00,11.4,754.4,766.5,-0.2,93,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.5,,,2500 or more  or no clouds.,,,1.7,10.3,22.0,12,,,,
03.04.2020 14:00,12.3,754.6,766.6,-1.6,95,Wind blowing from the north-east,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.5,,,2500 or more  or no clouds.,,,2.7,11.5,22.0,12,,,,
03.04.2020 11:00,11.8,756.2,768.3,1.3,97,Wind blowing from the west,1,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,11.9,,,2500 or more  or no clouds.,,,1.4,11.3,19.0,12,,,,
