Local time in Changbai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,-0.6,693.1,763.2,1.1,50,Wind blowing from the south-west,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,5.1,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
07.04.2020 17:00,2.2,692.0,762.4,0.4,41,Wind blowing from the north-east,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,10.7,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
07.04.2020 14:00,3.5,691.6,761.7,-0.3,22,Wind blowing from the east-southeast,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,11.6,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
07.04.2020 11:00,4.2,691.9,761.6,-1.1,21,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,11.6,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
07.04.2020 08:00,0.9,693.0,762.6,-0.1,35,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,11.6,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
07.04.2020 05:00,-4.9,693.1,762.6,-0.1,73,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,-8.6,11.6,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
07.04.2020 02:00,-3.3,693.2,762.4,,65,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,11.6,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
06.04.2020 20:00,3.8,692.7,762.7,0.9,28,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,11.6,,,2500 or more  or no clouds.,,,26.0,-13.0,No precipitation,12,,,,
06.04.2020 17:00,10.7,691.8,761.5,-0.7,9,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,11.6,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
06.04.2020 14:00,11.4,692.5,762.0,-2.4,11,Wind blowing from the west,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,11.5,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
06.04.2020 11:00,5.5,694.9,765.0,-2.1,20,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,7.0,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
06.04.2020 08:00,-2.6,697.0,767.8,-0.4,47,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,7.0,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
06.04.2020 05:00,-8.5,697.4,768.5,-0.1,77,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,,,-9.1,7.0,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.04.2020 02:00,-6.4,697.5,768.1,,70,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,7.0,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
05.04.2020 20:00,1.2,697.1,767.8,1.6,32,Wind blowing from the east-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,7.0,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
05.04.2020 17:00,4.9,695.5,766.4,0.4,19,Wind blowing from the east-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,7.0,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
05.04.2020 14:00,6.9,695.1,765.4,-1.0,14,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,7.0,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
05.04.2020 11:00,2.9,696.1,766.7,-1.8,28,Wind blowing from the south-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,2.9,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
05.04.2020 08:00,-1.8,697.9,769.2,0.0,35,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,0.4,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
05.04.2020 05:00,-8.8,697.9,769.9,0.3,58,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,-9.0,0.4,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
05.04.2020 02:00,-6.3,697.6,769.2,,50,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,0.4,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
04.04.2020 20:00,-3.0,697.3,769.0,1.8,29,Wind blowing from the south,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
04.04.2020 17:00,-1.3,695.5,766.9,1.5,24,Wind blowing from the east,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
04.04.2020 14:00,-0.6,694.0,764.8,-0.7,26,Wind blowing from the south-east,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
04.04.2020 11:00,-1.7,694.7,765.1,-0.1,34,Wind blowing from the east-southeast,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
04.04.2020 08:00,-4.4,694.8,764.5,0.7,55,Wind blowing from the south-southeast,3,,19,,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-5.9,13.5,,,2500 or more  or no clouds.,,,30.0,-12.2,1.0,12,,,,
04.04.2020 05:00,-5.8,694.1,763.6,1.1,63,Wind blowing from the east,2,,19,,Cloud development not observed or not observable. ,,,-5.9,13.5,,,2500 or more  or no clouds.,,,30.0,-11.8,1.0,12,,,,
04.04.2020 02:00,-3.3,693.0,761.9,,68,Wind blowing from the north-east,5,,19,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.5,,,2500 or more  or no clouds.,,,13.0,-8.5,1.0,12,,,,
