Local time in Changling Economic Development Area,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,2.0,747.9,765.7,0.6,38,Wind blowing from the north-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.9,,,2500 or more  or no clouds.,,,20.0,-11.1,No precipitation,12,,,,
07.04.2020 17:00,6.6,747.3,765.1,-0.3,23,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.9,,,2500 or more  or no clouds.,,,16.0,-13.0,No precipitation,12,,,,
07.04.2020 14:00,7.7,747.6,765.4,-0.6,24,Wind blowing from the north,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,11.6,,,2500 or more  or no clouds.,,,13.0,-11.5,No precipitation,12,,,,
07.04.2020 11:00,6.8,748.2,766.0,-0.3,24,Wind blowing from the north-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.8,,,2500 or more  or no clouds.,,,14.0,-12.3,No precipitation,12,,,,
07.04.2020 08:00,1.8,748.5,766.3,0.5,38,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,,,,2500 or more  or no clouds.,,,13.0,-11.3,No precipitation,12,,,,
07.04.2020 05:00,-1.9,748.0,765.8,-0.9,62,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,,,-3.0,14.8,,,2500 or more  or no clouds.,,,25.0,-8.3,No precipitation,12,,,,
07.04.2020 02:00,-1.8,748.9,766.6,,60,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.8,,,2500 or more  or no clouds.,,,23.0,-8.7,No precipitation,12,,,,
06.04.2020 20:00,3.3,748.9,766.6,1.8,43,Wind blowing from the north-east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.8,,,2500 or more  or no clouds.,,,13.0,-8.3,No precipitation,12,,,,
06.04.2020 17:00,6.9,747.1,764.8,0.9,40,Wind blowing from the north,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.8,,,2500 or more  or no clouds.,,,13.0,-6.0,No precipitation,12,,,,
06.04.2020 14:00,11.6,746.2,763.6,-0.3,25,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.8,,,2500 or more  or no clouds.,,,9.0,-7.7,No precipitation,12,,,,
