Local time in Dunhua,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,-1.6,714.8,763.2,0.7,43,Wind blowing from the west-northwest,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,4.4,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
07.04.2020 17:00,2.1,714.1,762.4,-0.2,29,Wind blowing from the north-northwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.7,,,2500 or more  or no clouds.,,,29.0,-14.1,No precipitation,12,,,,
07.04.2020 14:00,3.3,714.3,762.4,-0.3,25,Wind blowing from the north-northwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.0,,,2500 or more  or no clouds.,,,28.0,-14.9,No precipitation,12,,,,
07.04.2020 11:00,2.6,714.6,762.5,-0.5,21,Wind blowing from the north-west,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,,,,2500 or more  or no clouds.,,,19.0,-17.6,No precipitation,12,,,,
07.04.2020 08:00,1.5,715.1,763.2,-0.2,28,Wind blowing from the north-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
07.04.2020 05:00,-1.8,715.3,763.0,-0.4,58,Wind blowing from the south-southwest,3,,11,,Cloud development not observed or not observable. ,,,-6.4,12.0,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
07.04.2020 02:00,-1.4,715.7,763.3,,63,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,12.0,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
06.04.2020 20:00,2.6,714.3,762.2,0.2,29,Wind blowing from the north-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,12.0,,,2500 or more  or no clouds.,,,8.0,-13.7,No precipitation,12,,,,
06.04.2020 17:00,9.7,714.1,762.1,-0.7,11,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,12.0,,,2500 or more  or no clouds.,,,11.0,-19.4,No precipitation,12,,,,
06.04.2020 14:00,11.6,714.8,762.6,-1.8,8,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,11.9,,,2500 or more  or no clouds.,,,10.0,-21.6,No precipitation,12,,,,
06.04.2020 11:00,9.2,716.6,764.5,-1.6,9,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,9.2,,,2500 or more  or no clouds.,,,12.0,-22.1,No precipitation,12,,,,
06.04.2020 08:00,2.4,718.2,766.6,-0.4,38,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,6.6,,,2500 or more  or no clouds.,,,7.0,-10.5,No precipitation,12,,,,
06.04.2020 05:00,-6.1,718.6,767.4,-0.3,66,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,-6.5,6.6,,,2500 or more  or no clouds.,,,8.0,-11.4,No precipitation,12,,,,
06.04.2020 02:00,-5.0,718.9,767.5,,61,Wind blowing from the south-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,12.0,-11.4,No precipitation,12,,,,
05.04.2020 20:00,-0.1,719.3,768.0,0.7,38,Wind blowing from the south-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,14.0,-12.7,No precipitation,12,,,,
05.04.2020 17:00,5.2,718.6,767.1,0.0,22,Wind blowing from the north-northwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.6,,,2500 or more  or no clouds.,,,17.0,-14.8,No precipitation,12,,,,
05.04.2020 14:00,6.0,718.6,767.2,-1.0,23,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.2,,,2500 or more  or no clouds.,,,22.0,-13.6,No precipitation,12,,,,
05.04.2020 11:00,3.8,719.6,768.2,-0.7,27,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,3.8,,,2500 or more  or no clouds.,,,26.0,-13.5,No precipitation,12,,,,
05.04.2020 08:00,0.2,720.3,769.2,0.6,33,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,1.2,,,2500 or more  or no clouds.,,,29.0,-14.2,No precipitation,12,,,,
05.04.2020 05:00,-4.3,719.7,768.8,0.3,45,Wind blowing from the south-southwest,3,,13,,Cloud development not observed or not observable. ,,,-5.5,1.2,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
05.04.2020 02:00,-4.4,719.4,768.4,,48,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,1.2,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
04.04.2020 20:00,-1.6,719.8,769.0,1.2,36,Wind blowing from the north-northwest,4,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,1.2,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 17:00,-0.1,718.6,767.7,1.1,28,Wind blowing from the north-northwest,7,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,6.6,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
04.04.2020 14:00,0.3,717.5,766.4,0.1,26,Wind blowing from the north-northwest,8,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
04.04.2020 11:00,-1.2,717.4,766.3,0.0,34,Wind blowing from the north-northwest,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
04.04.2020 08:00,-3.6,717.4,766.3,0.9,43,Wind blowing from the north-northwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,,,,2500 or more  or no clouds.,,,30.0,-14.4,0.5,12,,,,
04.04.2020 05:00,-4.9,716.5,764.8,0.6,55,Wind blowing from the north-northwest,4,,14,,Cloud development not observed or not observable. ,,,-4.9,13.7,,,2500 or more  or no clouds.,,,30.0,-12.6,1.0,12,,,,
04.04.2020 02:00,-4.0,715.9,763.5,,60,Wind blowing from the north-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,13.7,,,2500 or more  or no clouds.,,,30.0,-10.6,1.0,12,,,,
03.04.2020 20:00,-0.8,712.9,760.9,3.6,82,Wind blowing from the north-northwest,8,,,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,13.7,,,2500 or more  or no clouds.,,,3.2,-3.5,0.7,12,,,,
03.04.2020 17:00,6.6,709.3,757.0,0.1,64,Wind blowing from the north-northwest,5,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,13.7,,,2500 or more  or no clouds.,,,10.0,0.1,0.1,12,,,,
03.04.2020 14:00,13.2,709.2,756.1,,18,Wind blowing from the south-southwest,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.3,,,2500 or more  or no clouds.,,,12.0,-10.6,No precipitation,12,,,,
03.04.2020 08:00,4.1,714.1,761.4,-1.3,34,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.3,,,2500 or more  or no clouds.,,,14.0,-10.4,No precipitation,12,,,,
03.04.2020 05:00,-3.1,715.4,763.0,-0.8,59,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,-3.1,14.3,,,2500 or more  or no clouds.,,,17.0,-10.0,No precipitation,12,,,,
03.04.2020 02:00,-0.2,716.2,763.4,,42,Wind blowing from the south-southwest,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,14.3,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
02.04.2020 20:00,7.6,715.3,762.4,1.5,32,Wind blowing from the north-northwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,14.3,,,2500 or more  or no clouds.,,,11.0,-8.0,No precipitation,12,,,,
02.04.2020 17:00,12.2,713.8,760.9,0.5,18,Wind blowing from the north-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,14.3,,,2500 or more  or no clouds.,,,16.0,-11.4,No precipitation,12,,,,
02.04.2020 14:00,13.9,713.3,760.6,-0.5,14,Wind blowing from the west-northwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,14.3,,,2500 or more  or no clouds.,,,13.0,-13.2,No precipitation,12,,,,
02.04.2020 11:00,13.1,713.8,761.0,-0.9,12,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,13.5,,,2500 or more  or no clouds.,,,14.0,-15.7,No precipitation,12,,,,
02.04.2020 08:00,8.0,714.7,762.2,0.0,18,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,9.0,,,2500 or more  or no clouds.,,,17.0,-14.9,No precipitation,12,,,,
02.04.2020 05:00,2.7,714.7,762.2,-0.7,27,Wind blowing from the south-southwest,4,,7,,Cloud development not observed or not observable. ,,,-2.9,9.0,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
02.04.2020 02:00,-2.4,715.4,763.3,,48,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,9.0,,,2500 or more  or no clouds.,,,28.0,-11.9,No precipitation,12,,,,
01.04.2020 20:00,1.6,716.5,764.4,1.2,31,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.0,,,2500 or more  or no clouds.,,,15.0,-13.7,No precipitation,12,,,,
01.04.2020 17:00,7.5,715.3,763.3,-0.1,15,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.2,,,2500 or more  or no clouds.,,,18.0,-17.5,No precipitation,12,,,,
01.04.2020 14:00,8.4,715.4,763.1,-1.7,11,Wind blowing from the north-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,13.7,,,2500 or more  or no clouds.,,,23.0,-20.4,No precipitation,12,,,,
01.04.2020 11:00,7.0,717.1,764.8,-0.3,15,Wind blowing from the north-northwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.1,,,2500 or more  or no clouds.,,,20.0,-17.9,No precipitation,12,,,,
01.04.2020 08:00,4.7,717.4,765.1,0.5,24,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.1,,,2500 or more  or no clouds.,,,20.0,-14.2,No precipitation,12,,,,
01.04.2020 05:00,-2.0,716.9,764.8,0.6,53,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,,,-2.1,14.1,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
01.04.2020 02:00,-0.5,716.3,763.6,,56,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,14.1,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
31.03.2020 20:00,4.9,715.3,762.5,1.8,65,Wind blowing from the south-west,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.1,,,2500 or more  or no clouds.,,,8.0,-1.1,No precipitation,12,,,,
31.03.2020 17:00,9.2,713.5,760.6,0.9,46,Wind blowing from the north-northwest,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.1,,,1000-1500,,,7.0,-1.8,No precipitation,12,,,,
31.03.2020 14:00,13.6,712.6,759.2,-1.2,31,Wind blowing from the west,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,15.0,,,2500 or more  or no clouds.,,,8.0,-3.2,No precipitation,12,,,,
31.03.2020 11:00,12.2,713.8,760.9,-0.6,28,Wind blowing from the south-west,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,15.0,,,2500 or more  or no clouds.,,,11.0,-5.8,No precipitation,12,,,,
31.03.2020 08:00,8.6,714.4,761.4,-0.2,27,Wind blowing from the south,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,15.0,,,2500 or more  or no clouds.,,,15.0,-9.4,No precipitation,12,,,,
31.03.2020 05:00,4.1,714.6,761.5,-0.6,37,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,,,-4.5,15.0,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
31.03.2020 02:00,4.6,715.2,761.9,,35,Wind blowing from the south-southwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,15.0,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
30.03.2020 20:00,6.3,715.2,762.6,0.8,33,Wind blowing from the south-southwest,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,15.0,,,,,,7.0,-8.8,No precipitation,12,,,,
30.03.2020 17:00,13.2,714.4,762.0,0.0,16,Wind blowing from the south-southwest,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,15.0,,,,,,12.0,-12.1,No precipitation,12,,,,
30.03.2020 14:00,14.5,714.4,761.8,-1.1,14,Wind blowing from the south-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,14.8,,,,,,15.0,-12.7,No precipitation,12,,,,
30.03.2020 11:00,11.7,715.5,762.9,-0.9,16,Wind blowing from the south-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,12.0,,,,,,17.0,-13.3,No precipitation,12,,,,
30.03.2020 08:00,4.9,716.4,764.2,0.2,31,Wind blowing from the south,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,12.0,,,,,,16.0,-10.8,No precipitation,12,,,,
30.03.2020 05:00,-4.2,716.2,764.1,0.6,70,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,,,-4.4,12.0,,,2500 or more  or no clouds.,,,28.0,-9.0,No precipitation,12,,,,
30.03.2020 02:00,-3.4,715.6,763.3,,69,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,12.0,,,2500 or more  or no clouds.,,,20.0,-8.3,No precipitation,12,,,,
29.03.2020 20:00,3.4,715.6,763.6,1.0,37,Wind blowing from the north,0,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.0,,,,,,9.0,-9.9,No precipitation,12,,,,
29.03.2020 17:00,10.0,714.6,762.4,-0.4,18,Wind blowing from the south-southwest,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.0,,,,,,18.0,-13.3,No precipitation,12,,,,
29.03.2020 14:00,11.4,715.0,762.7,-1.8,12,Wind blowing from the south-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,11.5,,,,,,20.0,-17.0,No precipitation,12,,,,
29.03.2020 11:00,8.3,716.8,764.8,-1.5,14,Wind blowing from the south-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,8.4,,,,,,21.0,-17.7,No precipitation,12,,,,
29.03.2020 08:00,1.5,718.3,767.0,-0.2,30,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,2.9,,,2500 or more  or no clouds.,,,24.0,-14.2,No precipitation,12,,,,
29.03.2020 05:00,-4.4,718.5,767.4,-0.1,46,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,,,-5.4,2.9,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
29.03.2020 02:00,-4.5,718.6,767.4,,49,Wind blowing from the south-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,2.9,,,2500 or more  or no clouds.,,,29.0,-13.6,No precipitation,12,,,,
28.03.2020 20:00,-1.9,718.6,767.6,1.2,38,Wind blowing from the west-southwest,1,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,2.9,,,,,,30.0,-14.4,No precipitation,12,,,,
28.03.2020 17:00,1.7,717.4,766.3,-0.6,23,Wind blowing from the south-west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,2.9,,,,,,30.0,-17.2,No precipitation,12,,,,
28.03.2020 14:00,2.2,718.0,766.8,-0.9,18,Wind blowing from the south-west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,3.5,,,,,,29.0,-19.7,No precipitation,12,,,,
28.03.2020 11:00,0.1,718.9,767.9,-0.1,22,Wind blowing from the north-west,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,3.5,,,,,,29.0,-19.1,No precipitation,12,,,,
28.03.2020 08:00,-2.8,719.0,768.2,1.6,29,Wind blowing from the west-northwest,4,,9,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,,,,,,,25.0,-18.4,0.1,12,,,,
28.03.2020 05:00,-5.4,717.4,766.3,0.8,42,Wind blowing from the south-southwest,3,,12,,Cloud development not observed or not observable. ,,,-6.0,3.5,,,2500 or more  or no clouds.,,,30.0,-16.3,0.2,12,,,,
