Local time in Huadian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,1.2,739.8,764.5,0.6,54,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,8.6,,,2500 or more  or no clouds.,,,11.0,-7.1,No precipitation,12,,,,
07.04.2020 17:00,5.5,739.2,763.9,0.3,27,Wind blowing from the west-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,12.1,,,2500 or more  or no clouds.,,,11.0,-12.0,No precipitation,12,,,,
07.04.2020 14:00,7.3,738.9,763.3,-0.8,23,Wind blowing from the west-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.2,,,2500 or more  or no clouds.,,,14.0,-12.5,No precipitation,12,,,,
07.04.2020 11:00,6.3,739.7,764.1,-0.8,27,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.2,,,2500 or more  or no clouds.,,,13.0,-11.3,No precipitation,12,,,,
07.04.2020 08:00,3.5,740.5,764.8,0.0,48,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.2,,,2500 or more  or no clouds.,,,14.0,-6.5,No precipitation,12,,,,
07.04.2020 05:00,-2.8,740.5,764.9,-0.4,87,Wind blowing from the south-west,1,,13,,Cloud development not observed or not observable. ,,,-7.1,13.2,,,2500 or more  or no clouds.,,,20.0,-4.7,No precipitation,12,,,,
07.04.2020 02:00,0.6,740.9,765.2,,64,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.2,,,2500 or more  or no clouds.,,,15.0,-5.6,No precipitation,12,,,,
06.04.2020 20:00,8.0,738.5,763.0,0.8,31,Wind blowing from the north-west,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.2,,,2500 or more  or no clouds.,,,3.6,-8.1,No precipitation,12,,,,
06.04.2020 17:00,12.1,737.7,762.2,-1.2,16,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,13.2,,,2500 or more  or no clouds.,,,8.0,-13.0,No precipitation,12,,,,
06.04.2020 14:00,12.5,738.9,763.4,-2.2,12,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,13.2,,,2500 or more  or no clouds.,,,10.0,-16.2,No precipitation,12,,,,
06.04.2020 11:00,8.8,741.1,765.7,-1.6,21,Wind blowing from the south-southwest,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,9.3,,,2500 or more  or no clouds.,,,5.0,-12.3,No precipitation,12,,,,
06.04.2020 08:00,0.0,742.7,767.7,-0.5,66,Wind blowing from the east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,9.3,,,2500 or more  or no clouds.,,,4.7,-5.6,No precipitation,12,,,,
06.04.2020 05:00,-6.5,743.2,768.1,-0.3,98,Wind blowing from the north-northwest,1,,5,,Mist. ,,,-7.0,9.3,,,2500 or more  or no clouds.,,,6.0,-6.8,No precipitation,12,,,,
06.04.2020 02:00,-5.6,743.5,768.3,,94,Wind blowing from the east,0,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,9.3,,,2500 or more  or no clouds.,,,7.0,-6.4,No precipitation,12,,,,
05.04.2020 20:00,0.4,743.7,768.7,0.9,53,Wind blowing from the south-west,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.3,,,2500 or more  or no clouds.,,,5.0,-8.1,No precipitation,12,,,,
05.04.2020 17:00,8.1,742.8,767.6,-0.6,21,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.3,,,2500 or more  or no clouds.,,,11.0,-12.9,No precipitation,12,,,,
05.04.2020 14:00,8.3,743.4,768.1,-1.6,20,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,8.9,,,2500 or more  or no clouds.,,,16.0,-13.4,No precipitation,12,,,,
05.04.2020 11:00,6.3,745.0,769.9,-1.1,26,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,6.3,,,2500 or more  or no clouds.,,,11.0,-11.8,No precipitation,12,,,,
05.04.2020 08:00,-0.1,746.1,771.1,0.5,47,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,4.1,,,2500 or more  or no clouds.,,,7.0,-10.1,No precipitation,12,,,,
05.04.2020 05:00,-4.9,745.6,770.8,0.2,62,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,,,-5.0,4.1,,,2500 or more  or no clouds.,,,15.0,-11.1,No precipitation,12,,,,
05.04.2020 02:00,-3.5,745.4,770.5,,56,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,4.1,,,2500 or more  or no clouds.,,,29.0,-11.2,No precipitation,12,,,,
04.04.2020 20:00,0.0,745.8,770.8,1.4,31,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,4.1,,,2500 or more  or no clouds.,,,14.0,-15.1,No precipitation,12,,,,
04.04.2020 17:00,2.8,744.4,769.5,0.4,21,Wind blowing from the north-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,,,,2500 or more  or no clouds.,,,11.0,-17.4,No precipitation,12,,,,
04.04.2020 14:00,3.3,744.0,768.9,-0.3,18,Wind blowing from the north-west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,,,,2500 or more  or no clouds.,,,14.0,-18.8,No precipitation,12,,,,
04.04.2020 11:00,1.5,744.3,769.3,-0.3,23,Wind blowing from the north-northwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,,,,2500 or more  or no clouds.,,,18.0,-17.4,No precipitation,12,,,,
04.04.2020 08:00,-0.1,744.6,769.5,1.2,30,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,,,,2500 or more  or no clouds.,,,25.0,-15.6,No precipitation,12,,,,
04.04.2020 05:00,-2.7,743.4,767.8,0.8,47,Wind blowing from the west-northwest,3,,15,,Cloud development not observed or not observable. ,,,-3.9,17.3,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
04.04.2020 02:00,-1.5,742.6,766.9,,50,Wind blowing from the west-northwest,3,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.3,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
03.04.2020 20:00,2.4,738.3,762.8,6.8,68,Wind blowing from the north,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.3,,,2500 or more  or no clouds.,,,20.0,-2.9,No precipitation,12,,,,
03.04.2020 17:00,13.9,731.5,755.7,-1.2,27,Wind blowing from the west,7,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.3,,,2500 or more  or no clouds.,,,10.0,-4.8,No precipitation,12,,,,
03.04.2020 14:00,16.7,732.7,756.7,-2.8,16,Wind blowing from the west,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.5,,,2500 or more  or no clouds.,,,17.0,-9.2,No precipitation,12,,,,
03.04.2020 11:00,14.1,735.5,759.4,-2.6,25,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.5,,,2500 or more  or no clouds.,,,12.0,-5.6,No precipitation,12,,,,
03.04.2020 08:00,3.7,738.1,762.5,-0.9,64,Wind blowing from the south-east,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,,,,2500 or more  or no clouds.,,,5.0,-2.5,No precipitation,12,,,,
03.04.2020 05:00,-3.4,739.0,763.3,-0.9,97,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,-5.9,17.5,,,2500 or more  or no clouds.,,,7.0,-3.8,No precipitation,12,,,,
03.04.2020 02:00,-1.9,739.9,764.1,,90,Wind blowing from the south-east,0,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,17.5,,,2500 or more  or no clouds.,,,7.0,-3.3,No precipitation,12,,,,
02.04.2020 20:00,6.2,738.6,762.8,0.8,45,Wind blowing from the west,0,,14,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.5,,,2500 or more  or no clouds.,,,5.0,-4.9,No precipitation,12,,,,
02.04.2020 17:00,14.6,737.8,762.2,0.7,19,Wind blowing from the west-northwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,17.5,,,2500 or more  or no clouds.,,,16.0,-8.8,No precipitation,12,,,,
02.04.2020 14:00,17.3,737.1,761.3,-1.3,15,Wind blowing from the west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,17.3,,,2500 or more  or no clouds.,,,21.0,-9.6,No precipitation,12,,,,
02.04.2020 11:00,12.0,738.4,762.7,-1.2,22,Wind blowing from the west-southwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.8,,,2500 or more  or no clouds.,,,18.0,-9.1,No precipitation,12,,,,
02.04.2020 08:00,6.4,739.6,764.0,0.0,31,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,11.4,,,2500 or more  or no clouds.,,,8.0,-9.5,No precipitation,12,,,,
02.04.2020 05:00,-5.5,739.6,764.3,-0.3,98,Wind blowing from the west-northwest,0,,5,,Cloud development not observed or not observable. ,,,-5.7,11.4,,,2500 or more  or no clouds.,,,15.0,-5.8,No precipitation,12,,,,
02.04.2020 02:00,-4.7,739.9,764.5,,96,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,11.4,,,2500 or more  or no clouds.,,,10.0,-5.2,No precipitation,12,,,,
01.04.2020 20:00,3.1,740.5,765.1,1.2,42,Wind blowing from the south,0,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,11.4,,,2500 or more  or no clouds.,,,10.0,-8.6,No precipitation,12,,,,
01.04.2020 17:00,9.8,739.3,763.9,-0.5,17,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,11.4,,,2500 or more  or no clouds.,,,19.0,-14.1,No precipitation,12,,,,
01.04.2020 14:00,10.7,739.8,764.2,-1.6,13,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,13.6,,,2500 or more  or no clouds.,,,20.0,-16.6,No precipitation,12,,,,
01.04.2020 11:00,9.2,741.4,765.7,-0.5,15,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.3,,,2500 or more  or no clouds.,,,22.0,-16.1,No precipitation,12,,,,
01.04.2020 08:00,3.6,741.9,766.3,0.8,51,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.3,,,2500 or more  or no clouds.,,,7.0,-5.6,No precipitation,12,,,,
01.04.2020 05:00,-2.8,741.1,765.7,0.8,92,Wind blowing from the north-northeast,0,,8,,Cloud development not observed or not observable. ,,,-2.8,14.3,,,2500 or more  or no clouds.,,,8.0,-3.9,No precipitation,12,,,,
01.04.2020 02:00,-1.8,740.3,764.7,,85,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,14.3,,,2500 or more  or no clouds.,,,8.0,-4.0,No precipitation,12,,,,
31.03.2020 20:00,9.0,739.2,763.3,2.0,34,Wind blowing from the west,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,14.3,,,1000-1500,,,12.0,-6.0,No precipitation,12,,,,
31.03.2020 17:00,11.2,737.2,761.5,0.9,42,Wind blowing from the north-west,4,,11,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,15.1,,,1000-1500,,,5.0,-1.2,No precipitation,12,,,,
31.03.2020 14:00,13.6,736.3,760.5,-1.1,40,Wind blowing from the west,4,,11,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,16.5,,,1000-1500,,,6.0,0.3,No precipitation,12,,,,
31.03.2020 11:00,13.5,737.4,761.5,-0.2,37,Wind blowing from the west-southwest,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,16.5,,,1000-1500,,,9.0,-0.9,No precipitation,12,,,,
31.03.2020 08:00,5.8,737.6,761.9,0.0,59,Wind blowing from the north,0,,2,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,16.5,,,2500 or more  or no clouds.,,,6.0,-1.6,No precipitation,12,,,,
31.03.2020 05:00,-0.4,737.6,761.8,-0.8,89,Wind blowing from the north,0,,4,,Mist. ,,,-5.3,16.5,,,2500 or more  or no clouds.,,,6.0,-2.0,No precipitation,12,,,,
31.03.2020 02:00,-0.8,738.4,762.5,,94,Wind blowing from the north-northwest,0,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,16.5,,,2500 or more  or no clouds.,,,6.0,-1.6,No precipitation,12,,,,
30.03.2020 20:00,4.7,738.1,762.5,1.0,62,Wind blowing from the west-northwest,1,,9,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.5,,,,,,3.1,-2.0,No precipitation,12,,,,
30.03.2020 17:00,15.1,737.1,761.4,-0.6,22,Wind blowing from the west-southwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,16.5,,,,,,14.0,-6.5,No precipitation,12,,,,
30.03.2020 14:00,15.5,737.7,761.9,-1.2,21,Wind blowing from the west-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,15.9,,,,,,18.0,-6.7,No precipitation,12,,,,
30.03.2020 11:00,12.1,738.9,763.3,-1.3,20,Wind blowing from the west-southwest,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,14.0,,,,,,21.0,-10.2,No precipitation,12,,,,
30.03.2020 08:00,3.6,740.2,764.8,0.6,58,Wind blowing from the south-east,0,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,14.0,,,,,,10.0,-3.9,No precipitation,12,,,,
30.03.2020 05:00,-4.7,739.6,764.2,0.2,99,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,,,-7.7,14.0,,,2500 or more  or no clouds.,,,16.0,-4.8,No precipitation,12,,,,
30.03.2020 02:00,-3.7,739.4,763.9,,96,Wind blowing from the west,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,14.0,,,2500 or more  or no clouds.,,,15.0,-4.2,No precipitation,12,,,,
29.03.2020 20:00,2.5,738.6,763.3,1.1,52,Wind blowing from the north,1,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.0,,,,,,5.0,-6.4,No precipitation,12,,,,
29.03.2020 17:00,12.8,737.5,762.1,-0.9,19,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,14.0,,,,,,21.0,-10.3,No precipitation,12,,,,
29.03.2020 14:00,12.4,738.4,763.0,-2.0,18,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,13.1,,,,,,19.0,-11.3,No precipitation,12,,,,
29.03.2020 11:00,10.0,740.4,765.1,-1.9,19,Wind blowing from the west-southwest,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,10.4,,,,,,23.0,-12.6,No precipitation,12,,,,
29.03.2020 08:00,1.4,742.3,767.2,-0.2,47,Wind blowing from the north,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,5.5,,,,,,12.0,-8.7,No precipitation,12,,,,
29.03.2020 05:00,-7.2,742.5,767.5,-0.3,97,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,-7.6,5.5,,,2500 or more  or no clouds.,,,20.0,-7.6,No precipitation,12,,,,
29.03.2020 02:00,-6.6,742.8,767.8,,96,Wind blowing from the north-east,0,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,5.5,,,2500 or more  or no clouds.,,,17.0,-7.1,No precipitation,12,,,,
28.03.2020 20:00,-1.8,742.6,767.7,0.8,58,Wind blowing from the north,0,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,5.5,,,,,,4.9,-9.0,No precipitation,12,,,,
28.03.2020 17:00,4.7,741.8,766.7,-0.8,22,Wind blowing from the west,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,5.5,,,,,,16.0,-15.2,No precipitation,12,,,,
28.03.2020 14:00,4.4,742.6,767.5,-1.8,23,Wind blowing from the west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,5.6,,,2500 or more  or no clouds.,,,24.0,-14.9,No precipitation,12,,,,
28.03.2020 11:00,1.5,744.4,769.4,-0.3,26,Wind blowing from the west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,5.6,,,,,,26.0,-16.0,No precipitation,12,,,,
28.03.2020 08:00,-1.1,744.7,769.8,1.6,38,Wind blowing from the west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,5.6,,,,,,17.0,-13.6,No precipitation,12,,,,
