Local time in Siping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,4.0,748.7,765.7,0.7,33,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.9,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
07.04.2020 17:00,7.0,748.0,765.1,-0.2,24,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,14.0,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
07.04.2020 14:00,7.3,748.2,765.1,-0.5,22,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,15.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
07.04.2020 11:00,7.3,748.7,765.6,-0.4,24,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,,,,2500 or more  or no clouds.,,,22.0,-11.9,No precipitation,12,,,,
07.04.2020 08:00,2.7,749.1,766.0,-0.3,55,Wind blowing from the south-west,3,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,,,,2500 or more  or no clouds.,,,6.0,-5.6,No precipitation,12,,,,
07.04.2020 05:00,-5.7,749.4,766.3,-0.1,85,Wind blowing from the south-east,1,,14,,Cloud development not observed or not observable. ,,,-5.8,15.7,,,2500 or more  or no clouds.,,,29.0,-7.9,No precipitation,12,,,,
07.04.2020 02:00,-2.3,749.5,766.2,,69,Wind blowing from the west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,15.7,,,2500 or more  or no clouds.,,,13.0,-7.3,No precipitation,12,,,,
06.04.2020 20:00,5.9,749.1,765.8,3.4,44,Wind blowing from the north,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.7,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
06.04.2020 17:00,13.9,745.7,762.5,-0.6,14,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,15.7,,,2500 or more  or no clouds.,,,14.0,-13.1,No precipitation,12,,,,
06.04.2020 14:00,14.7,746.3,763.0,-1.6,9,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,15.3,,,2500 or more  or no clouds.,,,14.0,-17.8,No precipitation,12,,,,
