Local time in Tonghua,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,5.4,743.5,764.3,2.1,29,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,12.4,,,2500 or more  or no clouds.,,,28.0,-11.2,No precipitation,12,,,,
07.04.2020 17:00,9.1,741.4,762.3,-0.2,20,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,16.1,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
07.04.2020 14:00,11.7,741.6,762.2,-1.2,13,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,17.0,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
07.04.2020 11:00,9.8,742.8,763.5,-1.2,15,Wind blowing from the west-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,17.0,,,2500 or more  or no clouds.,,,29.0,-15.6,No precipitation,12,,,,
07.04.2020 08:00,6.4,744.0,764.8,-0.1,20,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,17.0,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
07.04.2020 05:00,1.1,744.1,764.7,0.7,47,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,-4.1,17.0,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
07.04.2020 02:00,4.5,743.4,763.9,,42,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.0,,,2500 or more  or no clouds.,,,10.0,-7.5,No precipitation,12,,,,
06.04.2020 20:00,8.2,741.6,762.4,1.1,23,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,17.0,,,2500 or more  or no clouds.,,,28.0,-11.6,No precipitation,12,,,,
06.04.2020 17:00,16.1,740.5,761.3,-1.5,9,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,17.0,,,2500 or more  or no clouds.,,,24.0,-16.8,No precipitation,12,,,,
06.04.2020 14:00,15.9,742.0,762.7,-2.7,10,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,15.9,,,2500 or more  or no clouds.,,,22.0,-15.7,No precipitation,12,,,,
