Local time in Benxi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,6.8,748.1,765.3,1.3,23,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,12.6,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
07.04.2020 17:00,10.1,746.8,763.9,-0.3,20,Wind blowing from the north-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,16.4,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
07.04.2020 14:00,11.1,747.1,764.1,-1.2,25,Wind blowing from the west-northwest,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,18.6,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
07.04.2020 11:00,10.2,748.3,765.4,-0.6,20,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,18.6,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
07.04.2020 08:00,7.2,748.9,766.0,0.6,25,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,18.6,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
07.04.2020 05:00,3.4,748.3,765.3,0.1,43,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,-1.7,18.6,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
07.04.2020 02:00,7.1,748.2,765.1,,36,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.6,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
06.04.2020 20:00,12.5,746.2,763.3,1.3,32,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,18.6,,,2500 or more  or no clouds.,,,8.0,-3.7,No precipitation,12,,,,
06.04.2020 17:00,16.4,744.9,762.0,-0.7,26,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,18.6,,,2500 or more  or no clouds.,,,12.0,-3.1,No precipitation,12,,,,
06.04.2020 14:00,18.1,745.6,762.7,-1.7,18,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,18.2,,,2500 or more  or no clouds.,,,26.0,-6.6,No precipitation,12,,,,
06.04.2020 11:00,14.5,747.3,764.3,-1.7,19,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,14.8,,,2500 or more  or no clouds.,,,22.0,-8.8,No precipitation,12,,,,
06.04.2020 08:00,3.4,749.0,766.3,-0.2,41,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,13.9,,,2500 or more  or no clouds.,,,12.0,-8.6,No precipitation,12,,,,
06.04.2020 05:00,-1.7,749.2,766.6,-1.0,57,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,,,-4.5,13.9,,,2500 or more  or no clouds.,,,19.0,-9.3,No precipitation,12,,,,
06.04.2020 02:00,-0.1,750.2,767.5,,50,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,13.9,,,2500 or more  or no clouds.,,,23.0,-9.3,No precipitation,12,,,,
05.04.2020 20:00,6.8,750.7,768.1,0.8,25,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,13.9,,,2500 or more  or no clouds.,,,13.0,-11.9,No precipitation,12,,,,
05.04.2020 17:00,12.1,749.9,767.3,-1.2,12,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,13.9,,,2500 or more  or no clouds.,,,28.0,-16.5,No precipitation,12,,,,
