Local time in Dalian (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,8.3,756.9,765.4,0.6,24,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,,,7.8,12.6,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
07.04.2020 20:00,9.7,756.3,764.8,1.1,23,Wind blowing from the north-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,12.7,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
07.04.2020 17:00,11.3,755.2,763.6,-1.0,19,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,15.2,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
07.04.2020 14:00,11.6,756.2,764.7,-0.3,22,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
07.04.2020 11:00,12.0,756.5,765.0,-0.1,25,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,2500 or more  or no clouds.,,,26.0,-7.4,No precipitation,12,,,,
07.04.2020 08:00,9.7,756.6,765.1,1.3,41,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,2500 or more  or no clouds.,,,13.0,-2.9,No precipitation,12,,,,
07.04.2020 05:00,8.7,755.3,763.7,0.4,61,Wind blowing from the north,3,,8,,Haze. ,,,6.8,18.7,,,2500 or more  or no clouds.,,,4.3,1.6,No precipitation,12,,,,
07.04.2020 02:00,9.7,754.9,763.3,-0.3,57,Wind blowing from the north,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,18.7,,,2500 or more  or no clouds.,,,5.0,1.6,No precipitation,12,,,,
06.04.2020 23:00,10.6,755.2,763.6,0.4,47,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,5.8,18.7,,,2500 or more  or no clouds.,,,8.0,-0.2,No precipitation,12,,,,
06.04.2020 20:00,12.7,754.8,763.2,0.9,38,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,18.7,,,2500 or more  or no clouds.,,,8.0,-1.2,No precipitation,12,,,,
06.04.2020 17:00,15.1,753.9,762.3,-1.0,33,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,18.7,,,2500 or more  or no clouds.,,,10.0,-1.0,No precipitation,12,,,,
06.04.2020 14:00,17.9,754.9,763.3,-1.8,33,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,18.7,,,2500 or more  or no clouds.,,,12.0,1.4,No precipitation,12,,,,
06.04.2020 11:00,15.6,756.7,765.1,-0.5,37,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.6,,,2500 or more  or no clouds.,,,17.0,1.0,No precipitation,12,,,,
06.04.2020 08:00,10.4,757.2,765.7,0.0,41,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.7,,,2500 or more  or no clouds.,,,24.0,-2.3,No precipitation,12,,,,
06.04.2020 05:00,7.4,757.2,765.7,-1.0,37,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,,,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
06.04.2020 02:00,7.1,758.2,766.7,-1.2,20,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
05.04.2020 23:00,6.5,759.4,767.9,-0.3,26,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,,,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
05.04.2020 20:00,8.0,759.7,768.3,0.6,19,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
05.04.2020 17:00,11.5,759.1,767.7,-1.3,23,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
05.04.2020 14:00,12.1,760.4,769.0,-2.3,22,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,12.7,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
05.04.2020 11:00,10.6,762.7,771.3,-0.6,24,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,10.7,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.04.2020 08:00,7.3,763.3,772.0,0.4,47,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,8.9,,,2500 or more  or no clouds.,,,30.0,-3.3,No precipitation,12,,,,
