Local time in Kuandian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,7.2,740.3,764.2,1.7,20,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,12.1,,,2500 or more  or no clouds.,,,28.0,-14.3,No precipitation,12,,,,
07.04.2020 17:00,9.8,738.6,762.4,0.0,19,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.6,,,2500 or more  or no clouds.,,,28.0,-12.7,No precipitation,12,,,,
07.04.2020 14:00,11.4,738.6,762.4,-1.3,14,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.1,,,2500 or more  or no clouds.,,,8.0,-15.2,No precipitation,12,,,,
07.04.2020 11:00,11.1,739.9,763.8,-0.8,14,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.1,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
07.04.2020 08:00,7.6,740.7,764.5,0.2,17,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.1,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
07.04.2020 05:00,4.7,740.5,764.1,0.6,26,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,,,-4.8,17.1,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
07.04.2020 02:00,1.9,739.9,763.6,,64,Wind blowing from the east,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.1,,,2500 or more  or no clouds.,,,5.0,-4.2,No precipitation,12,,,,
06.04.2020 20:00,8.9,739.7,763.6,1.9,42,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.1,,,2500 or more  or no clouds.,,,14.0,-3.3,No precipitation,12,,,,
06.04.2020 17:00,15.7,737.8,761.7,-1.5,19,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,17.1,,,2500 or more  or no clouds.,,,13.0,-7.9,No precipitation,12,,,,
06.04.2020 14:00,16.4,739.3,763.1,-1.9,14,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,16.5,,,2500 or more  or no clouds.,,,26.0,-11.2,No precipitation,12,,,,
