Local time in Shenyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,4.6,760.6,765.4,0.3,31,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,,,1.5,12.4,,,2500 or more  or no clouds.,,,26.0,-11.1,No precipitation,12,,,,
07.04.2020 20:00,6.7,760.3,765.1,0.9,24,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,13.3,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
07.04.2020 17:00,10.6,759.4,764.2,0.0,15,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,17.5,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
07.04.2020 14:00,11.9,759.4,764.2,-1.6,16,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,18.3,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
07.04.2020 11:00,10.3,761.0,765.7,-0.6,26,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,18.3,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
07.04.2020 08:00,7.2,761.6,766.3,0.6,30,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,18.3,,,2500 or more  or no clouds.,,,19.0,-9.2,No precipitation,12,,,,
07.04.2020 05:00,3.1,761.0,765.7,-0.2,36,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,,,-1.8,18.3,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
07.04.2020 02:00,6.5,761.2,766.0,0.7,32,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.3,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
06.04.2020 23:00,8.8,760.5,765.2,2.1,36,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,,,,18.3,,,2500 or more  or no clouds.,,,25.0,-5.4,No precipitation,12,,,,
06.04.2020 20:00,12.5,758.4,763.1,1.4,23,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.3,,,2500 or more  or no clouds.,,,15.0,-8.1,No precipitation,12,,,,
06.04.2020 17:00,17.5,757.0,761.7,-0.7,17,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,18.3,,,2500 or more  or no clouds.,,,13.0,-7.8,No precipitation,12,,,,
06.04.2020 14:00,17.6,757.7,762.4,-2.0,18,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,17.6,,,2500 or more  or no clouds.,,,15.0,-7.0,No precipitation,12,,,,
06.04.2020 11:00,14.4,759.7,764.5,-1.4,20,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.4,,,2500 or more  or no clouds.,,,16.0,-8.3,No precipitation,12,,,,
06.04.2020 08:00,3.8,761.1,766.0,-0.2,38,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,13.3,,,2500 or more  or no clouds.,,,9.0,-9.2,No precipitation,12,,,,
06.04.2020 05:00,-1.8,761.3,766.1,-0.9,52,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,,,-7.2,13.3,,,2500 or more  or no clouds.,,,8.0,-10.4,No precipitation,12,,,,
06.04.2020 02:00,-2.3,762.2,767.1,-0.5,59,Wind blowing from the east-southeast,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,13.3,,,2500 or more  or no clouds.,,,3.9,-9.4,No precipitation,12,,,,
05.04.2020 23:00,1.1,762.7,767.6,-0.3,37,Wind blowing from the south-southeast,1,,5,,Haze. ,,,-7.2,13.3,,,2500 or more  or no clouds.,,,7.0,-12.0,No precipitation,12,,,,
05.04.2020 20:00,4.6,763.0,767.8,0.8,23,Wind blowing from the south,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.3,,,2500 or more  or no clouds.,,,6.0,-14.8,No precipitation,12,,,,
05.04.2020 17:00,12.3,762.2,767.1,-1.4,9,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,13.3,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
05.04.2020 14:00,12.0,763.6,768.5,-2.3,9,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,12.3,,,2500 or more  or no clouds.,,,25.0,-19.9,No precipitation,12,,,,
05.04.2020 11:00,8.9,765.9,770.8,-1.0,11,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,9.2,,,2500 or more  or no clouds.,,,15.0,-20.0,No precipitation,12,,,,
05.04.2020 08:00,2.2,766.9,771.8,0.2,34,Wind blowing from the east-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,7.9,,,2500 or more  or no clouds.,,,3.6,-12.0,No precipitation,12,,,,
05.04.2020 05:00,-7.0,766.7,771.7,-0.1,66,Wind blowing from the south-east,0,,10,,Haze. ,,,-7.1,7.9,,,2500 or more  or no clouds.,,,5.0,-12.3,No precipitation,12,,,,
05.04.2020 02:00,-4.9,766.8,771.7,-0.1,59,Wind blowing from the north,0,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,7.9,,,2500 or more  or no clouds.,,,10.0,-11.7,No precipitation,12,,,,
04.04.2020 23:00,-1.8,766.9,771.9,-0.2,34,Wind blowing from the east-northeast,0,,13,,Cloud development not observed or not observable. ,,,-1.8,7.9,,,2500 or more  or no clouds.,,,12.0,-15.6,No precipitation,12,,,,
04.04.2020 20:00,4.0,767.1,772.0,0.8,17,Wind blowing from the north-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,9.6,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
04.04.2020 17:00,6.9,766.3,771.1,-0.3,12,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,19.0,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
04.04.2020 14:00,7.7,766.6,771.5,-0.9,14,Wind blowing from the north-northwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
04.04.2020 11:00,6.0,767.5,772.3,-0.3,16,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
04.04.2020 08:00,3.1,767.8,772.6,1.2,25,Wind blowing from the north-east,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,,,,2500 or more  or no clouds.,,,26.0,-15.0,No precipitation,12,,,,
04.04.2020 05:00,0.7,766.6,771.4,0.9,35,Wind blowing from the north,3,,16,,Cloud development not observed or not observable. ,,,0.7,20.6,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
04.04.2020 02:00,1.8,765.7,770.4,1.8,32,Wind blowing from the north,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,20.6,,,2500 or more  or no clouds.,,,29.0,-13.1,No precipitation,12,,,,
03.04.2020 23:00,4.7,763.9,768.7,4.4,31,Wind blowing from the north-northeast,5,,16,,Cloud development not observed or not observable. ,,,4.7,20.6,,,2500 or more  or no clouds.,,,21.0,-11.0,No precipitation,12,,,,
03.04.2020 20:00,9.7,759.5,764.2,5.5,37,Wind blowing from the north-northeast,5,,15,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,20.6,,,2500 or more  or no clouds.,,,5.0,-4.3,No precipitation,12,,,,
03.04.2020 17:00,19.0,754.0,758.6,-1.2,19,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,20.6,,,2500 or more  or no clouds.,,,21.0,-5.1,No precipitation,12,,,,
03.04.2020 14:00,19.6,755.2,759.8,-2.9,16,Wind blowing from the west-southwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,20.1,,,2500 or more  or no clouds.,,,27.0,-6.9,No precipitation,12,,,,
03.04.2020 11:00,15.7,758.1,762.8,-1.3,24,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,19.3,,,2500 or more  or no clouds.,,,19.0,-4.8,No precipitation,12,,,,
03.04.2020 08:00,8.1,759.4,764.1,0.1,57,Wind blowing from the west-southwest,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,19.3,,,2500 or more  or no clouds.,,,7.0,-0.1,No precipitation,12,,,,
03.04.2020 05:00,6.0,759.3,764.0,-0.2,66,Wind blowing from the south-west,3,,,,Cloud development not observed or not observable. ,,,0.2,19.3,,,2500 or more  or no clouds.,,,8.0,0.1,No precipitation,12,,,,
03.04.2020 02:00,5.9,759.5,764.2,-0.5,64,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,19.3,,,2500 or more  or no clouds.,,,7.0,-0.4,No precipitation,12,,,,
02.04.2020 23:00,8.8,760.0,764.7,0.4,43,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,,,0.2,19.3,,,2500 or more  or no clouds.,,,10.0,-3.1,No precipitation,12,,,,
