Local time in Yingkou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,5.6,764.7,765.1,0.4,32,Wind blowing from the east-northeast,1,,13,,Cloud development not observed or not observable. ,,,3.8,13.8,,,2500 or more  or no clouds.,,,19.0,-9.8,No precipitation,12,,,,
07.04.2020 20:00,8.3,764.3,764.8,0.7,24,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.8,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
07.04.2020 17:00,12.3,763.6,764.1,-0.6,18,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.8,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
07.04.2020 14:00,13.3,764.2,764.7,-1.6,23,Wind blowing from the north,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.5,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
07.04.2020 11:00,11.8,765.8,766.3,-0.3,21,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,12.0,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
07.04.2020 08:00,7.9,766.1,766.6,0.9,39,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,11.9,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
07.04.2020 05:00,3.8,765.2,765.7,0.2,55,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,,,3.0,11.9,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
07.04.2020 02:00,6.7,765.0,765.4,0.8,50,Wind blowing from the north-northeast,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.9,,,2500 or more  or no clouds.,,,27.0,-3.0,No precipitation,12,,,,
06.04.2020 23:00,6.3,764.2,764.7,1.2,95,Wind blowing from the north-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,3.0,11.9,,,2500 or more  or no clouds.,,,4.5,5.6,No precipitation,12,,,,
06.04.2020 20:00,7.8,763.0,763.5,1.2,86,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.9,,,2500 or more  or no clouds.,,,8.0,5.6,No precipitation,12,,,,
06.04.2020 17:00,9.1,761.8,762.3,-0.8,81,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.9,,,2500 or more  or no clouds.,,,15.0,6.0,No precipitation,12,,,,
06.04.2020 14:00,10.6,762.6,763.0,-1.4,64,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.9,,,2500 or more  or no clouds.,,,20.0,4.1,No precipitation,12,,,,
06.04.2020 11:00,11.4,764.0,764.5,-0.8,46,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.7,,,2500 or more  or no clouds.,,,30.0,0.2,No precipitation,12,,,,
06.04.2020 08:00,10.1,764.8,765.2,0.0,37,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.2,,,2500 or more  or no clouds.,,,29.0,-3.9,No precipitation,12,,,,
06.04.2020 05:00,3.6,764.8,765.3,-0.9,47,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,,,-1.6,11.2,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
06.04.2020 02:00,4.4,765.7,766.2,-1.2,43,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.2,,,2500 or more  or no clouds.,,,27.0,-7.1,No precipitation,12,,,,
05.04.2020 23:00,5.8,766.9,767.3,-0.4,48,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,,,-1.6,11.2,,,2500 or more  or no clouds.,,,26.0,-4.6,No precipitation,12,,,,
05.04.2020 20:00,6.1,767.3,767.8,0.1,37,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.2,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 17:00,8.8,767.2,767.6,-1.1,25,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
05.04.2020 14:00,10.3,768.3,768.7,-2.2,30,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.0,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
05.04.2020 11:00,8.9,770.5,770.9,-0.8,34,Wind blowing from the west,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.0,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
05.04.2020 08:00,6.5,771.3,771.7,0.1,33,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.0,,,2500 or more  or no clouds.,,,16.0,-8.6,No precipitation,12,,,,
05.04.2020 05:00,-1.6,771.2,771.7,-0.4,57,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,-1.6,11.0,,,2500 or more  or no clouds.,,,20.0,-9.2,No precipitation,12,,,,
05.04.2020 02:00,-0.2,771.6,772.0,-0.2,62,Wind blowing from the north-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,11.0,,,2500 or more  or no clouds.,,,19.0,-6.6,No precipitation,12,,,,
04.04.2020 23:00,1.9,771.8,772.3,0.4,29,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,,,1.6,11.0,,,2500 or more  or no clouds.,,,26.0,-14.3,No precipitation,12,,,,
04.04.2020 20:00,5.4,771.4,771.9,1.1,22,Wind blowing from the east-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,11.2,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
04.04.2020 17:00,9.6,770.3,770.8,-0.8,15,Wind blowing from the north-northeast,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,11.7,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
04.04.2020 14:00,10.6,771.1,771.5,-1.5,17,Wind blowing from the north-northeast,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,14.3,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
04.04.2020 11:00,7.7,772.6,773.0,0.2,22,Wind blowing from the north,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,14.3,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
04.04.2020 08:00,4.8,772.4,772.9,1.3,28,Wind blowing from the north-northeast,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,14.3,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
04.04.2020 05:00,1.7,771.1,771.5,1.2,43,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,,,1.7,14.3,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
04.04.2020 02:00,3.6,769.9,770.3,2.3,42,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,14.3,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
