Local time in Zhangwu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,4.0,758.7,766.2,0.9,32,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,,,-0.1,12.3,,,2500 or more  or no clouds.,,,26.0,-11.2,No precipitation,12,,,,
07.04.2020 20:00,5.6,757.8,765.3,1.0,26,Wind blowing from the east-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,12.3,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
07.04.2020 17:00,11.4,756.8,764.3,-0.6,14,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,16.5,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
07.04.2020 14:00,11.7,757.4,764.8,-1.3,15,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
07.04.2020 11:00,10.3,758.7,766.1,-0.7,17,Wind blowing from the north,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
07.04.2020 08:00,4.9,759.4,766.9,0.1,44,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.2,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
07.04.2020 05:00,0.2,759.3,766.7,-0.2,57,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,,,-2.6,17.2,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
07.04.2020 02:00,2.5,759.5,766.9,0.3,50,Wind blowing from the west-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,17.2,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
06.04.2020 23:00,5.1,759.2,766.6,1.8,41,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,,,-2.6,17.2,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
06.04.2020 20:00,10.1,757.4,764.8,2.8,34,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.2,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
