Local time in Da Qaidam,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,1.9,521.4,765.1,0.8,19,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,-7.3,7.4,,,2500 or more  or no clouds.,,,21.0,-19.3,No precipitation,12,,,,
07.04.2020 20:00,4.1,520.6,766.8,0.2,22,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,7.4,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
07.04.2020 17:00,6.9,520.4,763.6,-1.0,14,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,7.4,,,2500 or more  or no clouds.,,,30.0,-18.8,No precipitation,12,,,,
07.04.2020 14:00,5.0,521.4,765.4,-0.6,14,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,6.8,,,2500 or more  or no clouds.,,,30.0,-20.3,No precipitation,12,,,,
07.04.2020 11:00,1.8,522.0,766.7,0.6,32,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,6.8,,,2500 or more  or no clouds.,,,27.0,-13.1,No precipitation,12,,,,
07.04.2020 08:00,-5.8,521.4,768.8,0.7,50,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,6.8,,,2500 or more  or no clouds.,,,24.0,-14.6,No precipitation,12,,,,
07.04.2020 05:00,-3.2,520.7,764.2,-0.3,43,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,,,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
07.04.2020 02:00,-1.7,521.0,764.5,0.1,50,Wind blowing from the south-southwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
06.04.2020 23:00,0.5,520.9,764.5,1.1,33,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,,,-5.3,6.8,,,2500 or more  or no clouds.,,,25.0,-13.9,No precipitation,12,,,,
06.04.2020 20:00,2.5,519.8,765.7,0.7,25,Wind blowing from the west-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
06.04.2020 17:00,6.6,519.1,761.6,-0.8,16,Wind blowing from the west,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
06.04.2020 14:00,5.4,519.9,762.5,-0.9,18,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
06.04.2020 11:00,2.9,520.8,764.0,0.6,22,Wind blowing from the west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
06.04.2020 08:00,-4.4,520.2,765.6,0.3,41,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.8,,,2500 or more  or no clouds.,,,18.0,-15.7,No precipitation,12,,,,
06.04.2020 05:00,-2.7,519.9,762.9,-0.5,42,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,-5.9,6.8,,,2500 or more  or no clouds.,,,21.0,-14.1,No precipitation,12,,,,
06.04.2020 02:00,-1.1,520.4,763.4,-0.4,32,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.8,,,2500 or more  or no clouds.,,,22.0,-15.7,No precipitation,12,,,,
05.04.2020 23:00,1.1,520.8,764.4,1.0,26,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,,,-5.9,6.8,,,2500 or more  or no clouds.,,,22.0,-16.3,No precipitation,12,,,,
05.04.2020 20:00,3.6,519.8,765.5,0.1,23,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.8,,,2500 or more  or no clouds.,,,25.0,-15.6,No precipitation,12,,,,
05.04.2020 17:00,6.3,519.7,762.8,-1.1,20,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.8,,,2500 or more  or no clouds.,,,24.0,-15.0,No precipitation,12,,,,
05.04.2020 14:00,5.2,520.8,765.3,-1.0,25,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.6,,,2500 or more  or no clouds.,,,18.0,-13.2,No precipitation,12,,,,
05.04.2020 11:00,2.1,521.8,767.0,0.4,40,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.6,,,2500 or more  or no clouds.,,,18.0,-10.1,No precipitation,12,,,,
05.04.2020 08:00,-5.2,521.4,768.4,0.6,56,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.6,,,2500 or more  or no clouds.,,,17.0,-12.6,No precipitation,12,,,,
05.04.2020 05:00,-3.0,520.8,764.2,-0.6,44,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,,,-6.1,6.6,,,2500 or more  or no clouds.,,,18.0,-13.8,No precipitation,12,,,,
05.04.2020 02:00,-3.5,521.4,766.9,0.0,44,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.6,,,2500 or more  or no clouds.,,,18.0,-14.0,No precipitation,12,,,,
04.04.2020 23:00,-1.0,521.4,766.7,0.5,38,Wind blowing from the south-west,0,,10,,Cloud development not observed or not observable. ,,,-6.1,6.6,,,2500 or more  or no clouds.,,,17.0,-13.5,No precipitation,12,,,,
04.04.2020 20:00,2.4,520.9,767.5,0.4,31,Wind blowing from the west-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.6,,,2500 or more  or no clouds.,,,21.0,-13.0,No precipitation,12,,,,
04.04.2020 17:00,6.6,520.5,765.4,-1.2,18,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.6,,,2500 or more  or no clouds.,,,21.0,-16.0,No precipitation,12,,,,
04.04.2020 14:00,3.7,521.7,766.6,-0.7,18,Wind blowing from the west-southwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.7,,,2500 or more  or no clouds.,,,17.0,-18.4,No precipitation,12,,,,
04.04.2020 11:00,1.4,522.4,768.2,0.7,18,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.7,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
04.04.2020 08:00,-4.6,521.7,768.6,0.7,28,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.7,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
04.04.2020 05:00,-6.0,521.0,767.2,-0.2,43,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,-6.0,4.7,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
04.04.2020 02:00,-2.1,521.2,766.0,0.1,25,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,4.7,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
03.04.2020 23:00,-0.8,521.1,766.6,1.5,31,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,-2.8,4.7,,,2500 or more  or no clouds.,,,27.0,-15.8,No precipitation,12,,,,
03.04.2020 20:00,2.4,519.6,764.2,0.6,21,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,5.8,,,2500 or more  or no clouds.,,,26.0,-17.7,No precipitation,12,,,,
03.04.2020 17:00,4.4,519.0,762.4,-0.3,18,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.3,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
03.04.2020 14:00,3.5,519.3,761.8,-0.1,15,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.8,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
03.04.2020 11:00,0.8,519.4,762.0,1.4,21,Wind blowing from the south-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.8,,,2500 or more  or no clouds.,,,19.0,-19.1,No precipitation,12,,,,
03.04.2020 08:00,-2.1,518.0,760.0,1.4,22,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,8.8,,,2500 or more  or no clouds.,,,27.0,-21.0,No precipitation,12,,,,
03.04.2020 05:00,-2.2,516.6,756.9,0.1,35,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,,,-4.5,8.8,,,2500 or more  or no clouds.,,,25.0,-15.9,No precipitation,12,,,,
03.04.2020 02:00,0.6,516.5,755.5,0.1,29,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.04.2020 23:00,3.2,516.4,755.5,1.1,21,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,,,-4.5,8.8,,,2500 or more  or no clouds.,,,29.0,-17.0,No precipitation,12,,,,
02.04.2020 20:00,5.9,515.3,755.6,0.2,18,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
02.04.2020 17:00,8.1,515.1,754.8,-1.2,16,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
02.04.2020 14:00,7.8,516.3,755.8,-0.7,18,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
02.04.2020 11:00,4.9,517.0,756.6,0.7,24,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,29.0,-14.0,No precipitation,12,,,,
