Local time in Delingha,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,4.9,533.4,765.9,0.2,28,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,6.8,,,2500 or more  or no clouds.,,,30.0,-12.1,0.4,12,,,,
07.04.2020 17:00,5.2,533.2,765.4,-1.0,34,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.4,,,2500 or more  or no clouds.,,,30.0,-9.4,2.0,12,,,,
07.04.2020 14:00,0.4,534.2,768.1,-0.5,77,Wind blowing from the north-northwest,4,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,,,,2500 or more  or no clouds.,,,6.0,-3.3,2.0,12,,,,
07.04.2020 11:00,0.7,534.7,768.0,0.6,70,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,,,,2500 or more  or no clouds.,,,7.0,-4.3,2.0,12,,,,
07.04.2020 08:00,-2.7,534.1,767.3,1.0,89,Wind blowing from the north-northeast,1,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.1,,,2500 or more  or no clouds.,,,1.0,-4.3,2.0,12,,,,
07.04.2020 05:00,-2.5,533.1,764.7,-0.3,62,Wind blowing from the east-northeast,1,,11,,Cloud development not observed or not observable. ,,,-3.0,8.1,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
07.04.2020 02:00,-0.1,533.4,763.3,,57,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.1,,,2500 or more  or no clouds.,,,27.0,-7.8,No precipitation,12,,,,
06.04.2020 20:00,4.2,531.6,762.7,0.9,26,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.1,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
06.04.2020 17:00,6.6,530.7,760.3,-0.9,22,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.8,,,2500 or more  or no clouds.,,,28.0,-13.6,No precipitation,12,,,,
06.04.2020 14:00,7.6,531.6,760.4,-1.5,16,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.9,,,2500 or more  or no clouds.,,,28.0,-16.6,No precipitation,12,,,,
