Local time in Lenghu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-0.7,547.3,766.9,0.4,17,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,-9.8,8.9,,,2500 or more  or no clouds.,,,5.0,-22.7,No precipitation,12,,,,
07.04.2020 20:00,7.0,546.9,767.8,-0.2,10,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,8.9,,,2500 or more  or no clouds.,,,22.0,-22.6,No precipitation,12,,,,
07.04.2020 17:00,8.4,547.1,766.8,-1.1,12,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,8.6,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
07.04.2020 14:00,6.9,548.2,766.9,-0.5,19,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.3,,,2500 or more  or no clouds.,,,21.0,-15.1,No precipitation,12,,,,
07.04.2020 11:00,2.2,548.7,769.0,0.6,21,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.3,,,2500 or more  or no clouds.,,,29.0,-17.9,No precipitation,12,,,,
07.04.2020 08:00,-8.9,548.1,770.5,0.5,42,Wind blowing from the west-southwest,1,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,7.3,,,2500 or more  or no clouds.,,,4.7,-19.5,No precipitation,12,,,,
07.04.2020 05:00,-7.5,547.6,769.0,-0.5,35,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,,,-8.9,7.3,,,2500 or more  or no clouds.,,,28.0,-20.3,No precipitation,12,,,,
07.04.2020 02:00,-2.7,548.1,767.3,-0.2,26,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.3,,,2500 or more  or no clouds.,,,27.0,-19.6,No precipitation,12,,,,
06.04.2020 23:00,-1.0,548.3,768.1,1.4,23,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,,,-8.9,7.3,,,2500 or more  or no clouds.,,,4.0,-19.5,No precipitation,12,,,,
06.04.2020 20:00,5.1,546.9,768.1,0.4,20,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.3,,,2500 or more  or no clouds.,,,25.0,-16.0,No precipitation,12,,,,
