Local time in Mangnai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,5.7,535.3,763.9,0.8,12,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,,,-7.4,11.7,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
07.04.2020 20:00,9.4,534.5,764.1,-0.1,5,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.7,,,2500 or more  or no clouds.,,,30.0,-28.4,No precipitation,12,,,,
07.04.2020 17:00,11.1,534.6,762.1,-1.6,7,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.3,,,2500 or more  or no clouds.,,,30.0,-23.5,No precipitation,12,,,,
07.04.2020 14:00,6.9,536.2,765.2,-0.9,17,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,7.2,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
07.04.2020 11:00,-0.4,537.1,768.4,0.4,37,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,7.1,,,2500 or more  or no clouds.,,,16.0,-13.3,No precipitation,12,,,,
07.04.2020 08:00,-7.0,536.7,769.7,0.6,55,Wind blowing from the south-southeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,7.1,,,2500 or more  or no clouds.,,,15.0,-14.7,No precipitation,12,,,,
07.04.2020 05:00,-4.1,536.1,766.4,-0.3,48,Wind blowing from the south-southeast,0,,10,,Cloud development not observed or not observable. ,,,-6.5,7.1,,,2500 or more  or no clouds.,,,21.0,-13.7,No precipitation,12,,,,
07.04.2020 02:00,-1.7,536.4,766.2,-0.3,44,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.1,,,2500 or more  or no clouds.,,,20.0,-12.6,No precipitation,12,,,,
06.04.2020 23:00,1.8,536.7,767.8,0.9,38,Wind blowing from the east-northeast,4,,12,,Cloud development not observed or not observable. ,,,-6.5,7.1,,,2500 or more  or no clouds.,,,19.0,-11.0,No precipitation,12,,,,
06.04.2020 20:00,4.4,535.8,767.9,0.7,30,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.1,,,2500 or more  or no clouds.,,,21.0,-11.7,No precipitation,12,,,,
