Local time in Xining,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,3.0,571.8,767.1,0.8,57,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,0.2,8.8,,,2500 or more  or no clouds.,,,14.0,-4.7,No precipitation,12,,,,
07.04.2020 20:00,5.8,571.0,766.8,0.4,46,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,8.8,,,2500 or more  or no clouds.,,,20.0,-4.9,No precipitation,12,,,,
07.04.2020 17:00,8.1,570.6,765.3,-1.0,40,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.1,,,2500 or more  or no clouds.,,,22.0,-4.7,No precipitation,12,,,,
07.04.2020 14:00,6.5,571.6,767.2,-0.8,50,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.3,,,2500 or more  or no clouds.,,,20.0,-3.2,0.6,12,,,,
07.04.2020 11:00,5.0,572.4,768.8,0.6,62,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.3,,,2500 or more  or no clouds.,,,9.0,-1.7,1.0,12,,,,
07.04.2020 08:00,0.5,571.8,768.4,0.7,96,Wind blowing from the west-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,9.3,,,2500 or more  or no clouds.,,,3.6,-0.1,2.0,12,,,,
07.04.2020 05:00,0.4,571.1,765.6,-0.6,98,Wind blowing from the west,2,,15,,Mist. ,,,-1.3,9.3,,,2500 or more  or no clouds.,,,1.7,0.1,2.0,12,,,,
07.04.2020 02:00,0.8,571.7,766.4,-0.1,97,Wind blowing from the north,1,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,9.3,,,2500 or more  or no clouds.,,,2.6,0.4,2.0,12,,,,
06.04.2020 23:00,0.9,571.8,767.6,1.5,97,Wind blowing from the south-southwest,2,,15,,Intermittent fall of snowflakes  slight at time of observation. ,,,-1.3,9.3,,,2500 or more  or no clouds.,,,2.4,0.5,1.0,12,,,,
06.04.2020 20:00,4.3,570.3,766.7,2.3,66,Wind blowing from the north-northeast,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,9.3,,,2500 or more  or no clouds.,,,22.0,-1.5,No precipitation,12,,,,
06.04.2020 17:00,9.0,568.0,761.7,-1.1,46,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,9.3,,,2500 or more  or no clouds.,,,10.0,-2.0,No precipitation,12,,,,
06.04.2020 14:00,8.6,569.1,762.4,-1.8,45,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.4,,,2500 or more  or no clouds.,,,12.0,-2.7,No precipitation,12,,,,
06.04.2020 11:00,6.0,570.9,764.9,0.3,57,Wind blowing from the north-east,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.4,,,2500 or more  or no clouds.,,,7.0,-1.9,No precipitation,12,,,,
06.04.2020 08:00,-0.1,570.6,765.9,0.6,88,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.4,,,2500 or more  or no clouds.,,,3.9,-1.8,No precipitation,12,,,,
06.04.2020 05:00,0.0,570.0,764.9,-0.7,85,Wind blowing from the west,2,,12,,Mist. ,,,-0.9,13.4,,,2500 or more  or no clouds.,,,5.0,-2.2,No precipitation,12,,,,
06.04.2020 02:00,2.0,570.7,763.8,0.1,81,Wind blowing from the west,2,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.4,,,2500 or more  or no clouds.,,,11.0,-0.9,No precipitation,12,,,,
05.04.2020 23:00,4.4,570.6,764.2,1.3,65,Wind blowing from the south-east,7,,20,,Cloud development not observed or not observable. ,,,-0.9,13.4,,,2500 or more  or no clouds.,,,17.0,-1.6,No precipitation,12,,,,
05.04.2020 20:00,7.4,569.3,764.2,0.8,40,Wind blowing from the north-east,2,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.4,,,2500 or more  or no clouds.,,,19.0,-5.6,No precipitation,12,,,,
05.04.2020 17:00,7.7,568.5,762.2,-0.9,51,Wind blowing from the north-northeast,9,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.4,,,2500 or more  or no clouds.,,,10.0,-1.8,No precipitation,12,,,,
05.04.2020 14:00,10.8,569.4,761.8,-2.3,31,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.4,,,2500 or more  or no clouds.,,,14.0,-5.6,No precipitation,12,,,,
