Local time in Ankang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.1,737.5,763.3,1.5,62,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,,,8.7,25.0,,,2500 or more  or no clouds.,,,28.0,6.9,No precipitation,12,,,,
07.04.2020 20:00,19.1,736.0,761.9,1.2,48,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,25.0,,,2500 or more  or no clouds.,,,22.0,7.8,No precipitation,12,,,,
07.04.2020 17:00,24.4,734.8,760.5,-2.0,22,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,25.0,,,2500 or more  or no clouds.,,,30.0,1.3,No precipitation,12,,,,
07.04.2020 14:00,22.2,736.8,762.5,-2.5,34,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.6,,,2500 or more  or no clouds.,,,29.0,5.6,No precipitation,12,,,,
07.04.2020 11:00,16.5,739.3,765.3,-0.3,56,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.6,,,2500 or more  or no clouds.,,,22.0,7.7,No precipitation,12,,,,
07.04.2020 08:00,10.1,739.6,765.7,1.1,85,Wind blowing from the south-east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,22.6,,,2500 or more  or no clouds.,,,17.0,7.7,No precipitation,12,,,,
07.04.2020 05:00,9.5,738.5,764.4,-0.1,89,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,,,9.5,22.6,,,2500 or more  or no clouds.,,,19.0,7.8,No precipitation,12,,,,
07.04.2020 02:00,11.3,738.6,764.4,0.1,83,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,22.6,,,2500 or more  or no clouds.,,,21.0,8.5,No precipitation,12,,,,
06.04.2020 23:00,14.0,738.5,764.4,1.8,68,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,,,11.6,22.6,,,2500 or more  or no clouds.,,,28.0,8.2,No precipitation,12,,,,
06.04.2020 20:00,18.5,736.7,762.6,1.0,50,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.6,,,2500 or more  or no clouds.,,,21.0,7.9,No precipitation,12,,,,
06.04.2020 17:00,21.9,735.7,761.3,-1.9,32,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.6,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
06.04.2020 14:00,21.2,737.6,763.3,-2.6,34,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,21.3,,,2500 or more  or no clouds.,,,30.0,4.7,No precipitation,12,,,,
06.04.2020 11:00,17.2,740.2,766.2,-0.3,58,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,19.4,,,2500 or more  or no clouds.,,,19.0,8.9,No precipitation,12,,,,
06.04.2020 08:00,12.0,740.5,766.6,0.6,85,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,19.4,,,2500 or more  or no clouds.,,,14.0,9.6,No precipitation,12,,,,
06.04.2020 05:00,11.7,739.9,765.9,-1.0,87,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,10.5,19.4,,,2500 or more  or no clouds.,,,14.0,9.6,No precipitation,12,,,,
06.04.2020 02:00,12.8,740.9,766.9,-0.5,82,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,19.4,,,2500 or more  or no clouds.,,,16.0,9.8,No precipitation,12,,,,
05.04.2020 23:00,13.9,741.4,767.5,1.1,76,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,10.5,19.4,,,2500 or more  or no clouds.,,,18.0,9.7,No precipitation,12,,,,
