Local time in Linyi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,15.2,752.9,763.8,0.7,42,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,,,7.5,24.5,,,2500 or more  or no clouds.,,,14.0,2.4,No precipitation,12,,,,
07.04.2020 20:00,19.0,752.2,763.1,1.2,31,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,24.5,,,2500 or more  or no clouds.,,,15.0,1.5,No precipitation,12,,,,
07.04.2020 17:00,23.7,751.0,761.9,-1.0,17,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,24.5,,,2500 or more  or no clouds.,,,23.0,-2.8,No precipitation,12,,,,
07.04.2020 14:00,23.7,752.0,762.9,-1.9,19,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,24.2,,,2500 or more  or no clouds.,,,22.0,-1.3,No precipitation,12,,,,
07.04.2020 11:00,20.6,753.9,764.8,-0.1,32,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,21.3,,,2500 or more  or no clouds.,,,12.0,3.3,No precipitation,12,,,,
07.04.2020 08:00,12.9,754.0,765.1,0.3,62,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,21.3,,,2500 or more  or no clouds.,,,8.0,5.8,No precipitation,12,,,,
07.04.2020 05:00,8.3,753.7,764.7,0.5,77,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,7.7,21.3,,,2500 or more  or no clouds.,,,8.0,4.5,No precipitation,12,,,,
07.04.2020 02:00,10.7,753.2,764.2,-0.7,64,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,21.3,,,2500 or more  or no clouds.,,,14.0,4.0,No precipitation,12,,,,
06.04.2020 23:00,12.5,753.9,764.9,0.5,46,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,7.7,21.3,,,2500 or more  or no clouds.,,,18.0,1.2,No precipitation,12,,,,
06.04.2020 20:00,15.7,753.4,764.5,1.1,33,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,21.3,,,2500 or more  or no clouds.,,,17.0,-0.5,No precipitation,12,,,,
