Local time in Qingdao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,9.8,757.9,764.9,0.6,49,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,,,9.6,21.6,,,2500 or more  or no clouds.,,,24.0,-0.4,No precipitation,12,,,,
07.04.2020 20:00,10.9,757.3,764.4,1.2,47,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.6,,,2500 or more  or no clouds.,,,15.0,0.0,No precipitation,12,,,,
07.04.2020 17:00,13.6,756.1,763.1,-0.1,53,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.6,,,2500 or more  or no clouds.,,,8.0,4.2,No precipitation,12,,,,
07.04.2020 14:00,17.8,756.2,763.2,-1.1,39,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.6,,,2500 or more  or no clouds.,,,11.0,3.7,No precipitation,12,,,,
07.04.2020 11:00,18.2,757.3,764.3,0.2,37,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,18.3,,,2500 or more  or no clouds.,,,11.0,3.3,No precipitation,12,,,,
07.04.2020 08:00,12.4,757.1,764.2,0.6,53,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,12.4,,,2500 or more  or no clouds.,,,17.0,3.1,No precipitation,12,,,,
07.04.2020 05:00,10.0,756.5,763.6,-0.3,72,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,7.5,12.1,,,2500 or more  or no clouds.,,,21.0,5.2,No precipitation,12,,,,
07.04.2020 02:00,9.8,756.8,763.9,-0.5,82,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.1,,,2500 or more  or no clouds.,,,24.0,6.9,No precipitation,12,,,,
06.04.2020 23:00,10.1,757.3,764.3,0.0,74,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,,,7.4,12.1,,,2500 or more  or no clouds.,,,30.0,5.7,No precipitation,12,,,,
06.04.2020 20:00,10.2,757.3,764.4,0.3,66,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.1,,,2500 or more  or no clouds.,,,30.0,4.1,No precipitation,12,,,,
