Local time in Rizhao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.1,758.6,764.5,0.6,80,Wind blowing from the east-northeast,3,,7,,Haze. ,,,10.1,22.3,,,2500 or more  or no clouds.,,,3.5,6.8,No precipitation,12,,,,
07.04.2020 20:00,11.9,758.0,763.9,1.6,64,Wind blowing from the east-northeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.3,,,2500 or more  or no clouds.,,,5.0,5.3,No precipitation,12,,,,
07.04.2020 17:00,17.4,756.4,762.3,-0.8,38,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.3,,,2500 or more  or no clouds.,,,9.0,3.0,No precipitation,12,,,,
07.04.2020 14:00,19.6,757.2,763.1,-0.9,33,Wind blowing from the south-southeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.3,,,2500 or more  or no clouds.,,,10.0,2.9,No precipitation,12,,,,
07.04.2020 11:00,21.2,758.1,763.9,0.0,28,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,21.4,,,2500 or more  or no clouds.,,,13.0,2.0,No precipitation,12,,,,
07.04.2020 08:00,14.1,758.1,764.0,0.2,45,Wind blowing from the west-northwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.4,,,2500 or more  or no clouds.,,,14.0,2.4,No precipitation,12,,,,
07.04.2020 05:00,11.1,757.9,763.8,0.0,53,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,,,6.1,15.4,,,2500 or more  or no clouds.,,,19.0,1.9,No precipitation,12,,,,
07.04.2020 02:00,11.1,757.9,763.9,-0.6,55,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.4,,,2500 or more  or no clouds.,,,15.0,2.2,No precipitation,12,,,,
06.04.2020 23:00,11.1,758.5,764.5,0.0,65,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,,,6.1,15.4,,,2500 or more  or no clouds.,,,17.0,4.6,No precipitation,12,,,,
06.04.2020 20:00,10.9,758.5,764.5,0.6,60,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.4,,,2500 or more  or no clouds.,,,23.0,3.4,No precipitation,12,,,,
06.04.2020 17:00,14.3,757.9,763.9,-1.4,48,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.4,,,2500 or more  or no clouds.,,,17.0,3.4,No precipitation,12,,,,
06.04.2020 14:00,15.0,759.3,765.3,-1.6,44,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.4,,,2500 or more  or no clouds.,,,17.0,2.9,No precipitation,12,,,,
06.04.2020 11:00,15.1,760.9,766.9,-0.5,45,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.1,,,2500 or more  or no clouds.,,,13.0,3.3,No precipitation,12,,,,
06.04.2020 08:00,9.7,761.4,767.5,0.2,57,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,12.5,,,2500 or more  or no clouds.,,,13.0,1.6,No precipitation,12,,,,
06.04.2020 05:00,6.4,761.2,767.2,-0.8,66,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,,,4.8,12.5,,,2500 or more  or no clouds.,,,15.0,0.5,No precipitation,12,,,,
06.04.2020 02:00,6.7,762.0,768.1,-1.2,69,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.5,,,2500 or more  or no clouds.,,,23.0,1.4,No precipitation,12,,,,
05.04.2020 23:00,7.0,763.2,769.3,0.0,65,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,,,4.0,12.5,,,2500 or more  or no clouds.,,,30.0,0.9,No precipitation,12,,,,
