Local time in Weifang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.0,763.2,765.3,0.5,54,Wind blowing from the north-northwest,0,,9,,Cloud development not observed or not observable. ,,,8.4,16.4,,,2500 or more  or no clouds.,,,20.0,0.9,No precipitation,12,,,,
07.04.2020 20:00,10.1,762.7,764.8,0.9,54,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.9,,,2500 or more  or no clouds.,,,21.0,1.0,No precipitation,12,,,,
07.04.2020 17:00,12.8,761.8,763.9,-0.4,50,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.0,,,2500 or more  or no clouds.,,,15.0,2.6,No precipitation,12,,,,
07.04.2020 14:00,15.8,762.2,764.3,-0.9,47,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.2,,,2500 or more  or no clouds.,,,9.0,4.5,No precipitation,12,,,,
07.04.2020 11:00,15.2,763.1,765.2,0.7,53,Wind blowing from the north-northeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.2,,,2500 or more  or no clouds.,,,3.1,5.7,No precipitation,12,,,,
07.04.2020 08:00,13.8,762.4,764.5,0.9,55,Wind blowing from the north,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.2,,,2500 or more  or no clouds.,,,5.0,4.9,No precipitation,12,,,,
07.04.2020 05:00,8.5,761.5,763.6,0.0,54,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,,,8.5,23.2,,,2500 or more  or no clouds.,,,8.0,-0.3,No precipitation,12,,,,
07.04.2020 02:00,9.9,761.5,763.5,0.2,46,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,23.2,,,2500 or more  or no clouds.,,,6.0,-1.2,No precipitation,12,,,,
06.04.2020 23:00,13.1,761.3,763.3,0.7,32,Wind blowing from the west-southwest,0,,6,,Cloud development not observed or not observable. ,,,8.8,23.2,,,2500 or more  or no clouds.,,,11.0,-3.2,No precipitation,12,,,,
06.04.2020 20:00,17.9,760.6,762.7,0.9,22,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,23.2,,,2500 or more  or no clouds.,,,14.0,-4.1,No precipitation,12,,,,
06.04.2020 17:00,23.0,759.7,761.7,-1.5,11,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,23.2,,,2500 or more  or no clouds.,,,26.0,-9.0,No precipitation,12,,,,
06.04.2020 14:00,22.6,761.2,763.3,-2.1,15,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.6,,,2500 or more  or no clouds.,,,18.0,-5.3,No precipitation,12,,,,
06.04.2020 11:00,19.7,763.3,765.4,-0.9,21,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.7,,,2500 or more  or no clouds.,,,13.0,-3.2,No precipitation,12,,,,
06.04.2020 08:00,13.0,764.2,766.3,0.2,38,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,18.6,,,2500 or more  or no clouds.,,,10.0,-1.0,No precipitation,12,,,,
06.04.2020 05:00,10.3,764.0,766.1,-0.8,41,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,,,-0.7,18.6,,,2500 or more  or no clouds.,,,13.0,-2.4,No precipitation,12,,,,
06.04.2020 02:00,11.1,764.8,766.9,-0.9,34,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,18.6,,,2500 or more  or no clouds.,,,17.0,-4.2,No precipitation,12,,,,
05.04.2020 23:00,10.4,765.7,767.8,0.2,32,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,,,,18.6,,,2500 or more  or no clouds.,,,13.0,-5.6,No precipitation,12,,,,
05.04.2020 20:00,13.3,765.5,767.6,0.4,21,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,18.6,,,2500 or more  or no clouds.,,,19.0,-8.6,No precipitation,12,,,,
05.04.2020 17:00,18.3,765.1,767.2,-2.1,13,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,18.6,,,2500 or more  or no clouds.,,,22.0,-10.6,No precipitation,12,,,,
05.04.2020 14:00,17.2,767.2,769.3,-2.6,12,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,17.2,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
