Local time in Jiexiu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.7,696.4,760.5,1.4,27,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.3,,,2500 or more  or no clouds.,,,30.0,-0.6,No precipitation,12,,,,
07.04.2020 17:00,21.9,695.0,759.1,-2.0,19,Wind blowing from the south-west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.3,,,2500 or more  or no clouds.,,,11.0,-2.7,No precipitation,12,,,,
07.04.2020 14:00,20.1,697.0,761.0,-2.0,24,Wind blowing from the south-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,21.3,,,2500 or more  or no clouds.,,,10.0,-1.0,No precipitation,12,,,,
07.04.2020 11:00,17.7,699.0,763.3,-0.1,34,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.0,,,2500 or more  or no clouds.,,,9.0,1.6,No precipitation,12,,,,
07.04.2020 08:00,11.9,699.1,763.8,0.9,51,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.0,,,2500 or more  or no clouds.,,,8.0,2.1,No precipitation,12,,,,
07.04.2020 05:00,7.5,698.2,762.7,-0.3,64,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,,,6.5,22.0,,,2500 or more  or no clouds.,,,25.0,1.1,No precipitation,12,,,,
07.04.2020 02:00,11.1,698.5,762.6,,46,Wind blowing from the south-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,22.0,,,2500 or more  or no clouds.,,,26.0,-0.3,No precipitation,12,,,,
06.04.2020 20:00,15.0,697.6,762.3,0.8,40,Wind blowing from the south-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,22.0,,,2500 or more  or no clouds.,,,29.0,1.5,No precipitation,12,,,,
06.04.2020 17:00,20.6,696.8,761.1,-1.2,21,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,22.0,,,2500 or more  or no clouds.,,,10.0,-2.4,No precipitation,12,,,,
06.04.2020 14:00,20.6,698.0,762.4,-1.8,25,Wind blowing from the north-northwest,5,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,22.0,,,2500 or more  or no clouds.,,,12.0,0.0,No precipitation,12,,,,
06.04.2020 11:00,18.1,699.8,763.9,-0.7,29,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,20.0,,,2500 or more  or no clouds.,,,10.0,-0.1,No precipitation,12,,,,
06.04.2020 08:00,10.7,700.5,765.4,0.8,51,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,20.0,,,2500 or more  or no clouds.,,,8.0,1.0,No precipitation,12,,,,
06.04.2020 05:00,8.7,699.7,764.4,-0.6,54,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,,,6.4,20.0,,,2500 or more  or no clouds.,,,25.0,-0.3,No precipitation,12,,,,
06.04.2020 02:00,8.9,700.3,765.1,,55,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.0,,,2500 or more  or no clouds.,,,24.0,0.3,No precipitation,12,,,,
05.04.2020 20:00,15.8,699.8,764.8,0.8,30,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.0,,,2500 or more  or no clouds.,,,29.0,-1.7,No precipitation,12,,,,
05.04.2020 17:00,19.3,699.0,763.8,-1.7,14,Wind blowing from the south-west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.5,,,2500 or more  or no clouds.,,,11.0,-8.8,No precipitation,12,,,,
05.04.2020 14:00,19.3,700.7,765.5,-2.6,13,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.6,,,2500 or more  or no clouds.,,,11.0,-9.8,No precipitation,12,,,,
05.04.2020 11:00,16.8,703.3,768.0,-1.1,27,Wind blowing from the west-southwest,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.6,,,2500 or more  or no clouds.,,,9.0,-2.2,No precipitation,12,,,,
05.04.2020 08:00,9.4,704.4,770.0,0.8,60,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.6,,,2500 or more  or no clouds.,,,9.0,2.0,No precipitation,12,,,,
05.04.2020 05:00,7.2,703.6,768.8,-0.2,77,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,3.5,20.6,,,2500 or more  or no clouds.,,,25.0,3.4,No precipitation,12,,,,
05.04.2020 02:00,8.3,703.8,769.0,,59,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,20.6,,,2500 or more  or no clouds.,,,25.0,0.7,No precipitation,12,,,,
04.04.2020 20:00,14.2,702.6,768.4,0.5,33,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,20.6,,,2500 or more  or no clouds.,,,27.0,-1.8,No precipitation,12,,,,
04.04.2020 17:00,19.8,702.1,767.3,-1.6,15,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,20.6,,,2500 or more  or no clouds.,,,11.0,-7.5,No precipitation,12,,,,
04.04.2020 14:00,18.4,703.7,768.9,-1.7,28,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.0,,,2500 or more  or no clouds.,,,10.0,-0.4,No precipitation,12,,,,
04.04.2020 11:00,13.2,705.4,771.1,0.3,47,Wind blowing from the north-northeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.0,,,2500 or more  or no clouds.,,,9.0,2.1,No precipitation,12,,,,
