Local time in Yuanping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,12.5,690.7,762.4,0.7,53,Wind blowing from the east-southeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,17.7,,,2500 or more  or no clouds.,,,19.0,3.2,2.0,12,,,,
07.04.2020 17:00,14.6,690.0,761.5,-1.6,47,Wind blowing from the south-southeast,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.8,,,2500 or more  or no clouds.,,,30.0,3.4,2.0,12,,,,
07.04.2020 14:00,11.5,691.6,763.5,-0.9,60,Wind blowing from the north-west,8,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,21.4,,,2500 or more  or no clouds.,,,18.0,4.0,No precipitation,12,,,,
07.04.2020 11:00,14.8,692.5,763.8,0.7,24,Wind blowing from the south-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,21.4,,,2500 or more  or no clouds.,,,29.0,-5.6,No precipitation,12,,,,
07.04.2020 08:00,10.7,691.8,763.0,0.7,31,Wind blowing from the north-west,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.4,,,2500 or more  or no clouds.,,,19.0,-5.7,No precipitation,12,,,,
07.04.2020 05:00,10.2,691.1,761.9,-0.3,32,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,7.1,21.4,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
07.04.2020 02:00,11.0,691.4,762.1,,25,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,21.4,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
06.04.2020 20:00,17.4,690.1,761.5,1.0,17,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,21.4,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
06.04.2020 17:00,20.8,689.1,759.9,-1.5,8,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,21.4,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
06.04.2020 14:00,20.6,690.6,761.4,-2.1,8,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,20.7,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
