Local time in Garze,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,3.4,507.9,762.1,2.1,24,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,,,-4.1,10.8,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
07.04.2020 20:00,4.4,505.8,762.5,1.5,52,Wind blowing from the south-southeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.8,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
07.04.2020 17:00,6.9,504.3,759.1,0.3,35,Wind blowing from the north,6,,13,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.8,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
07.04.2020 14:00,10.3,504.0,755.9,-2.1,20,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.8,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
07.04.2020 11:00,5.0,506.1,760.3,-0.1,35,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.6,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
07.04.2020 08:00,-2.3,506.2,762.0,0.6,66,Wind blowing from the north,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.6,,,2500 or more  or no clouds.,,,20.0,-7.8,No precipitation,12,,,,
07.04.2020 05:00,-2.8,505.6,760.0,-0.6,63,Wind blowing from the west,0,,14,,Cloud development not observed or not observable. ,,,-2.8,10.6,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
07.04.2020 02:00,-1.0,506.2,759.4,-0.1,62,Wind blowing from the south,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,10.6,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
06.04.2020 23:00,2.1,506.3,761.6,1.1,44,Wind blowing from the north-northwest,1,,14,,Cloud development not observed or not observable. ,,,-1.1,10.6,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
06.04.2020 20:00,6.4,505.2,759.6,1.0,27,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.6,,,2500 or more  or no clouds.,,,30.0,-11.2,0.6,12,,,,
06.04.2020 17:00,8.9,504.2,756.7,-0.4,18,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.6,,,2500 or more  or no clouds.,,,30.0,-14.1,1.0,12,,,,
06.04.2020 14:00,9.9,504.6,756.7,-2.0,29,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.7,,,2500 or more  or no clouds.,,,30.0,-7.3,1.0,12,,,,
06.04.2020 11:00,2.9,506.6,763.3,0.7,75,Wind blowing from the west-southwest,3,,7,,Rain and snow or ice pellets not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,,,,2500 or more  or no clouds.,,,30.0,-1.1,2.0,12,,,,
06.04.2020 08:00,-0.8,505.9,760.9,0.1,90,Wind blowing from the west,1,,,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.7,,,2500 or more  or no clouds.,,,9.0,-2.2,2.0,12,,,,
06.04.2020 05:00,-0.5,505.8,758.8,-1.2,82,Wind blowing from the west-southwest,2,,13,,Cloud development not observed or not observable. ,,,-0.9,11.7,,,2500 or more  or no clouds.,,,30.0,-3.2,2.0,12,,,,
06.04.2020 02:00,-0.6,507.0,760.0,-0.9,87,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.7,,,2500 or more  or no clouds.,,,30.0,-2.5,2.0,12,,,,
05.04.2020 23:00,-0.2,507.9,763.4,2.9,91,Wind blowing from the south-southeast,2,,13,,Intermittent fall of snowflakes  slight at time of observation. ,,,-0.9,11.7,,,2500 or more  or no clouds.,,,1.1,-1.5,0.6,12,,,,
05.04.2020 20:00,6.1,505.0,759.0,1.0,40,Wind blowing from the north,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.7,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
05.04.2020 17:00,9.5,504.0,755.3,-1.7,21,Wind blowing from the north-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.1,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
05.04.2020 14:00,10.6,505.7,756.5,-2.2,18,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.0,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
05.04.2020 11:00,6.5,507.9,761.7,0.0,33,Wind blowing from the east-southeast,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.0,,,2500 or more  or no clouds.,,,30.0,-8.6,0.3,12,,,,
05.04.2020 08:00,0.2,507.9,761.6,0.9,63,Wind blowing from the east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,13.0,,,2500 or more  or no clouds.,,,28.0,-6.0,0.3,12,,,,
05.04.2020 05:00,1.0,507.0,758.6,-0.1,64,Wind blowing from the west,1,,17,,Cloud development not observed or not observable. ,,,0.5,13.0,,,2500 or more  or no clouds.,,,30.0,-5.2,0.3,12,,,,
05.04.2020 02:00,2.3,507.1,757.9,0.8,63,Wind blowing from the west-northwest,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,13.0,,,2500 or more  or no clouds.,,,30.0,-4.2,0.3,12,,,,
04.04.2020 23:00,2.7,506.3,759.1,2.6,80,Wind blowing from the east,1,,17,,Cloud development not observed or not observable. ,,,1.3,13.0,,,2500 or more  or no clouds.,,,30.0,-0.4,No precipitation,12,,,,
04.04.2020 20:00,9.2,503.7,754.5,0.5,31,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,13.0,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
04.04.2020 17:00,11.5,503.2,752.7,-1.3,27,Wind blowing from the north-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,13.0,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
