Local time in Langzhong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,19.2,729.1,763.0,1.2,51,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.2,,,2500 or more  or no clouds.,,,30.0,8.8,No precipitation,12,,,,
07.04.2020 17:00,22.7,727.9,761.4,-1.9,38,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.2,,,2500 or more  or no clouds.,,,30.0,7.7,No precipitation,12,,,,
07.04.2020 14:00,21.4,729.8,763.5,-1.7,43,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,21.8,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
07.04.2020 11:00,18.3,731.5,765.3,0.6,60,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,21.5,,,2500 or more  or no clouds.,,,28.0,10.4,No precipitation,12,,,,
07.04.2020 08:00,11.3,730.9,764.8,0.6,92,Wind blowing from the north-east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,21.5,,,2500 or more  or no clouds.,,,19.0,10.0,No precipitation,12,,,,
07.04.2020 05:00,11.1,730.3,764.1,-0.4,91,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,,,8.7,21.5,,,2500 or more  or no clouds.,,,29.0,9.7,No precipitation,12,,,,
07.04.2020 02:00,12.1,730.7,764.5,,88,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.5,,,2500 or more  or no clouds.,,,30.0,10.2,No precipitation,12,,,,
06.04.2020 20:00,16.9,729.9,763.9,1.4,58,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.5,,,2500 or more  or no clouds.,,,30.0,8.6,No precipitation,12,,,,
06.04.2020 17:00,20.2,728.5,762.4,-1.8,39,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.5,,,2500 or more  or no clouds.,,,30.0,5.8,No precipitation,12,,,,
06.04.2020 14:00,20.5,730.3,764.2,-2.4,42,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.1,,,2500 or more  or no clouds.,,,30.0,7.2,No precipitation,12,,,,
06.04.2020 11:00,17.0,732.7,766.7,0.3,51,Wind blowing from the south,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,17.0,,,2500 or more  or no clouds.,,,30.0,6.8,No precipitation,12,,,,
06.04.2020 08:00,10.5,732.4,766.8,0.3,91,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.1,,,2500 or more  or no clouds.,,,13.0,9.1,No precipitation,12,,,,
06.04.2020 05:00,9.8,732.1,766.3,-1.4,91,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,9.6,16.1,,,2500 or more  or no clouds.,,,19.0,8.4,No precipitation,12,,,,
