Local time in Luzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,19.5,729.6,762.1,0.8,56,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.6,,,2500 or more  or no clouds.,,,28.0,10.5,No precipitation,12,,,,
07.04.2020 17:00,20.5,728.8,761.3,-1.5,49,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.6,,,2500 or more  or no clouds.,,,30.0,9.4,No precipitation,12,,,,
07.04.2020 14:00,21.1,730.3,762.8,-2.1,52,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.1,,,2500 or more  or no clouds.,,,30.0,10.9,No precipitation,12,,,,
07.04.2020 11:00,18.8,732.4,765.0,0.8,61,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,18.8,,,2500 or more  or no clouds.,,,23.0,11.1,No precipitation,12,,,,
07.04.2020 08:00,12.2,731.6,764.5,0.8,97,Wind blowing from the east-southeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,17.0,,,2500 or more  or no clouds.,,,5.0,11.7,No precipitation,12,,,,
07.04.2020 05:00,11.3,730.8,763.6,-1.4,98,Wind blowing from the east-southeast,2,,4,,Mist. ,,,11.3,17.0,,,2500 or more  or no clouds.,,,4.0,11.0,No precipitation,12,,,,
07.04.2020 02:00,12.3,732.2,765.1,,96,Wind blowing from the east-southeast,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,17.0,,,2500 or more  or no clouds.,,,5.0,11.7,No precipitation,12,,,,
06.04.2020 20:00,14.8,731.4,764.3,0.9,78,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,17.0,,,2500 or more  or no clouds.,,,15.0,11.0,No precipitation,12,,,,
06.04.2020 17:00,15.8,730.5,763.3,-1.4,73,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,17.0,,,2500 or more  or no clouds.,,,16.0,11.0,No precipitation,12,,,,
06.04.2020 14:00,16.6,731.9,764.8,-1.9,66,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,16.6,,,2500 or more  or no clouds.,,,23.0,10.2,No precipitation,12,,,,
