Local time in Nanchong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.1,733.0,763.5,0.9,69,Wind blowing from the north,1,,5,,Rain (not freezing) not falling as shower(s). ,,,11.3,21.3,,,2500 or more  or no clouds.,,,21.0,10.4,No precipitation,12,,,,
07.04.2020 20:00,17.3,732.1,762.8,1.0,64,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,21.3,,,2500 or more  or no clouds.,,,30.0,10.4,No precipitation,12,,,,
07.04.2020 17:00,21.0,731.1,761.7,-1.7,45,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,21.3,,,2500 or more  or no clouds.,,,30.0,8.6,No precipitation,12,,,,
07.04.2020 14:00,20.8,732.8,763.4,-1.7,46,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,21.1,,,2500 or more  or no clouds.,,,30.0,8.8,No precipitation,12,,,,
07.04.2020 11:00,20.0,734.5,765.2,0.8,54,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,20.0,,,2500 or more  or no clouds.,,,27.0,10.4,No precipitation,12,,,,
07.04.2020 08:00,12.3,733.7,764.6,0.7,98,Wind blowing from the east-southeast,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,19.4,,,2500 or more  or no clouds.,,,9.0,12.0,No precipitation,12,,,,
07.04.2020 05:00,11.6,733.0,763.8,-0.6,98,Wind blowing from the south-southwest,0,,4,,Cloud development not observed or not observable. ,,,11.3,19.4,,,2500 or more  or no clouds.,,,9.0,11.3,No precipitation,12,,,,
07.04.2020 02:00,12.6,733.6,764.5,-0.7,91,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,19.4,,,2500 or more  or no clouds.,,,18.0,11.2,No precipitation,12,,,,
06.04.2020 23:00,13.4,734.3,765.1,1.0,83,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,,,11.3,19.4,,,2500 or more  or no clouds.,,,25.0,10.6,No precipitation,12,,,,
06.04.2020 20:00,15.8,733.3,764.2,1.3,67,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,19.4,,,2500 or more  or no clouds.,,,28.0,9.7,No precipitation,12,,,,
06.04.2020 17:00,18.6,732.0,762.7,-1.9,52,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.8,,,2500 or more  or no clouds.,,,30.0,8.6,No precipitation,12,,,,
06.04.2020 14:00,17.1,733.9,764.8,-1.8,60,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,18.3,,,2500 or more  or no clouds.,,,30.0,9.3,No precipitation,12,,,,
06.04.2020 11:00,17.2,735.7,766.7,0.3,62,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,17.2,,,2500 or more  or no clouds.,,,30.0,9.9,No precipitation,12,,,,
