Local time in Wanyuan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,16.5,704.7,763.6,1.3,56,Wind blowing from the west,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.8,,,2500 or more  or no clouds.,,,19.0,7.7,No precipitation,12,,,,
07.04.2020 17:00,19.3,703.4,761.9,-1.0,45,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.8,,,2500 or more  or no clouds.,,,23.0,7.1,No precipitation,12,,,,
07.04.2020 14:00,20.5,704.4,762.7,-1.9,37,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.8,,,2500 or more  or no clouds.,,,30.0,5.3,No precipitation,12,,,,
07.04.2020 11:00,18.4,706.3,764.8,-0.5,48,Wind blowing from the east-southeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.5,,,2500 or more  or no clouds.,,,26.0,7.2,No precipitation,12,,,,
07.04.2020 08:00,9.0,706.8,765.8,0.9,91,Wind blowing from the north-northwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,22.5,,,2500 or more  or no clouds.,,,17.0,7.6,No precipitation,12,,,,
07.04.2020 05:00,8.3,705.9,764.5,-0.4,94,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,,,8.3,22.5,,,2500 or more  or no clouds.,,,22.0,7.4,No precipitation,12,,,,
07.04.2020 02:00,9.8,706.3,764.7,,86,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,23.0,7.6,No precipitation,12,,,,
06.04.2020 20:00,16.5,704.7,763.4,1.7,50,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,29.0,6.1,No precipitation,12,,,,
06.04.2020 17:00,20.1,703.0,761.4,-1.8,33,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,30.0,3.3,No precipitation,12,,,,
06.04.2020 14:00,20.7,704.8,763.2,-2.1,30,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.7,,,2500 or more  or no clouds.,,,30.0,2.5,No precipitation,12,,,,
06.04.2020 11:00,17.8,706.9,765.6,-0.6,41,Wind blowing from the east-southeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,17.8,,,2500 or more  or no clouds.,,,30.0,4.4,No precipitation,12,,,,
06.04.2020 08:00,10.6,707.5,766.9,0.0,77,Wind blowing from the east-northeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.0,,,2500 or more  or no clouds.,,,19.0,6.7,No precipitation,12,,,,
06.04.2020 05:00,9.0,707.5,766.9,-1.2,85,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,,,8.7,15.0,,,2500 or more  or no clouds.,,,25.0,6.6,No precipitation,12,,,,
06.04.2020 02:00,9.2,708.7,768.1,,84,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.0,,,2500 or more  or no clouds.,,,23.0,6.6,No precipitation,12,,,,
05.04.2020 20:00,12.3,708.1,767.7,0.7,64,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.0,,,2500 or more  or no clouds.,,,24.0,5.7,No precipitation,12,,,,
05.04.2020 17:00,14.4,707.4,766.7,-1.4,47,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.0,,,2500 or more  or no clouds.,,,30.0,3.2,No precipitation,12,,,,
05.04.2020 14:00,14.4,708.8,768.2,-1.2,45,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.0,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
05.04.2020 11:00,14.4,710.0,769.5,0.1,56,Wind blowing from the east-southeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.4,,,2500 or more  or no clouds.,,,26.0,5.7,No precipitation,12,,,,
05.04.2020 08:00,8.9,709.9,769.9,0.9,92,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,13.1,,,2500 or more  or no clouds.,,,16.0,7.7,No precipitation,12,,,,
05.04.2020 05:00,8.8,709.0,768.7,-1.1,92,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,,,8.3,13.1,,,2500 or more  or no clouds.,,,28.0,7.6,No precipitation,12,,,,
05.04.2020 02:00,9.3,710.1,769.8,,91,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,13.1,,,2500 or more  or no clouds.,,,26.0,7.9,No precipitation,12,,,,
04.04.2020 20:00,10.9,709.6,769.6,0.7,82,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,13.1,,,2500 or more  or no clouds.,,,21.0,8.0,1.0,12,,,,
04.04.2020 17:00,12.4,708.9,768.6,-1.2,68,Wind blowing from the south-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,13.1,,,2500 or more  or no clouds.,,,30.0,6.7,1.0,12,,,,
04.04.2020 14:00,12.6,710.1,769.8,-1.2,60,Wind blowing from the north-northwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,12.8,,,2500 or more  or no clouds.,,,30.0,5.0,1.0,12,,,,
04.04.2020 11:00,9.8,711.3,771.4,0.9,80,Wind blowing from the south-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,17.0,6.5,0.9,12,,,,
04.04.2020 08:00,8.5,710.4,770.5,1.1,99,Wind blowing from the west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,12.5,,,2500 or more  or no clouds.,,,14.0,8.4,0.4,12,,,,
04.04.2020 05:00,8.6,709.3,769.1,-0.5,90,Wind blowing from the south,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.6,12.5,,,2500 or more  or no clouds.,,,19.0,7.1,0.3,12,,,,
04.04.2020 02:00,9.1,709.8,769.6,,80,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,12.5,,,2500 or more  or no clouds.,,,27.0,5.8,0.3,12,,,,
03.04.2020 20:00,10.5,709.0,768.7,1.8,67,Wind blowing from the north-west,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.5,,,2500 or more  or no clouds.,,,23.0,4.6,No precipitation,12,,,,
03.04.2020 17:00,11.9,707.2,766.6,-1.1,60,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.5,,,2500 or more  or no clouds.,,,26.0,4.2,No precipitation,12,,,,
03.04.2020 14:00,12.0,708.3,767.8,-1.0,63,Wind blowing from the north-northwest,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.0,,,2500 or more  or no clouds.,,,23.0,5.0,No precipitation,12,,,,
03.04.2020 11:00,11.1,709.3,769.0,0.8,63,Wind blowing from the north-west,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,11.6,,,2500 or more  or no clouds.,,,30.0,4.3,No precipitation,12,,,,
03.04.2020 08:00,10.2,708.5,768.2,1.6,69,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,,,,2500 or more  or no clouds.,,,30.0,4.8,No precipitation,12,,,,
03.04.2020 05:00,10.5,706.9,766.3,-0.6,65,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,10.5,12.1,,,2500 or more  or no clouds.,,,30.0,4.2,No precipitation,12,,,,
03.04.2020 02:00,10.9,707.5,766.9,,64,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,2500 or more  or no clouds.,,,30.0,4.4,No precipitation,12,,,,
02.04.2020 20:00,10.6,707.0,766.4,1.4,68,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,2500 or more  or no clouds.,,,30.0,4.9,No precipitation,12,,,,
02.04.2020 17:00,11.4,705.6,764.8,-1.1,64,Wind blowing from the north-northwest,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,2500 or more  or no clouds.,,,30.0,4.8,No precipitation,12,,,,
02.04.2020 14:00,10.7,706.7,766.0,-0.4,73,Wind blowing from the north-west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,2500 or more  or no clouds.,,,30.0,6.1,No precipitation,12,,,,
02.04.2020 11:00,11.5,707.1,766.2,1.2,66,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,30.0,5.4,No precipitation,12,,,,
02.04.2020 08:00,11.5,705.9,764.8,1.5,67,Wind blowing from the north-northwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.0,,,2500 or more  or no clouds.,,,30.0,5.6,No precipitation,12,,,,
02.04.2020 05:00,11.8,704.4,763.0,-0.2,71,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,,,10.3,16.0,,,2500 or more  or no clouds.,,,30.0,6.7,No precipitation,12,,,,
02.04.2020 02:00,12.9,704.6,763.1,,67,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.0,,,2500 or more  or no clouds.,,,30.0,6.9,No precipitation,12,,,,
