Local time in Ya'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,14.1,709.9,765.2,1.4,75,Wind blowing from the south,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,19.6,,,2500 or more  or no clouds.,,,5.0,9.7,No precipitation,12,,,,
07.04.2020 17:00,17.0,708.5,763.2,-0.7,65,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,19.6,,,2500 or more  or no clouds.,,,11.0,10.4,No precipitation,12,,,,
07.04.2020 14:00,19.4,709.2,763.7,-1.9,54,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,19.6,,,2500 or more  or no clouds.,,,12.0,9.9,No precipitation,12,,,,
07.04.2020 11:00,16.0,711.1,766.1,0.8,68,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.0,,,2500 or more  or no clouds.,,,10.0,10.1,No precipitation,12,,,,
07.04.2020 08:00,9.7,710.3,765.7,1.6,93,Wind blowing from the south,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.2,,,2500 or more  or no clouds.,,,6.0,8.6,No precipitation,12,,,,
07.04.2020 05:00,11.5,708.7,763.7,-1.8,83,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,,,10.5,15.2,,,2500 or more  or no clouds.,,,7.0,8.7,No precipitation,12,,,,
07.04.2020 02:00,11.5,710.5,765.7,,85,Wind blowing from the west-southwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,15.2,,,2500 or more  or no clouds.,,,7.0,9.1,No precipitation,12,,,,
06.04.2020 20:00,13.5,710.3,765.5,1.2,83,Wind blowing from the south,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.2,,,2500 or more  or no clouds.,,,3.9,10.7,No precipitation,12,,,,
06.04.2020 17:00,14.7,709.1,764.2,-1.2,71,Wind blowing from the north-northeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,17.7,,,2500 or more  or no clouds.,,,6.0,9.5,No precipitation,12,,,,
06.04.2020 14:00,14.6,710.3,765.4,-1.8,73,Wind blowing from the east-northeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.0,,,2500 or more  or no clouds.,,,5.0,9.8,0.3,12,,,,
06.04.2020 11:00,13.4,712.1,767.3,0.6,79,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,15.0,9.8,1.0,12,,,,
06.04.2020 08:00,11.3,711.5,766.7,0.6,86,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.0,,,2500 or more  or no clouds.,,,21.0,9.0,1.0,12,,,,
06.04.2020 05:00,11.2,710.9,765.8,-1.6,90,Wind blowing from the south-southwest,1,,3,,Rain (not freezing) not falling as shower(s). ,,,9.7,19.0,,,2500 or more  or no clouds.,,,7.0,9.6,1.0,12,,,,
06.04.2020 02:00,11.6,712.5,767.4,,92,Wind blowing from the west-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,19.0,,,2500 or more  or no clouds.,,,3.0,10.3,0.9,12,,,,
05.04.2020 20:00,14.6,711.7,767.0,1.2,67,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,19.0,,,2500 or more  or no clouds.,,,11.0,8.5,No precipitation,12,,,,
05.04.2020 17:00,17.0,710.5,765.5,-1.6,54,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,19.0,,,2500 or more  or no clouds.,,,30.0,7.6,No precipitation,12,,,,
05.04.2020 14:00,18.0,712.1,767.2,-2.3,51,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,18.2,,,2500 or more  or no clouds.,,,30.0,7.7,No precipitation,12,,,,
05.04.2020 11:00,13.8,714.4,769.9,0.4,75,Wind blowing from the south-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.8,,,2500 or more  or no clouds.,,,16.0,9.5,No precipitation,12,,,,
05.04.2020 08:00,10.4,714.0,769.7,0.9,87,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.8,,,2500 or more  or no clouds.,,,28.0,8.3,0.6,12,,,,
05.04.2020 05:00,9.8,713.1,768.7,-1.3,95,Wind blowing from the west,1,,3,,Mist. ,,,9.3,14.8,,,2500 or more  or no clouds.,,,6.0,9.0,0.6,12,,,,
05.04.2020 02:00,10.0,714.4,770.0,,96,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.8,,,2500 or more  or no clouds.,,,9.0,9.4,0.6,12,,,,
04.04.2020 20:00,12.1,713.8,769.6,0.7,76,Wind blowing from the east-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.8,,,2500 or more  or no clouds.,,,24.0,8.0,No precipitation,12,,,,
04.04.2020 17:00,13.6,713.1,768.7,-1.3,66,Wind blowing from the west-southwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.8,,,2500 or more  or no clouds.,,,30.0,7.2,No precipitation,12,,,,
04.04.2020 14:00,14.3,714.4,770.1,-1.8,64,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.6,,,2500 or more  or no clouds.,,,30.0,7.6,0.1,12,,,,
04.04.2020 11:00,11.5,716.2,772.2,0.9,77,Wind blowing from the west-southwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,11.5,,,2500 or more  or no clouds.,,,30.0,7.6,0.4,12,,,,
04.04.2020 08:00,9.6,715.3,771.4,1.1,87,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,30.0,7.5,2.0,12,,,,
04.04.2020 05:00,9.5,714.2,770.2,-0.8,89,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,,,9.3,11.5,,,2500 or more  or no clouds.,,,30.0,7.8,3.0,12,,,,
04.04.2020 02:00,9.5,715.0,771.1,,93,Wind blowing from the south-west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.5,,,2500 or more  or no clouds.,,,17.0,8.4,4.0,12,,,,
03.04.2020 20:00,10.2,713.4,769.3,1.8,95,Wind blowing from the south-southwest,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,12.2,,,2500 or more  or no clouds.,,,5.0,9.4,4.0,12,,,,
