Local time in Tianjin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,9.6,764.6,765.0,0.5,37,Wind blowing from the south-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,18.9,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
07.04.2020 17:00,12.3,764.1,764.5,-1.2,26,Wind blowing from the south-southeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
07.04.2020 14:00,14.3,765.3,765.7,-1.3,27,Wind blowing from the south-southeast,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
07.04.2020 11:00,15.2,766.6,766.9,0.9,20,Wind blowing from the east-southeast,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
07.04.2020 08:00,13.1,765.7,766.0,1.8,33,Wind blowing from the east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,23.3,,,2500 or more  or no clouds.,,,18.0,-2.8,No precipitation,12,,,,
07.04.2020 05:00,13.0,763.9,764.2,1.5,56,Wind blowing from the east-southeast,7,,12,,Mist. ,,,9.7,23.3,,,2500 or more  or no clouds.,,,4.8,4.4,No precipitation,12,,,,
07.04.2020 02:00,12.8,762.4,762.7,,70,Wind blowing from the south,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.3,,,2500 or more  or no clouds.,,,5.0,7.5,No precipitation,12,,,,
06.04.2020 20:00,18.9,761.2,761.5,1.5,42,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.3,,,2500 or more  or no clouds.,,,8.0,5.7,No precipitation,12,,,,
06.04.2020 17:00,22.6,759.7,760.0,-1.6,32,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,23.3,,,2500 or more  or no clouds.,,,8.0,5.1,No precipitation,12,,,,
06.04.2020 14:00,21.3,761.3,761.7,-2.3,38,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,21.7,,,2500 or more  or no clouds.,,,8.0,6.4,No precipitation,12,,,,
06.04.2020 11:00,17.9,763.6,764.0,-0.6,46,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,19.8,,,2500 or more  or no clouds.,,,8.0,6.1,No precipitation,12,,,,
06.04.2020 08:00,12.3,764.2,764.6,0.3,61,Wind blowing from the south,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,,,,2500 or more  or no clouds.,,,6.0,5.0,No precipitation,12,,,,
06.04.2020 05:00,9.7,763.9,764.3,-1.1,75,Wind blowing from the south-southeast,2,,7,,Mist. ,,,3.3,19.8,,,2500 or more  or no clouds.,,,6.0,5.5,No precipitation,12,,,,
