Local time in Dengqen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,1.5,477.2,759.6,1.6,46,Wind blowing from the south-east,1,,12,,Cloud development not observed or not observable. ,,,-5.4,7.2,,,2500 or more  or no clouds.,,,25.0,-9.1,No precipitation,12,,,,
07.04.2020 20:00,4.5,475.6,758.8,0.9,11,Wind blowing from the north-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,7.2,,,2500 or more  or no clouds.,,,11.0,-23.5,No precipitation,12,,,,
07.04.2020 17:00,6.0,474.7,756.9,-1.1,20,Wind blowing from the east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,7.2,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
07.04.2020 14:00,5.9,475.8,757.4,-1.3,29,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,6.8,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
07.04.2020 11:00,2.6,477.1,759.3,0.4,39,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,6.8,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
07.04.2020 08:00,-3.1,476.7,761.2,0.5,70,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,6.8,,,2500 or more  or no clouds.,,,10.0,-7.8,No precipitation,12,,,,
07.04.2020 05:00,-3.9,476.2,758.8,-0.3,69,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,-9.7,6.8,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
07.04.2020 02:00,-1.8,476.5,758.8,-0.2,61,Wind blowing from the west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,6.8,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
06.04.2020 23:00,1.8,476.7,760.0,1.1,40,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,,,-9.7,6.8,,,2500 or more  or no clouds.,,,28.0,-10.4,No precipitation,12,,,,
06.04.2020 20:00,3.5,475.6,762.0,0.0,28,Wind blowing from the south,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,6.8,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
06.04.2020 17:00,6.7,475.6,758.1,-1.1,19,Wind blowing from the north-west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,6.7,,,2500 or more  or no clouds.,,,16.0,-15.3,,,,,,
06.04.2020 14:00,5.5,476.7,759.1,-1.7,27,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,6.0,,,2500 or more  or no clouds.,,,30.0,-12.0,2.0,12,,,,
