Local time in Lhasa,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,4.2,490.4,758.5,1.4,52,Wind blowing from the east-southeast,3,,10,,Cloud development not observed or not observable. ,,,0.1,9.5,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
07.04.2020 20:00,6.8,489.0,756.5,0.3,37,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,9.5,,,2500 or more  or no clouds.,,,30.0,-6.9,,,,,,
07.04.2020 17:00,8.2,488.7,755.3,-0.2,30,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.1,,,2500 or more  or no clouds.,,,30.0,-8.3,0.8,12,,,,
07.04.2020 14:00,7.9,488.9,753.6,-1.2,34,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.1,,,2500 or more  or no clouds.,,,30.0,-7.0,1.0,12,,,,
07.04.2020 11:00,3.3,490.1,757.4,1.1,69,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.1,,,2500 or more  or no clouds.,,,30.0,-2.0,1.0,12,,,,
07.04.2020 08:00,0.4,489.0,757.0,0.3,87,Wind blowing from the north-northeast,1,,7,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.1,,,2500 or more  or no clouds.,,,30.0,-1.5,1.0,12,,,,
07.04.2020 05:00,0.5,488.7,753.7,0.1,90,Wind blowing from the west-southwest,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,0.5,11.1,,,2500 or more  or no clouds.,,,1.4,-0.9,0.5,12,,,,
07.04.2020 02:00,4.2,488.6,753.3,-0.7,49,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.1,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
06.04.2020 23:00,5.4,489.3,755.5,0.8,41,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,,,2.4,11.1,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
06.04.2020 20:00,6.1,488.5,755.0,0.4,39,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.1,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
06.04.2020 17:00,10.9,488.1,751.6,-2.0,26,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.0,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
06.04.2020 14:00,7.6,490.1,756.0,-1.6,32,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,10.8,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
06.04.2020 11:00,4.7,491.7,759.1,0.6,48,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
06.04.2020 08:00,2.5,491.1,758.5,0.9,53,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,10.8,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
06.04.2020 05:00,2.7,490.2,757.1,-0.6,57,Wind blowing from the east-southeast,2,,11,,Cloud development not observed or not observable. ,,,-0.5,10.8,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
06.04.2020 02:00,3.6,490.8,756.5,0.0,49,Wind blowing from the east,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.8,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
05.04.2020 23:00,5.2,490.8,757.8,1.6,45,Wind blowing from the east,2,,17,,Cloud development not observed or not observable. ,,,-0.5,10.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
05.04.2020 20:00,6.8,489.2,757.2,1.1,38,Wind blowing from the east,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.8,,,2500 or more  or no clouds.,,,25.0,-6.5,,,,,,
