Local time in Longzi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,3.0,475.7,756.7,2.0,57,Wind blowing from the west,2,,19,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.6,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
07.04.2020 17:00,8.2,473.7,749.8,-0.6,26,Wind blowing from the west,5,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.6,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
07.04.2020 14:00,10.9,474.3,748.0,-1.5,14,Wind blowing from the west-northwest,5,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.6,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
07.04.2020 11:00,6.3,475.8,752.5,0.7,38,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,10.2,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
07.04.2020 08:00,0.1,475.1,753.8,0.5,68,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.2,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
07.04.2020 05:00,1.0,474.6,750.6,-1.0,65,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,,,-2.3,10.2,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
07.04.2020 02:00,2.7,475.6,752.5,,56,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.2,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
06.04.2020 20:00,6.0,474.7,753.9,0.1,39,Wind blowing from the south,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.2,,,2500 or more  or no clouds.,,,30.0,-6.9,0.5,12,,,,
06.04.2020 17:00,9.3,474.6,751.6,-2.1,22,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.2,,,2500 or more  or no clouds.,,,30.0,-11.3,0.5,12,,,,
06.04.2020 14:00,6.9,476.7,756.2,-1.9,32,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.8,,,2500 or more  or no clouds.,,,30.0,-8.7,0.5,12,,,,
06.04.2020 11:00,-0.7,478.6,763.1,1.4,82,Wind blowing from the west,1,,8,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,5.0,-3.4,0.5,12,,,,
