Local time in Naqu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-3.6,440.4,759.8,0.9,51,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,,,-6.8,2.8,,,2500 or more  or no clouds.,,,19.0,-12.3,No precipitation,12,,,,
07.04.2020 20:00,-1.2,439.5,761.3,0.7,47,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,2.8,,,2500 or more  or no clouds.,,,29.0,-11.3,No precipitation,12,,,,
07.04.2020 17:00,2.2,438.8,756.8,-0.7,19,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,3.2,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
07.04.2020 14:00,0.4,439.5,757.7,-0.3,25,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,3.5,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
07.04.2020 11:00,-0.2,439.8,757.9,0.5,32,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,3.5,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
07.04.2020 08:00,-6.8,439.3,759.7,0.5,42,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,3.5,,,2500 or more  or no clouds.,,,12.0,-17.6,No precipitation,12,,,,
07.04.2020 05:00,-5.7,438.8,756.2,-0.7,36,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,,,-12.0,3.5,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
07.04.2020 02:00,-3.3,439.5,757.0,0.1,41,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,3.5,,,2500 or more  or no clouds.,,,20.0,-14.7,No precipitation,12,,,,
06.04.2020 23:00,-2.4,439.4,759.1,0.7,37,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,-12.0,3.5,,,2500 or more  or no clouds.,,,25.0,-15.4,No precipitation,12,,,,
06.04.2020 20:00,0.6,438.7,762.5,0.0,25,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,3.5,,,2500 or more  or no clouds.,,,23.0,-17.2,No precipitation,12,,,,
