Local time in Rikaze,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,7.0,477.3,750.3,1.3,5,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,,,2.7,13.2,,,2500 or more  or no clouds.,,,30.0,-30.2,No precipitation,12,,,,
07.04.2020 20:00,10.3,476.0,748.9,-0.2,0,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.2,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
07.04.2020 17:00,12.3,476.2,746.7,-2.0,0,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
07.04.2020 14:00,11.0,478.2,749.2,-0.6,0,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
07.04.2020 11:00,7.6,478.8,751.2,1.4,0,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
07.04.2020 08:00,2.9,477.4,750.9,1.0,3,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.6,,,2500 or more  or no clouds.,,,30.0,-38.3,No precipitation,12,,,,
07.04.2020 05:00,5.4,476.4,746.4,0.2,1,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,,,-1.0,13.6,,,2500 or more  or no clouds.,,,30.0,-47.0,No precipitation,12,,,,
07.04.2020 02:00,7.8,476.2,746.2,0.5,4,Wind blowing from the west-southwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.6,,,2500 or more  or no clouds.,,,30.0,-31.9,No precipitation,12,,,,
06.04.2020 23:00,9.3,475.7,746.7,1.3,2,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,,,-1.0,13.6,,,2500 or more  or no clouds.,,,30.0,-37.9,No precipitation,12,,,,
06.04.2020 20:00,10.8,474.4,748.2,-1.1,0,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.6,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
06.04.2020 17:00,13.3,475.5,746.5,-2.8,0,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.5,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
06.04.2020 14:00,10.8,478.3,750.4,-1.7,2,Wind blowing from the west-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,12.8,,,2500 or more  or no clouds.,,,30.0,-36.9,No precipitation,12,,,,
06.04.2020 11:00,7.0,480.0,755.3,0.9,15,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,12.8,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
06.04.2020 08:00,-0.5,479.1,756.2,0.8,37,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,12.8,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
06.04.2020 05:00,2.8,478.3,752.2,-0.1,22,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,,,2.7,12.8,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
