Local time in Xainza,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,-1.5,431.3,761.1,0.1,39,Wind blowing from the west-northwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.5,,,2500 or more  or no clouds.,,,30.0,-13.7,0.1,12,,,,
07.04.2020 17:00,0.3,431.2,759.1,-1.3,27,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,2.1,,,2500 or more  or no clouds.,,,30.0,-16.5,0.2,12,,,,
07.04.2020 14:00,-2.8,432.5,762.5,0.2,52,Wind blowing from the north-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,2500 or more  or no clouds.,,,19.0,-11.5,0.2,12,,,,
07.04.2020 11:00,-3.7,432.3,761.2,1.2,50,Wind blowing from the west-northwest,8,,13,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,2500 or more  or no clouds.,,,30.0,-12.6,0.1,12,,,,
07.04.2020 08:00,-5.7,431.1,759.8,0.3,70,Wind blowing from the north-northwest,3,,8,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,2.3,,,2500 or more  or no clouds.,,,30.0,-10.3,0.1,12,,,,
07.04.2020 05:00,-5.1,430.8,757.6,-0.3,79,Wind blowing from the north,5,,9,,Snow not falling as shower(s). ,,,-11.4,2.3,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
07.04.2020 02:00,-3.5,431.1,757.6,,53,Wind blowing from the east-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,2.3,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.04.2020 20:00,-0.3,429.9,761.5,-0.8,31,Wind blowing from the north-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,2.3,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
06.04.2020 17:00,1.2,430.7,761.5,-1.1,26,Wind blowing from the north-west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,2.3,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
06.04.2020 14:00,0.5,431.8,760.9,-1.4,21,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,1.4,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
