Local time in Akqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,16.1,600.3,759.5,0.0,20,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,18.7,,,2500 or more  or no clouds.,,,13.0,-6.9,No precipitation,12,,,,
07.04.2020 17:00,18.7,600.3,758.2,-1.2,17,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,18.7,,,2500 or more  or no clouds.,,,14.0,-6.8,No precipitation,12,,,,
07.04.2020 14:00,15.9,601.5,759.6,-0.7,19,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.1,,,2500 or more  or no clouds.,,,12.0,-7.7,No precipitation,12,,,,
07.04.2020 11:00,10.0,602.2,761.8,0.3,38,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.1,,,2500 or more  or no clouds.,,,12.0,-3.7,No precipitation,12,,,,
07.04.2020 08:00,4.6,601.9,762.3,-0.2,55,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,16.1,,,2500 or more  or no clouds.,,,12.0,-3.7,No precipitation,12,,,,
07.04.2020 05:00,6.3,602.1,761.5,-0.4,59,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,,,3.3,16.1,,,2500 or more  or no clouds.,,,15.0,-1.1,No precipitation,12,,,,
07.04.2020 02:00,9.8,602.5,761.6,,47,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.1,,,2500 or more  or no clouds.,,,16.0,-1.0,No precipitation,12,,,,
06.04.2020 20:00,14.1,601.2,761.3,-0.1,28,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.1,,,2500 or more  or no clouds.,,,11.0,-4.1,No precipitation,12,,,,
06.04.2020 17:00,15.8,601.3,761.3,-1.4,25,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.3,,,2500 or more  or no clouds.,,,11.0,-4.2,No precipitation,12,,,,
06.04.2020 14:00,13.4,602.7,763.3,-0.6,28,Wind blowing from the north-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.3,,,2500 or more  or no clouds.,,,11.0,-4.7,No precipitation,12,,,,
