Local time in Aletai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.2,698.5,762.1,0.9,29,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,5.7,21.2,,,2500 or more  or no clouds.,,,30.0,-3.6,No precipitation,12,,,,
07.04.2020 20:00,19.6,697.6,761.3,,22,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,21.2,,,2500 or more  or no clouds.,,,30.0,-2.7,No precipitation,12,,,,
07.04.2020 17:00,20.7,,,,16,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,21.0,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
07.04.2020 14:00,18.0,699.1,762.7,-0.6,20,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,19.7,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
07.04.2020 11:00,13.7,699.7,763.5,0.6,29,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,19.7,,,2500 or more  or no clouds.,,,30.0,-4.0,No precipitation,12,,,,
07.04.2020 08:00,6.7,699.1,763.2,0.6,41,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,19.7,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
07.04.2020 05:00,9.6,698.5,762.1,-0.6,30,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,6.7,19.7,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
07.04.2020 02:00,10.9,699.1,762.7,-0.2,29,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.7,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
06.04.2020 23:00,13.0,699.3,763.1,0.5,28,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,,,6.4,19.7,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
06.04.2020 20:00,17.9,698.8,762.8,0.1,19,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.7,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
06.04.2020 17:00,18.4,698.7,762.5,-1.0,15,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.1,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
06.04.2020 14:00,17.3,699.7,763.6,-0.4,19,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.0,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
06.04.2020 11:00,13.5,700.1,764.3,0.7,28,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.0,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
06.04.2020 08:00,7.0,699.4,763.5,0.5,29,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.0,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
06.04.2020 05:00,7.6,698.9,762.7,-0.3,29,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,4.1,19.0,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
06.04.2020 02:00,8.6,699.2,763.3,-0.2,29,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,19.0,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
05.04.2020 23:00,10.2,699.4,763.8,0.5,29,Wind blowing from the north-west,0,,7,,Cloud development not observed or not observable. ,,,4.1,19.0,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
05.04.2020 20:00,17.3,698.9,763.1,-0.4,17,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,19.0,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
05.04.2020 17:00,18.2,699.3,763.3,-1.0,11,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,19.9,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
05.04.2020 14:00,15.9,700.3,764.2,-0.9,16,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,20.0,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
05.04.2020 11:00,11.3,701.2,765.5,0.3,25,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,20.0,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
05.04.2020 08:00,5.6,700.9,765.3,-0.1,27,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,20.0,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
05.04.2020 05:00,7.1,701.0,765.0,-0.7,24,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,,,6.9,20.0,,,2500 or more  or no clouds.,,,30.0,-12.1,0.1,12,,,,
05.04.2020 02:00,10.5,701.7,765.4,-0.6,17,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.0,,,2500 or more  or no clouds.,,,30.0,-13.5,0.1,12,,,,
04.04.2020 23:00,12.2,702.3,766.3,0.0,19,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,8.8,20.0,,,2500 or more  or no clouds.,,,30.0,-10.7,0.1,12,,,,
04.04.2020 20:00,17.2,702.3,766.3,-0.4,9,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.0,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
04.04.2020 17:00,19.6,702.7,766.5,-1.5,8,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.0,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.04.2020 14:00,18.5,704.2,768.3,-0.5,8,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.7,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
04.04.2020 11:00,15.5,704.7,769.0,0.8,13,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.3,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
