Local time in Aral,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,23.8,673.6,758.5,-0.6,11,Wind blowing from the west-southwest,2,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,25.3,,,2500 or more  or no clouds.,,,7.0,-8.4,No precipitation,12,,,,
07.04.2020 17:00,25.1,674.2,758.8,-1.6,9,Wind blowing from the west-southwest,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,25.1,,,2500 or more  or no clouds.,,,5.0,-10.0,No precipitation,12,,,,
07.04.2020 14:00,21.7,675.8,761.0,-0.2,13,Wind blowing from the west-southwest,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,24.3,,,2500 or more  or no clouds.,,,6.0,-7.9,No precipitation,12,,,,
07.04.2020 11:00,16.9,676.0,761.3,0.6,27,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,24.3,,,2500 or more  or no clouds.,,,7.0,-2.2,No precipitation,12,,,,
07.04.2020 08:00,7.6,675.4,760.8,0.5,63,Wind blowing from the south-west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,24.3,,,2500 or more  or no clouds.,,,7.0,1.0,No precipitation,12,,,,
07.04.2020 05:00,8.8,674.9,759.9,-0.5,61,Wind blowing from the south-southwest,0,,5,,Mist. ,,,5.1,24.3,,,2500 or more  or no clouds.,,,6.0,1.7,No precipitation,12,,,,
07.04.2020 02:00,10.2,675.4,760.6,,49,Wind blowing from the west,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,24.3,,,2500 or more  or no clouds.,,,6.0,0.0,No precipitation,12,,,,
06.04.2020 20:00,22.7,674.6,760.1,-0.7,14,Wind blowing from the west,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,24.3,,,2500 or more  or no clouds.,,,5.0,-6.2,No precipitation,12,,,,
06.04.2020 17:00,23.7,675.3,760.7,-1.5,13,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,24.3,,,2500 or more  or no clouds.,,,9.0,-6.3,No precipitation,12,,,,
06.04.2020 14:00,21.6,676.8,762.5,-0.4,15,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.9,,,2500 or more  or no clouds.,,,8.0,-6.1,No precipitation,12,,,,
