Local time in Hami,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.1,695.8,758.7,0.4,20,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,,25.6,,,2500 or more  or no clouds.,,,7.0,-8.5,No precipitation,12,,,,
07.04.2020 20:00,22.6,695.4,758.5,-0.3,10,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,25.6,,,2500 or more  or no clouds.,,,12.0,-10.5,No precipitation,12,,,,
07.04.2020 17:00,24.3,695.7,759.0,-1.5,9,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,25.6,,,2500 or more  or no clouds.,,,16.0,-10.6,No precipitation,12,,,,
07.04.2020 14:00,24.5,697.2,760.3,-1.3,8,Wind blowing from the south-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,24.5,,,2500 or more  or no clouds.,,,22.0,-11.9,No precipitation,12,,,,
07.04.2020 11:00,18.9,698.5,761.9,0.3,11,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,24.3,,,2500 or more  or no clouds.,,,20.0,-12.2,No precipitation,12,,,,
07.04.2020 08:00,8.1,698.2,761.7,0.6,20,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,24.3,,,2500 or more  or no clouds.,,,17.0,-13.5,No precipitation,12,,,,
07.04.2020 05:00,5.4,697.6,761.1,-0.1,25,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,5.2,24.3,,,2500 or more  or no clouds.,,,18.0,-13.1,No precipitation,12,,,,
07.04.2020 02:00,8.4,697.7,761.0,-0.2,20,Wind blowing from the north-northeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,24.3,,,2500 or more  or no clouds.,,,13.0,-13.3,No precipitation,12,,,,
06.04.2020 23:00,11.2,697.9,761.6,0.6,18,Wind blowing from the north-east,0,,10,,Cloud development not observed or not observable. ,,,5.3,24.3,,,2500 or more  or no clouds.,,,10.0,-12.2,No precipitation,12,,,,
06.04.2020 20:00,21.3,697.3,760.8,0.3,9,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,24.3,,,2500 or more  or no clouds.,,,14.0,-12.8,No precipitation,12,,,,
