Local time in Hoboksar,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,9.6,651.7,762.8,0.9,36,Wind blowing from the north-northwest,4,,14,,Cloud development not observed or not observable. ,,,6.8,18.1,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
07.04.2020 20:00,16.4,650.8,761.3,0.0,19,Wind blowing from the south-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.1,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
07.04.2020 17:00,17.5,650.8,760.8,-0.9,19,Wind blowing from the south,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.0,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
07.04.2020 14:00,16.7,651.7,762.2,-0.5,22,Wind blowing from the south,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.0,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
07.04.2020 11:00,12.3,652.2,763.0,0.2,48,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.0,,,2500 or more  or no clouds.,,,30.0,1.6,No precipitation,12,,,,
07.04.2020 08:00,7.7,652.0,762.7,-0.1,65,Wind blowing from the west-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,18.0,,,2500 or more  or no clouds.,,,30.0,1.5,No precipitation,12,,,,
07.04.2020 05:00,9.1,652.1,762.2,-0.4,47,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,,,1.3,18.0,,,2500 or more  or no clouds.,,,30.0,-1.6,No precipitation,12,,,,
07.04.2020 02:00,8.2,652.5,763.0,-0.7,57,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,18.0,,,2500 or more  or no clouds.,,,30.0,0.0,No precipitation,12,,,,
06.04.2020 23:00,11.1,653.2,764.3,1.6,55,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,,,1.1,18.0,,,2500 or more  or no clouds.,,,18.0,2.2,No precipitation,12,,,,
06.04.2020 20:00,15.7,651.6,763.4,0.8,18,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,18.0,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
06.04.2020 17:00,17.6,650.8,762.2,-0.7,11,Wind blowing from the south-southeast,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,18.0,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
06.04.2020 14:00,16.6,651.5,762.7,-0.6,9,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.3,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
