Local time in Hotan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,19.0,645.7,757.9,0.9,12,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,,,9.9,24.1,,,2500 or more  or no clouds.,,,8.0,-11.0,No precipitation,12,,,,
07.04.2020 20:00,22.5,644.8,757.1,0.0,9,Wind blowing from the east-southeast,3,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,24.1,,,2500 or more  or no clouds.,,,4.7,-11.9,No precipitation,12,,,,
07.04.2020 17:00,23.5,644.8,756.6,-1.4,6,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,23.8,,,2500 or more  or no clouds.,,,9.0,-16.2,No precipitation,12,,,,
07.04.2020 14:00,21.8,646.2,758.2,-0.7,10,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,23.2,,,2500 or more  or no clouds.,,,10.0,-11.2,No precipitation,12,,,,
07.04.2020 11:00,15.0,646.9,759.7,0.6,21,Wind blowing from the east-northeast,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,23.2,,,2500 or more  or no clouds.,,,4.4,-7.1,No precipitation,12,,,,
07.04.2020 08:00,10.2,646.3,759.0,0.5,21,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.2,,,2500 or more  or no clouds.,,,11.0,-11.2,No precipitation,12,,,,
07.04.2020 05:00,11.5,645.8,757.9,-0.2,26,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,,,7.5,23.2,,,2500 or more  or no clouds.,,,9.0,-7.3,No precipitation,12,,,,
07.04.2020 02:00,13.3,646.0,758.2,-0.3,19,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.2,,,2500 or more  or no clouds.,,,9.0,-9.8,No precipitation,12,,,,
06.04.2020 23:00,17.1,646.3,758.7,1.0,12,Wind blowing from the east,1,,11,,Haze. ,,,7.5,23.2,,,2500 or more  or no clouds.,,,6.0,-12.5,No precipitation,12,,,,
06.04.2020 20:00,22.2,645.3,758.2,-0.3,7,Wind blowing from the east-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.2,,,2500 or more  or no clouds.,,,7.0,-15.2,No precipitation,12,,,,
06.04.2020 17:00,22.9,645.6,757.9,-1.6,9,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.4,,,2500 or more  or no clouds.,,,9.0,-11.6,No precipitation,12,,,,
