Local time in Jinghe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,25.7,730.1,758.8,-0.3,19,Wind blowing from the north,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.8,,,2500 or more  or no clouds.,,,30.0,0.4,No precipitation,12,,,,
07.04.2020 17:00,25.3,730.4,758.9,-1.5,20,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.9,,,2500 or more  or no clouds.,,,30.0,0.7,No precipitation,12,,,,
07.04.2020 14:00,22.7,731.9,760.6,-1.1,26,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.9,,,2500 or more  or no clouds.,,,30.0,2.2,No precipitation,12,,,,
07.04.2020 11:00,20.0,733.0,761.6,0.0,31,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.9,,,2500 or more  or no clouds.,,,30.0,2.4,No precipitation,12,,,,
07.04.2020 08:00,13.1,733.0,761.8,0.0,49,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,26.9,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
07.04.2020 05:00,16.0,733.0,761.5,-0.6,44,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,,,9.9,26.9,,,2500 or more  or no clouds.,,,30.0,3.8,No precipitation,12,,,,
07.04.2020 02:00,17.8,733.6,762.2,,37,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.9,,,2500 or more  or no clouds.,,,30.0,2.9,No precipitation,12,,,,
06.04.2020 20:00,24.0,731.6,760.6,0.6,18,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.9,,,2500 or more  or no clouds.,,,25.0,-1.8,No precipitation,12,,,,
06.04.2020 17:00,26.5,731.0,759.7,-1.6,14,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.7,,,2500 or more  or no clouds.,,,30.0,-3.1,No precipitation,12,,,,
06.04.2020 14:00,23.5,732.6,761.4,-1.5,18,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,24.7,,,2500 or more  or no clouds.,,,25.0,-2.2,No precipitation,12,,,,
06.04.2020 11:00,18.0,734.1,763.1,0.5,25,Wind blowing from the west,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,24.7,,,2500 or more  or no clouds.,,,20.0,-2.3,No precipitation,12,,,,
06.04.2020 08:00,10.4,733.6,762.6,0.0,34,Wind blowing from the south-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,24.7,,,2500 or more  or no clouds.,,,28.0,-4.8,No precipitation,12,,,,
06.04.2020 05:00,11.5,733.6,762.6,-0.1,30,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,,,7.8,24.7,,,2500 or more  or no clouds.,,,26.0,-5.5,No precipitation,12,,,,
