Local time in Karamay,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,19.0,721.7,760.6,1.1,19,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,15.6,25.9,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
07.04.2020 20:00,24.5,720.6,759.3,-0.2,13,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,25.9,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
07.04.2020 17:00,25.4,720.8,759.4,-1.4,11,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,25.4,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
07.04.2020 14:00,22.5,722.2,760.9,-0.7,12,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,25.4,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
07.04.2020 11:00,19.0,722.9,761.8,0.5,26,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,25.4,,,2500 or more  or no clouds.,,,30.0,-0.9,No precipitation,12,,,,
07.04.2020 08:00,15.9,722.4,761.2,-0.1,33,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.4,,,2500 or more  or no clouds.,,,30.0,-0.3,No precipitation,12,,,,
07.04.2020 05:00,17.1,722.5,761.2,-0.1,31,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,12.5,25.4,,,2500 or more  or no clouds.,,,30.0,-0.1,No precipitation,12,,,,
07.04.2020 02:00,19.3,722.6,761.5,0.1,29,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,25.4,,,2500 or more  or no clouds.,,,30.0,0.8,No precipitation,12,,,,
06.04.2020 23:00,21.4,722.5,761.5,1.2,24,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,12.5,25.4,,,2500 or more  or no clouds.,,,30.0,0.0,No precipitation,12,,,,
06.04.2020 20:00,24.3,721.3,760.3,0.1,13,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,25.4,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
06.04.2020 17:00,24.8,721.2,760.0,-1.6,14,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,24.9,,,2500 or more  or no clouds.,,,30.0,-4.5,No precipitation,12,,,,
06.04.2020 14:00,20.6,722.8,762.0,-0.7,12,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,22.5,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
06.04.2020 11:00,17.1,723.5,762.9,0.4,17,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,22.5,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
06.04.2020 08:00,12.8,723.1,762.4,0.4,28,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,22.5,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
06.04.2020 05:00,13.8,722.7,761.8,-0.5,22,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,10.2,22.5,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
06.04.2020 02:00,15.1,723.2,762.4,-0.4,16,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,22.5,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
05.04.2020 23:00,16.0,723.6,763.0,0.8,13,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,,,10.2,22.5,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
05.04.2020 20:00,21.7,722.8,762.3,-0.4,8,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,22.5,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
05.04.2020 17:00,22.1,723.2,762.5,-1.5,7,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,22.3,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
05.04.2020 14:00,19.7,724.7,764.2,-0.8,8,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
05.04.2020 11:00,17.9,725.5,765.1,0.3,7,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
05.04.2020 08:00,10.3,725.2,765.0,0.0,17,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,20.4,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
05.04.2020 05:00,11.8,725.2,764.8,-0.6,16,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,,,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
05.04.2020 02:00,14.0,725.8,765.3,-0.6,14,Wind blowing from the north-west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
04.04.2020 23:00,14.2,726.4,766.1,0.3,17,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,,,10.2,20.4,,,2500 or more  or no clouds.,,,23.0,-10.5,No precipitation,12,,,,
04.04.2020 20:00,19.4,726.1,765.8,-0.3,10,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,20.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
