Local time in Kuche,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.0,669.3,760.0,1.1,37,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,,,6.5,23.8,,,2500 or more  or no clouds.,,,7.0,-0.4,No precipitation,12,,,,
07.04.2020 20:00,22.1,668.2,759.1,-0.7,17,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,23.8,,,2500 or more  or no clouds.,,,14.0,-4.1,No precipitation,12,,,,
07.04.2020 17:00,23.2,668.9,759.5,-1.7,16,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,23.4,,,2500 or more  or no clouds.,,,13.0,-4.0,No precipitation,12,,,,
07.04.2020 14:00,20.7,670.6,761.3,-0.2,15,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,23.1,,,2500 or more  or no clouds.,,,19.0,-6.8,No precipitation,12,,,,
07.04.2020 11:00,16.9,670.8,761.8,0.5,23,Wind blowing from the east,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,23.1,,,2500 or more  or no clouds.,,,11.0,-4.4,No precipitation,12,,,,
07.04.2020 08:00,6.6,670.3,761.7,0.3,57,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,23.1,,,2500 or more  or no clouds.,,,13.0,-1.3,No precipitation,12,,,,
07.04.2020 05:00,7.9,670.0,760.9,-0.3,53,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,4.6,23.1,,,2500 or more  or no clouds.,,,12.0,-1.3,No precipitation,12,,,,
07.04.2020 02:00,10.7,670.3,761.1,0.0,47,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,23.1,,,2500 or more  or no clouds.,,,9.0,-0.4,No precipitation,12,,,,
06.04.2020 23:00,13.4,670.3,761.2,0.6,36,Calm  no wind,0,,,,Haze. ,,,4.6,23.1,,,2500 or more  or no clouds.,,,5.0,-1.4,No precipitation,12,,,,
06.04.2020 20:00,20.5,669.7,761.5,-0.7,18,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,23.1,,,2500 or more  or no clouds.,,,14.0,-4.6,No precipitation,12,,,,
06.04.2020 17:00,22.1,670.4,761.6,-1.5,17,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,22.4,,,2500 or more  or no clouds.,,,14.0,-4.1,No precipitation,12,,,,
06.04.2020 14:00,20.3,671.9,763.3,-0.3,18,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.1,,,2500 or more  or no clouds.,,,12.0,-4.8,No precipitation,12,,,,
06.04.2020 11:00,16.8,672.2,763.2,0.5,30,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.1,,,2500 or more  or no clouds.,,,14.0,-0.9,No precipitation,12,,,,
06.04.2020 08:00,4.6,671.7,763.8,0.2,65,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.1,,,2500 or more  or no clouds.,,,13.0,-1.4,No precipitation,12,,,,
06.04.2020 05:00,6.3,671.5,763.2,0.0,59,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,6.1,21.1,,,2500 or more  or no clouds.,,,12.0,-1.1,No precipitation,12,,,,
06.04.2020 02:00,8.3,671.5,763.2,0.1,54,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,21.1,,,2500 or more  or no clouds.,,,12.0,-0.5,No precipitation,12,,,,
05.04.2020 23:00,14.7,671.4,762.5,1.1,32,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,,,6.4,21.1,,,2500 or more  or no clouds.,,,14.0,-1.8,No precipitation,12,,,,
05.04.2020 20:00,19.7,670.3,761.8,-0.4,20,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,21.1,,,2500 or more  or no clouds.,,,16.0,-3.9,No precipitation,12,,,,
05.04.2020 17:00,20.6,670.7,761.5,-1.6,20,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.8,,,2500 or more  or no clouds.,,,14.0,-3.1,No precipitation,12,,,,
05.04.2020 14:00,18.7,672.3,763.6,-0.7,23,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,19.2,,,2500 or more  or no clouds.,,,13.0,-2.8,No precipitation,12,,,,
05.04.2020 11:00,15.1,673.0,764.9,0.5,32,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,18.9,,,2500 or more  or no clouds.,,,12.0,-1.5,No precipitation,12,,,,
05.04.2020 08:00,6.8,672.5,764.7,-0.3,53,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.9,,,2500 or more  or no clouds.,,,12.0,-2.1,No precipitation,12,,,,
05.04.2020 05:00,10.5,672.8,764.2,-0.2,45,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,,,6.7,18.9,,,2500 or more  or no clouds.,,,13.0,-0.9,No precipitation,12,,,,
05.04.2020 02:00,10.6,673.0,764.8,-0.1,42,Wind blowing from the north-west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.9,,,2500 or more  or no clouds.,,,11.0,-1.8,No precipitation,12,,,,
04.04.2020 23:00,10.9,673.1,765.3,0.7,44,Calm  no wind,0,,,,Haze. ,,,6.7,18.9,,,2500 or more  or no clouds.,,,4.5,-0.9,No precipitation,12,,,,
04.04.2020 20:00,17.5,672.4,764.4,-0.8,20,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.9,,,2500 or more  or no clouds.,,,12.0,-5.7,No precipitation,12,,,,
04.04.2020 17:00,18.5,673.2,765.1,-1.9,21,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.9,,,2500 or more  or no clouds.,,,13.0,-4.2,No precipitation,12,,,,
04.04.2020 14:00,16.5,675.1,767.2,-0.5,27,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,17.0,,,2500 or more  or no clouds.,,,16.0,-2.5,No precipitation,12,,,,
