Local time in Ruoqiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.9,684.1,760.1,1.2,20,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,4.5,25.7,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
07.04.2020 20:00,23.0,682.9,758.2,-0.3,8,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,25.7,,,2500 or more  or no clouds.,,,27.0,-13.0,No precipitation,12,,,,
07.04.2020 17:00,25.1,683.2,758.5,-2.0,8,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,25.5,,,2500 or more  or no clouds.,,,20.0,-11.5,No precipitation,12,,,,
07.04.2020 14:00,22.9,685.2,759.7,-0.9,11,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,24.6,,,2500 or more  or no clouds.,,,20.0,-9.1,No precipitation,12,,,,
07.04.2020 11:00,14.6,686.1,761.7,1.0,22,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,24.6,,,2500 or more  or no clouds.,,,18.0,-6.9,No precipitation,12,,,,
07.04.2020 08:00,7.1,685.1,760.9,0.7,31,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,24.6,,,2500 or more  or no clouds.,,,18.0,-8.9,No precipitation,12,,,,
07.04.2020 05:00,5.9,684.4,759.9,-0.5,35,Wind blowing from the west-southwest,0,,8,,Cloud development not observed or not observable. ,,,4.0,24.6,,,2500 or more  or no clouds.,,,20.0,-8.4,No precipitation,12,,,,
07.04.2020 02:00,15.1,684.9,759.3,-0.7,18,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.6,,,2500 or more  or no clouds.,,,21.0,-9.0,No precipitation,12,,,,
06.04.2020 23:00,16.4,685.6,760.4,0.5,18,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,,24.6,,,2500 or more  or no clouds.,,,17.0,-8.0,No precipitation,12,,,,
06.04.2020 20:00,21.4,685.1,761.3,-0.2,12,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,24.6,,,2500 or more  or no clouds.,,,20.0,-9.2,No precipitation,12,,,,
06.04.2020 17:00,24.3,685.3,760.9,-1.4,10,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,24.4,,,2500 or more  or no clouds.,,,16.0,-9.2,No precipitation,12,,,,
06.04.2020 14:00,23.5,686.7,762.1,-1.0,12,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,23.5,,,2500 or more  or no clouds.,,,15.0,-7.5,No precipitation,12,,,,
06.04.2020 11:00,20.0,687.7,763.3,0.7,18,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,22.6,,,2500 or more  or no clouds.,,,13.0,-5.0,No precipitation,12,,,,
06.04.2020 08:00,4.5,687.0,763.6,0.6,48,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,22.6,,,2500 or more  or no clouds.,,,11.0,-5.6,No precipitation,12,,,,
06.04.2020 05:00,6.3,686.4,762.4,-0.4,41,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,,,1.7,22.6,,,2500 or more  or no clouds.,,,18.0,-6.0,No precipitation,12,,,,
06.04.2020 02:00,9.5,686.8,762.6,-0.5,29,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,22.6,,,2500 or more  or no clouds.,,,18.0,-7.6,No precipitation,12,,,,
05.04.2020 23:00,11.9,687.3,763.6,0.8,26,Wind blowing from the south-southeast,2,,7,,Haze. ,,,,22.6,,,2500 or more  or no clouds.,,,7.0,-7.0,No precipitation,12,,,,
05.04.2020 20:00,20.1,686.5,763.3,0.0,13,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,22.6,,,2500 or more  or no clouds.,,,18.0,-9.2,No precipitation,12,,,,
05.04.2020 17:00,21.3,686.5,763.0,-1.2,14,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,22.3,,,2500 or more  or no clouds.,,,18.0,-7.3,No precipitation,12,,,,
05.04.2020 14:00,20.2,687.7,764.2,-1.1,15,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,20.9,,,2500 or more  or no clouds.,,,17.0,-7.2,No precipitation,12,,,,
05.04.2020 11:00,14.7,688.8,765.8,0.5,20,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,19.9,,,2500 or more  or no clouds.,,,16.0,-8.0,No precipitation,12,,,,
05.04.2020 08:00,1.7,688.3,765.7,0.3,52,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,19.9,,,2500 or more  or no clouds.,,,20.0,-7.3,No precipitation,12,,,,
05.04.2020 05:00,3.6,688.0,765.0,-0.6,39,Wind blowing from the south,0,,5,,Cloud development not observed or not observable. ,,,3.6,19.9,,,2500 or more  or no clouds.,,,22.0,-9.1,No precipitation,12,,,,
05.04.2020 02:00,5.5,688.6,765.5,-0.3,32,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,19.9,,,2500 or more  or no clouds.,,,24.0,-9.9,No precipitation,12,,,,
04.04.2020 23:00,7.9,688.9,766.2,0.0,28,Wind blowing from the south-southeast,1,,5,,Haze. ,,,4.0,19.9,,,2500 or more  or no clouds.,,,5.0,-9.5,No precipitation,12,,,,
04.04.2020 20:00,17.6,688.9,765.7,-0.5,13,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,19.9,,,2500 or more  or no clouds.,,,23.0,-11.1,No precipitation,12,,,,
04.04.2020 17:00,19.2,689.4,766.2,-1.3,12,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,19.9,,,2500 or more  or no clouds.,,,20.0,-10.9,No precipitation,12,,,,
04.04.2020 14:00,18.4,690.7,767.9,-0.9,13,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.6,,,2500 or more  or no clouds.,,,20.0,-10.5,No precipitation,12,,,,
04.04.2020 11:00,13.2,691.6,769.1,0.9,25,Wind blowing from the south-west,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,17.5,,,2500 or more  or no clouds.,,,15.0,-6.4,No precipitation,12,,,,
04.04.2020 08:00,7.2,690.7,767.9,0.5,41,Wind blowing from the west-southwest,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,17.5,,,2500 or more  or no clouds.,,,14.0,-5.2,No precipitation,12,,,,
04.04.2020 05:00,5.4,690.2,767.5,-0.2,43,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,,,4.1,17.5,,,2500 or more  or no clouds.,,,17.0,-6.2,No precipitation,12,,,,
04.04.2020 02:00,5.0,690.4,768.0,-0.4,46,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,17.5,,,2500 or more  or no clouds.,,,18.0,-5.9,No precipitation,12,,,,
03.04.2020 23:00,8.2,690.8,768.4,0.6,36,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,,,7.3,17.5,,,2500 or more  or no clouds.,,,13.0,-6.0,No precipitation,12,,,,
03.04.2020 20:00,16.1,690.2,767.2,-0.2,19,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,17.5,,,2500 or more  or no clouds.,,,16.0,-7.5,No precipitation,12,,,,
