Local time in Urumqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.4,682.0,760.9,1.2,20,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,10.4,22.7,,,2500 or more  or no clouds.,,,15.0,-6.6,No precipitation,12,,,,
07.04.2020 20:00,21.0,680.8,759.9,0.2,13,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.7,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
07.04.2020 17:00,21.9,680.6,759.3,-1.3,12,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.2,,,2500 or more  or no clouds.,,,28.0,-8.8,No precipitation,12,,,,
07.04.2020 14:00,20.2,681.9,760.7,-1.0,13,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.1,,,2500 or more  or no clouds.,,,26.0,-9.1,No precipitation,12,,,,
07.04.2020 11:00,16.3,682.9,762.1,0.2,16,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.1,,,2500 or more  or no clouds.,,,22.0,-9.6,No precipitation,12,,,,
07.04.2020 08:00,10.5,682.7,762.1,0.3,24,Wind blowing from the south-southwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,22.1,,,2500 or more  or no clouds.,,,27.0,-9.2,No precipitation,12,,,,
07.04.2020 05:00,11.9,682.4,761.3,-0.3,22,Wind blowing from the south,4,,6,,Cloud development not observed or not observable. ,,,9.4,22.1,,,2500 or more  or no clouds.,,,28.0,-9.1,No precipitation,12,,,,
07.04.2020 02:00,13.5,682.7,761.6,-0.3,19,Wind blowing from the south-southwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,22.1,,,2500 or more  or no clouds.,,,23.0,-9.7,No precipitation,12,,,,
06.04.2020 23:00,15.7,683.0,762.2,1.1,16,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,9.4,22.1,,,2500 or more  or no clouds.,,,28.0,-10.0,No precipitation,12,,,,
06.04.2020 20:00,20.4,681.9,761.2,0.2,10,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,22.1,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
06.04.2020 17:00,22.1,681.7,760.6,-1.2,9,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,22.1,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
06.04.2020 14:00,20.4,682.9,762.1,-1.2,12,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.5,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
06.04.2020 11:00,16.3,684.1,763.8,0.6,22,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.4,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
06.04.2020 08:00,10.1,683.5,763.5,0.1,28,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,19.4,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
06.04.2020 05:00,10.4,683.4,763.0,-0.4,24,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,,,6.5,19.4,,,2500 or more  or no clouds.,,,26.0,-9.3,No precipitation,12,,,,
06.04.2020 02:00,11.7,683.8,763.4,-0.2,21,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,19.4,,,2500 or more  or no clouds.,,,20.0,-9.9,No precipitation,12,,,,
05.04.2020 23:00,13.6,684.0,763.9,0.7,18,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,,,6.5,19.4,,,2500 or more  or no clouds.,,,11.0,-10.3,No precipitation,12,,,,
05.04.2020 20:00,17.5,683.3,763.7,0.4,11,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,19.4,,,2500 or more  or no clouds.,,,27.0,-13.3,No precipitation,12,,,,
05.04.2020 17:00,18.8,682.9,762.9,-1.0,10,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,19.3,,,2500 or more  or no clouds.,,,25.0,-13.5,No precipitation,12,,,,
